Fall 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,388",-5.5%,790,-3.2%,77,10.0%,,,"5,255",-5.0%,
Gender,Female,"2,416",-4.2%,286,-14.1%,34,25.9%,,,"2,736",-5.0%,
,Male,"1,972",-7.1%,504,4.3%,43,0.0%,,,"2,519",-4.9%,
Ethnicity,White,"3,808",-4.9%,580,2.3%,33,10.0%,,,"4,421",-3.9%,
,Black,74,-14.9%,10,-23.1%,2,-33.3%,,,86,-16.5%,
,Hispanic,272,-9.6%,30,-16.7%,1,-50.0%,,,303,-10.6%,
,Asian,146,-3.3%,22,4.8%,,,,,168,-2.3%,
,American Indian,21,31.3%,0,-100.0%,1,0.0%,,,22,15.8%,
,International,36,-12.2%,137,-14.4%,38,15.2%,,,211,-9.8%,
,Unknown/Other,31,-27.9%,11,-35.3%,2,100.0%,,,44,-27.9%,
TAMU Age,<18,7,-22.2%,,,,,,,7,-22.2%,
Categories,18-21,"3,497",-2.4%,23,130.0%,,,,,"3,520",-2.0%,
,22-25,825,-16.8%,451,6.9%,5,25.0%,,,"1,281",-9.7%,
,26-30,28,-3.4%,160,-16.2%,29,3.6%,,,217,-12.5%,
,31-39,18,-10.0%,99,-20.8%,28,12.0%,,,145,-14.7%,
,40+,13,30.0%,57,-16.2%,15,15.4%,,,85,-6.6%,
Enrollment,1st Time in College,843,-8.5%,,,,,,,843,-8.5%,
Status,1st Time PB,,,6,-14.3%,,,,,6,-14.3%,
,1st Time Graduate,,,456,-3.0%,11,-8.3%,,,467,-3.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,56,24.4%,,,,,,,56,24.4%,
,Readmitted,26,-7.1%,,,,,,,26,-7.1%,
,Continuing,"3,463",-5.1%,328,-3.2%,66,13.8%,,,"3,857",-4.7%,
Tuition,Resident Tuition,"4,251",-5.5%,579,-2.2%,24,20.0%,,,"4,854",-5.0%,
Status,Non-Resident Tuition,78,1.3%,55,19.6%,10,-9.1%,,,143,6.7%,
,Tuition  Exemption/Waiver,59,-13.2%,156,-12.4%,43,10.3%,,,258,-9.5%,
Residency,Texas Resident,"4,257",-5.5%,582,-1.7%,26,18.2%,,,"4,865",-4.9%,
Status,"Non-TX, US Resident",94,-3.1%,69,7.8%,13,-13.3%,,,176,0.0%,
,"Non-TX, Non-US Resident",37,-11.9%,139,-13.1%,38,15.2%,,,214,-8.9%,
SCH,< 6 SCH,29,26.1%,20,-20.0%,16,33.3%,,,65,8.3%,
Categories,6-8 SCH,74,-23.7%,17,21.4%,,,,,91,-18.0%,
,9-11 SCH,159,-20.5%,213,-21.1%,48,11.6%,,,420,-18.1%,
,12-14 SCH,"2,778",-7.1%,219,6.8%,13,-13.3%,,,"3,010",-6.2%,
,15-17 SCH,"1,274",-0.8%,227,24.0%,,,,,"1,501",2.3%,
,>17 SCH,74,51.0%,94,-21.0%,,,,,168,0.0%,
Ft/Pt:,Less Than Half Time,23,4.5%,20,-13.0%,14,27.3%,,,57,1.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","72
155","-24.2%
-21.3%",16,0.0%,2,100.0%,,,"90
155","-19.6%
-21.3%",
,Full-Time,"4,138",-4.4%,754,-3.0%,61,5.2%,,,"4,953",-4.1%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
