Fall 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"7,055",-7.1%,"1,339",1.2%,876,13.8%,,,"9,270",-4.3%,
Gender,Female,"1,394",-7.9%,241,8.6%,138,19.0%,,,"1,773",-4.3%,
,Male,"5,661",-7.0%,"1,098",-0.3%,738,12.8%,,,"7,497",-4.4%,
Ethnicity,White,"5,391",-6.2%,355,29.6%,103,6.2%,,,"5,849",-4.4%,
,Black,183,-18.7%,15,50.0%,9,0.0%,,,207,-15.2%,
,Hispanic,711,-7.2%,44,22.2%,12,71.4%,,,767,-5.2%,
,Asian,374,-13.2%,37,19.4%,17,54.5%,,,428,-9.5%,
,American Indian,20,-31.0%,1,100.0%,1,0.0%,,,22,-26.7%,
,International,305,2.7%,878,-8.9%,733,14.0%,,,"1,916",0.6%,
,Unknown/Other,71,-31.7%,9,12.5%,1,-50.0%,,,81,-28.9%,
TAMU Age,<18,18,-10.0%,,,,,,,18,-10.0%,
Categories,18-21,"4,641",-5.9%,25,-30.6%,4,100.0%,,,"4,670",-6.1%,
,22-25,"2,163",-9.0%,842,5.4%,81,20.9%,,,"3,086",-4.8%,
,26-30,161,-17.4%,337,2.1%,405,18.8%,,,903,4.3%,
,31-39,57,5.6%,91,-24.2%,344,7.2%,,,492,-0.6%,
,40+,15,-21.1%,44,15.8%,42,7.7%,,,101,5.2%,
Enrollment,1st Time in College,"1,379",-7.1%,,,,,,,"1,379",-7.1%,
Status,1st Time PB,6,-25.0%,23,9.5%,,,,,29,0.0%,
,1st Time Graduate,,,464,-1.9%,128,19.6%,,,592,2.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,288,-15.8%,,,,,,,288,-15.8%,
,Readmitted,55,-24.7%,3,-25.0%,2,-33.3%,,,60,-25.0%,
,Continuing,"5,327",-6.4%,849,2.9%,746,13.0%,,,"6,922",-3.5%,
Tuition,Resident Tuition,"6,402",-7.7%,354,37.7%,98,27.3%,,,"6,854",-5.7%,
Status,Non-Resident Tuition,393,3.1%,388,2.6%,168,12.0%,,,949,4.4%,
,Tuition  Exemption/Waiver,260,-6.8%,597,-13.2%,610,12.3%,,,"1,467",-2.8%,
Residency,Texas Resident,"6,413",-7.8%,355,38.1%,93,17.7%,,,"6,861",-5.9%,
Status,"Non-TX, US Resident",332,-5.7%,99,1.0%,46,-4.2%,,,477,-4.2%,
,"Non-TX, Non-US Resident",310,5.4%,885,-8.6%,737,14.6%,,,"1,932",1.4%,
SCH,< 6 SCH,148,5.7%,175,20.7%,96,-15.0%,,,419,5.3%,
Categories,6-8 SCH,138,-7.4%,54,12.5%,21,110.0%,,,213,2.9%,
,9-11 SCH,334,0.6%,991,-3.9%,725,16.6%,,,"2,050",3.3%,
,12-14 SCH,"4,729",-7.8%,111,22.0%,26,4.0%,,,"4,866",-7.2%,
,15-17 SCH,"1,620",-8.7%,8,0.0%,6,100.0%,,,"1,634",-8.4%,
,>17 SCH,86,16.2%,,,2,100.0%,,,88,18.9%,
Ft/Pt:,Less Than Half Time,50,6.4%,158,17.0%,87,-14.7%,,,295,3.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","128
316","-12.3%
-3.4%",64,12.3%,28,40.0%,,,"220
316","-1.3%
-3.4%",
,Full-Time,"6,561",-7.3%,"1,117",-1.2%,761,17.4%,,,"8,439",-4.7%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
