Fall 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,683",8.0%,588,5.2%,675,7.8%,,,"4,946",7.6%,
Gender,Female,"2,971",7.2%,438,6.6%,453,8.4%,,,"3,862",7.2%,
,Male,712,11.4%,150,1.4%,222,6.7%,,,"1,084",8.9%,
Ethnicity,White,"3,252",7.5%,430,-0.5%,428,1.4%,,,"4,110",6.0%,
,Black,72,10.8%,38,90.0%,74,17.5%,,,184,24.3%,
,Hispanic,270,15.4%,70,27.3%,85,13.3%,,,425,16.8%,
,Asian,43,43.3%,7,-12.5%,7,75.0%,,,57,35.7%,
,American Indian,21,-16.0%,2,-33.3%,2,-50.0%,,,25,-21.9%,
,International,7,-12.5%,36,2.9%,71,42.0%,,,114,22.6%,
,Unknown/Other,18,-28.0%,5,-16.7%,8,0.0%,,,31,-20.5%,
TAMU Age,<18,3,-40.0%,,,,,,,3,-40.0%,
Categories,18-21,"2,332",9.1%,2,-50.0%,,,,,"2,334",9.0%,
,22-25,"1,227",4.9%,234,25.8%,26,23.8%,,,"1,487",8.0%,
,26-30,73,30.4%,137,6.2%,116,1.8%,,,326,9.0%,
,31-39,30,0.0%,97,-19.8%,225,7.7%,,,352,-2.2%,
,40+,18,50.0%,118,-0.8%,308,9.2%,,,444,7.5%,
Enrollment,1st Time in College,389,7.2%,,,,,,,389,7.2%,
Status,1st Time PB,1,-75.0%,100,23.5%,,,,,101,18.8%,
,1st Time Graduate,,,181,11.7%,57,-30.5%,,,238,-2.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,300,-6.5%,,,,,,,300,-6.5%,
,Readmitted,41,10.8%,4,0.0%,5,0.0%,,,50,8.7%,
,Continuing,"2,952",9.9%,303,-2.9%,613,13.7%,,,"3,868",9.4%,
Tuition,Resident Tuition,"3,595",8.0%,493,4.9%,554,5.5%,,,"4,642",7.4%,
Status,Non-Resident Tuition,54,14.9%,41,-6.8%,35,-10.3%,,,130,0.0%,
,Tuition  Exemption/Waiver,34,-5.6%,54,20.0%,86,38.7%,,,174,21.7%,
Residency,Texas Resident,"3,601",8.2%,500,4.8%,555,5.7%,,,"4,656",7.5%,
Status,"Non-TX, US Resident",75,1.4%,52,10.6%,49,-2.0%,,,176,2.9%,
,"Non-TX, Non-US Resident",7,-12.5%,36,2.9%,71,39.2%,,,114,21.3%,
SCH,< 6 SCH,18,12.5%,137,3.0%,325,13.6%,,,480,10.3%,
Categories,6-8 SCH,311,60.3%,191,4.4%,111,18.1%,,,613,30.1%,
,9-11 SCH,260,9.7%,168,-3.4%,193,-4.5%,,,621,1.3%,
,12-14 SCH,"1,993",7.1%,85,39.3%,45,12.5%,,,"2,123",8.2%,
,15-17 SCH,"1,033",2.0%,5,-37.5%,1,-75.0%,,,"1,039",1.4%,
,>17 SCH,68,-24.4%,2,100.0%,,,,,70,-22.2%,
Ft/Pt:,Less Than Half Time,17,6.3%,108,-3.6%,272,7.9%,,,397,4.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","132
220","91.3%
93.0%",219,7.4%,163,27.3%,,,"514
220","28.2%
93.0%",
,Full-Time,"3,314",3.2%,261,7.4%,240,-2.4%,,,"3,815",3.1%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
