Fall 2003,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering       AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS IHYG INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN SENG",,"207
212
87
133
149
105
94
150
139
253
8
290
166
256
583
186
304
0
2
185
152
3
122
332
0
35
124
8
371
576
51
95
30
74
125
75
139
9
16
3","2.5%
-4.1%
0.0%
4.7%
-2.6%
-23.9%
-23.0%
-8.0%
-1.4%
-2.7%
100.0%
-6.8%
-20.2%
5.3%
9.2%
-15.1%
-7.9%
-100.0%
100.0%
-37.5%
35.7%
-25.0%
-4.7%
-10.5%
-100.0%
-30.0%
-8.8%
-11.1%
-0.8%
-2.5%
24.4%
13.1%
-14.3%
23.3%
5.9%
-2.6%
5.3%
-10.0%
-23.8%
0.0%","5
2
4
7
6
4
6
5
2
10
11
5
8
13
10
13
1
2
14
7
1
0
8
6
14
2
8
7
2
2
2
4
1
13
1
1","25.0%
-60.0%
-66.7%
40.0%
-50.0%
-20.0%
-25.0%
-16.7%
-77.8%
25.0%
57.1%
0.0%
700.0%
-13.3%
0.0%
-35.0%
0.0%
100.0%
-50.0%
75.0%
0.0%
-100.0%
-33.3%
500.0%
0.0%
-33.3%
-11.1%
75.0%
0.0%
0.0%
-50.0%
100.0%
0.0%
-35.0%
100.0%
100.0%","29
30
13
14
15
10
19
14
17
33
26
23
19
84
24
34
1
2
36
16
1
8
32
8
31
34
49
6
12
3
9
20
11
75
4
4
1","38.1%
-3.2%
-50.0%
16.7%
7.1%
-28.6%
-5.0%
0.0%
-29.2%
32.0%
-7.1%
-4.2%
-17.4%
13.5%
-41.5%
3.0%
100.0%
100.0%
-37.9%
-15.8%
100.0%
-11.1%
-13.5%
-38.5%
0.0%
6.3%
0.0%
50.0%
20.0%
200.0%
-18.2%
17.6%
10.0%
-5.1%
100.0%
0.0%
0.0%","6
10
17
16
12
11
13
23
6
23
1
34
8
7
20
18
58
1
16
16
0
1
14
4
19
10
21
7
6
2
7
5
5
9
1
1","-14.3%
25.0%
-10.5%
0.0%
-33.3%
-54.2%
-27.8%
-25.8%
-14.3%
-8.0%
0.0%
-17.1%
0.0%
0.0%
25.0%
0.0%
5.5%
0.0%
-40.7%
128.6%
-100.0%
-75.0%
0.0%
33.3%
5.6%
-9.1%
-19.2%
250.0%
20.0%
0.0%
75.0%
0.0%
150.0%
-50.0%
-50.0%
-50.0%","1
1
2
3
1
0
0
1
0
0
1
1
1
0
1
4
1
0
1
2
0
1","0.0%
0.0%
100.0%
50.0%
0.0%
-100.0%
-100.0%
-50.0%
-100.0%
-100.0%
-80.0%
-66.7%
100.0%
-100.0%
-66.7%
300.0%
0.0%
-100.0%
100.0%
100.0%
-100.0%
100.0%","3
73
2
50
10
20
17
29
9
111
36
214
11
5
215
24
302
6
3
5
5
4
1
5
0
10
204
7
7
305
2
38
32
137
9
3
1
1
0","-25.0%
-7.6%
100.0%
-3.8%
0.0%
-16.7%
13.3%
16.0%
28.6%
-2.6%
12.5%
-0.9%
-31.3%
0.0%
19.4%
-4.0%
8.6%
200.0%
100.0%
-44.4%
25.0%
-20.0%
-50.0%
0.0%
-100.0%
-23.1%
-19.4%
-22.2%
-12.5%
5.5%
100.0%
8.6%
3.2%
-8.1%
125.0%
200.0%
100.0%
100.0%
-100.0%","0
4
1
3
1
3
1
1
5
6
1
1
10
2
4
2
3
3
2
4
8
2
6
0
3
1
4
0","-100.0%
-50.0%
0.0%
50.0%
0.0%
-40.0%
100.0%
-75.0%
-28.6%
-25.0%
0.0%
100.0%
-28.6%
-33.3%
-50.0%
-50.0%
0.0%
-40.0%
-77.8%
-20.0%
0.0%
0.0%
20.0%
-100.0%
-25.0%
-50.0%
100.0%
-100.0%","251
331
125
225
193
153
153
222
174
435
45
581
214
296
926
264
715
9
9
259
200
9
132
395
0
63
394
17
435
970
70
160
35
125
296
102
244
16
23
4","4.6%
-6.0%
-15.0%
4.7%
-7.2%
-27.1%
-17.3%
-7.5%
-9.4%
-0.9%
21.6%
-5.1%
-18.3%
5.3%
10.9%
-16.7%
-1.4%
80.0%
800.0%
-39.3%
31.6%
-18.2%
-9.6%
-11.0%
-100.0%
-21.3%
-14.7%
-19.0%
-1.6%
0.2%
37.3%
12.7%
-12.5%
13.6%
0.3%
4.1%
-3.2%
23.1%
-14.8%
-20.0%",
,Subtotal,"5,849",-4.4%,207,-15.2%,767,-5.2%,428,-9.5%,22,-26.7%,"1,916",0.6%,81,-28.9%,"9,270",-4.3%,
G. Bush,BUSH,55,-12.7%,2,0.0%,3,-50.0%,1,100.0%,0,-100.0%,4,100.0%,1,-50.0%,66,-13.2%,
School of,INTA,71,153.6%,1,-50.0%,9,200.0%,3,200.0%,1,100.0%,4,-20.0%,1,-50.0%,90,119.5%,
Govt,Subtotal,126,38.5%,3,-25.0%,12,33.3%,4,300.0%,1,0.0%,8,14.3%,2,-50.0%,156,33.3%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
