Fall 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,398",-3.0%,,,,,,,"3,398",-3.0%,
Gender,Female,"1,575",0.2%,,,,,,,"1,575",0.2%,
,Male,"1,823",-5.5%,,,,,,,"1,823",-5.5%,
Ethnicity,White,"2,771",-4.0%,,,,,,,"2,771",-4.0%,
,Black,121,-0.8%,,,,,,,121,-0.8%,
,Hispanic,372,7.5%,,,,,,,372,7.5%,
,Asian,76,-11.6%,,,,,,,76,-11.6%,
,American Indian,19,11.8%,,,,,,,19,11.8%,
,International,22,22.2%,,,,,,,22,22.2%,
,Unknown/Other,17,-39.3%,,,,,,,17,-39.3%,
TAMU Age,<18,16,45.5%,,,,,,,16,45.5%,
Categories,18-21,"3,309",-2.9%,,,,,,,"3,309",-2.9%,
,22-25,59,-19.2%,,,,,,,59,-19.2%,
,26-30,10,66.7%,,,,,,,10,66.7%,
,31-39,4,33.3%,,,,,,,4,33.3%,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,"1,552",1.4%,,,,,,,"1,552",1.4%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,102,-1.9%,,,,,,,102,-1.9%,
,Readmitted,93,4.5%,,,,,,,93,4.5%,
,Continuing,"1,651",-7.2%,,,,,,,"1,651",-7.2%,
Tuition,Resident Tuition,"3,251",-2.8%,,,,,,,"3,251",-2.8%,
Status,Non-Resident Tuition,92,-9.8%,,,,,,,92,-9.8%,
,Tuition  Exemption/Waiver,55,-3.5%,,,,,,,55,-3.5%,
Residency,Texas Resident,"3,261",-3.0%,,,,,,,"3,261",-3.0%,
Status,"Non-TX, US Resident",111,-10.5%,,,,,,,111,-10.5%,
,"Non-TX, Non-US Resident",26,52.9%,,,,,,,26,52.9%,
SCH,< 6 SCH,509,-7.3%,,,,,,,509,-7.3%,
Categories,6-8 SCH,57,9.6%,,,,,,,57,9.6%,
,9-11 SCH,57,0.0%,,,,,,,57,0.0%,
,12-14 SCH,"2,314",-2.0%,,,,,,,"2,314",-2.0%,
,15-17 SCH,456,-5.2%,,,,,,,456,-5.2%,
,>17 SCH,5,150.0%,,,,,,,5,150.0%,
Ft/Pt:,Less Than Half Time,505,-7.8%,,,,,,,505,-7.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","56
57","9.8%
1.8%",,,,,,,"56
57","9.8%
1.8%",
,Full-Time,"2,780",-2.4%,,,,,,,"2,780",-2.4%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
