Fall 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,427",1.5%,700,4.2%,558,5.9%,,,"6,685",2.2%,
Gender,Female,"2,481",-0.3%,348,4.2%,211,11.6%,,,"3,040",1.0%,
,Male,"2,946",3.1%,352,4.1%,347,2.7%,,,"3,645",3.2%,
Ethnicity,White,"4,673",0.8%,478,5.3%,271,3.0%,,,"5,422",1.3%,
,Black,116,0.0%,8,-11.1%,4,100.0%,,,128,0.8%,
,Hispanic,427,13.6%,30,15.4%,19,5.6%,,,476,13.3%,
,Asian,77,13.2%,8,0.0%,15,-21.1%,,,100,5.3%,
,American Indian,40,5.3%,1,100.0%,,,,,41,7.9%,
,International,47,0.0%,158,-3.7%,245,11.4%,,,450,4.4%,
,Unknown/Other,47,-25.4%,17,54.5%,4,-20.0%,,,68,-13.9%,
TAMU Age,<18,5,66.7%,,,,,,,5,66.7%,
Categories,18-21,"3,094",1.0%,4,33.3%,,,,,"3,098",1.0%,
,22-25,"2,084",2.6%,366,1.4%,34,-17.1%,,,"2,484",2.1%,
,26-30,158,-5.4%,200,5.3%,226,11.3%,,,584,4.3%,
,31-39,54,-10.0%,97,11.5%,202,2.5%,,,353,2.6%,
,40+,32,68.4%,33,6.5%,96,11.6%,,,161,18.4%,
Enrollment,1st Time in College,517,-3.0%,,,,,,,517,-3.0%,
Status,1st Time PB,5,25.0%,20,33.3%,,,,,25,31.6%,
,1st Time Graduate,,,211,-4.5%,68,17.2%,,,279,0.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,394,4.5%,0,-100.0%,,,,,394,4.2%,
,Readmitted,129,19.4%,2,-33.3%,2,-33.3%,,,133,16.7%,
,Continuing,"4,382",1.4%,467,8.1%,488,4.7%,,,"5,337",2.2%,
Tuition,Resident Tuition,"5,185",1.4%,397,6.7%,197,3.1%,,,"5,779",1.9%,
Status,Non-Resident Tuition,115,-1.7%,59,-11.9%,78,8.3%,,,252,-1.6%,
,Tuition  Exemption/Waiver,127,8.5%,244,4.7%,283,7.2%,,,654,6.5%,
Residency,Texas Resident,"5,194",1.5%,400,7.0%,197,2.1%,,,"5,791",1.9%,
Status,"Non-TX, US Resident",182,2.8%,141,5.2%,115,1.8%,,,438,3.3%,
,"Non-TX, Non-US Resident",51,0.0%,159,-3.0%,246,11.3%,,,456,4.6%,
SCH,< 6 SCH,72,-8.9%,133,4.7%,119,-7.8%,,,324,-3.3%,
Categories,6-8 SCH,170,9.7%,48,-7.7%,25,-16.7%,,,243,2.5%,
,9-11 SCH,296,-3.9%,481,7.6%,396,10.9%,,,"1,173",5.5%,
,12-14 SCH,"3,315",1.8%,34,-19.0%,16,77.8%,,,"3,365",1.8%,
,15-17 SCH,"1,476",4.0%,4,0.0%,2,0.0%,,,"1,482",4.0%,
,>17 SCH,98,-24.0%,,,,,,,98,-24.0%,
Ft/Pt:,Less Than Half Time,64,-9.9%,106,2.9%,104,4.0%,,,274,0.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","156
292","4.0%
-3.6%",70,-5.4%,38,-35.6%,,,"264
292","-6.7%
-3.6%",
,Full-Time,"4,915",1.9%,524,5.9%,416,13.0%,,,"5,855",3.0%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
