Fall 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,953",0.4%,335,6.7%,382,6.7%,,,"2,670",2.0%,
Gender,Female,"1,198",-1.1%,148,10.4%,97,0.0%,,,"1,443",0.1%,
,Male,755,2.7%,187,3.9%,285,9.2%,,,"1,227",4.3%,
Ethnicity,White,"1,479",0.0%,175,17.4%,123,-1.6%,,,"1,777",1.4%,
,Black,55,-8.3%,5,25.0%,4,33.3%,,,64,-4.5%,
,Hispanic,245,2.5%,24,41.2%,11,37.5%,,,280,6.1%,
,Asian,135,3.8%,11,10.0%,9,28.6%,,,155,5.4%,
,American Indian,6,0.0%,1,100.0%,3,50.0%,,,10,25.0%,
,International,16,60.0%,113,-12.4%,230,8.5%,,,359,2.3%,
,Unknown/Other,17,-22.7%,6,20.0%,2,100.0%,,,25,-10.7%,
TAMU Age,<18,12,9.1%,,,,,,,12,9.1%,
Categories,18-21,"1,567",0.5%,5,25.0%,0,-100.0%,,,"1,572",0.5%,
,22-25,342,-0.9%,152,-10.1%,66,17.9%,,,560,-1.8%,
,26-30,24,9.1%,95,18.8%,196,3.2%,,,315,7.9%,
,31-39,7,16.7%,47,20.5%,107,11.5%,,,161,14.2%,
,40+,1,-66.7%,36,63.6%,13,-13.3%,,,50,25.0%,
Enrollment,1st Time in College,567,3.3%,,,,,,,567,3.3%,
Status,1st Time PB,1,100.0%,32,52.4%,,,,,33,57.1%,
,1st Time Graduate,,,122,4.3%,22,-37.1%,,,144,-5.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,84,-16.8%,,,,,,,84,-16.8%,
,Readmitted,12,-29.4%,0,-100.0%,,,,,12,-33.3%,
,Continuing,"1,289",0.8%,181,3.4%,360,11.5%,,,"1,830",3.0%,
Tuition,Resident Tuition,"1,845",0.5%,109,6.9%,59,7.3%,,,"2,013",1.1%,
Status,Non-Resident Tuition,60,5.3%,48,118.2%,41,0.0%,,,149,24.2%,
,Tuition  Exemption/Waiver,48,-11.1%,178,-6.3%,282,7.6%,,,508,0.4%,
Residency,Texas Resident,"1,848",0.3%,109,1.9%,62,10.7%,,,"2,019",0.7%,
Status,"Non-TX, US Resident",86,-6.5%,109,43.4%,88,-1.1%,,,283,10.1%,
,"Non-TX, Non-US Resident",19,58.3%,117,-10.7%,232,8.9%,,,368,3.4%,
SCH,< 6 SCH,8,-20.0%,62,51.2%,26,-18.8%,,,96,15.7%,
Categories,6-8 SCH,29,52.6%,15,15.4%,1,-66.7%,,,45,28.6%,
,9-11 SCH,86,28.4%,251,-0.4%,353,10.7%,,,690,8.2%,
,12-14 SCH,"1,325",-2.5%,7,-12.5%,2,-50.0%,,,"1,334",-2.7%,
,15-17 SCH,484,3.6%,,,,,,,484,3.6%,
,>17 SCH,21,-12.5%,,,,,,,21,-12.5%,
Ft/Pt:,Less Than Half Time,8,-20.0%,61,60.5%,22,-29.0%,,,91,15.2%,
"TAMU
Status","Half-Time
Three-Quarter Time","28
83","75.0%
33.9%",15,-6.3%,5,25.0%,,,"48
83","33.3%
33.9%",
,Full-Time,"1,834",-1.3%,259,-0.4%,355,9.9%,,,"2,448",0.3%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
