Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Fall 2003,,,,,,,
Official Certified 12th Class-Day Data,,,,,,,
Fall 2003,,"G6: PB
Non-Degreed","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,429,"4,570","3,229",15,"8,243",
Gender,Female,221,"1,817","1,201",5,"3,244",
,Male,208,"2,753","2,028",10,"4,999",
Ethnicity,White,270,"2,470","1,299",11,"4,050",
,Black,20,76,100,,196,
,Hispanic,48,227,151,1,427,
,Asian,14,103,57,1,175,
,American Indian,1,6,11,,18,
,International,64,"1,622","1,580",2,"3,268",
,Unknown/Other,12,66,31,,109,
TAMU Age,18-21,2,71,4,1,78,
Categories,22-25,124,"2,513",248,2,"2,887",
,26-30,98,"1,221","1,204",7,"2,530",
,31-39,92,530,"1,191",2,"1,815",
,40+,113,235,582,3,933,
College,Agriculture,30,670,558,,"1,258",
,Architecture,12,396,97,,505,
,Business Admin,7,783,77,,867,
,Education,152,435,675,1,"1,263",
,Engineering,33,"1,297",876,9,"2,215",
,G. Bush School of Govt,56,100,,,156,
,Geosciences,11,164,115,,290,
,Liberal Arts,19,349,369,,737,
,Science,39,291,382,5,717,
,Veterinary Medicine,3,68,78,,149,
,Other - Special Populations,67,17,2,,86,
Enrollment,1st Time PB,298,,,,298,
Status,1st Time Graduate,,"1,853",366,8,"2,227",
,Readmitted,,17,9,,26,
,Continuing,131,"2,700","2,854",7,"5,692",
Tuition Status,Resident Tuition,304,"2,220","1,167",8,"3,699",
,Non-Resident Tuition,82,702,434,5,"1,223",
,Tuition Exemption/Waiver,43,"1,648","1,628",2,"3,321",
Residency,Texas Resident,311,"2,239","1,170",8,"3,728",
Status,"Non-TX, US Resident",53,693,470,5,"1,221",
,"Non-TX, Non-US Resident",65,"1,638","1,589",2,"3,294",
SCH,< 6 SCH,209,547,757,3,"1,516",
Categories,6-8 SCH,127,266,186,1,580,
,9-11 SCH,55,"2,637","2,155",11,"4,858",
,12-14 SCH,24,742,116,,882,
,15-17 SCH,13,282,13,,308,
,>17 SCH,1,96,2,,99,
Ft/Pt: TAMU,Less Than Half Time,193,453,638,1,"1,285",
Status,Half-Time,143,346,293,2,784,
,Full-Time,93,"3,771","2,298",12,"6,174",
"Prepared by OISP, 08 Mar 04",,,,,,,
