Fall 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,920",0.9%,71,10.9%,78,1.3%,504,2.2%,"2,573",1.5%,
Gender,Female,"1,285",1.0%,51,30.8%,38,-2.6%,365,3.4%,"1,739",2.1%,
,Male,635,0.8%,20,-20.0%,40,5.3%,139,-0.7%,834,0.1%,
Ethnicity,White,"1,502",-0.6%,48,17.1%,40,-11.1%,448,0.9%,"2,038",-0.1%,
,Black,40,17.6%,1,0.0%,1,0.0%,1,100.0%,43,19.4%,
,Hispanic,227,8.1%,2,-60.0%,1,-50.0%,34,36.0%,264,9.1%,
,Asian,111,11.0%,1,-66.7%,2,0.0%,10,-28.6%,124,4.2%,
,American Indian,13,18.2%,,,,,2,0.0%,15,15.4%,
,International,11,10.0%,19,46.2%,32,28.0%,,,62,29.2%,
,Unknown/Other,16,-38.5%,0,-100.0%,2,0.0%,9,12.5%,27,-27.0%,
TAMU Age,<18,4,-55.6%,,,,,,,4,-55.6%,
Categories,18-21,"1,636",3.4%,1,100.0%,,,24,-14.3%,"1,661",3.2%,
,22-25,260,-8.1%,36,12.5%,6,-45.5%,290,5.5%,592,-1.5%,
,26-30,14,-12.5%,15,-21.1%,34,54.5%,130,-0.8%,193,2.7%,
,31-39,4,-55.6%,15,50.0%,30,-9.1%,50,4.2%,99,-1.0%,
,40+,2,-33.3%,4,33.3%,8,-27.3%,10,-9.1%,24,-14.3%,
Enrollment,1st Time in College,590,4.6%,,,,,,,590,4.6%,
Status,1st Time PB,1,0.0%,1,0.0%,,,,,2,0.0%,
,1st Time Graduate,,,29,31.8%,6,20.0%,,,35,29.6%,
,1st Time Professional,,,,,,,134,0.0%,134,0.0%,
,1st Time Transfer,51,-7.3%,,,,,,,51,-7.3%,
,Readmitted,9,0.0%,1,100.0%,,,,,10,11.1%,
,Continuing,"1,269",-0.3%,40,-2.4%,72,0.0%,370,3.1%,"1,751",0.3%,
Tuition,Resident Tuition,"1,856",1.1%,40,-4.8%,31,0.0%,477,1.1%,"2,404",1.0%,
Status,Non-Resident Tuition,34,-20.9%,5,-16.7%,5,-28.6%,5,0.0%,49,-19.7%,
,Tuition  Exemption/Waiver,30,25.0%,26,62.5%,42,7.7%,22,37.5%,120,26.3%,
Residency,Texas Resident,"1,855",0.9%,43,-2.3%,31,0.0%,477,1.3%,"2,406",0.9%,
Status,"Non-TX, US Resident",54,-3.6%,9,28.6%,15,-25.0%,27,22.7%,105,0.0%,
,"Non-TX, Non-US Resident",11,37.5%,19,46.2%,32,23.1%,,,62,31.9%,
SCH,< 6 SCH,8,33.3%,17,13.3%,14,-22.2%,,,39,0.0%,
Categories,6-8 SCH,16,-33.3%,7,40.0%,5,-16.7%,,,28,-20.0%,
,9-11 SCH,44,-6.4%,41,-6.8%,55,5.8%,,,140,-2.1%,
,12-14 SCH,"1,407",6.8%,6,100.0%,1,100.0%,,,"1,414",7.4%,
,15-17 SCH,425,-12.6%,,,3,200.0%,0,-100.0%,428,-12.3%,
,>17 SCH,20,-9.1%,,,,,504,2.4%,524,1.9%,
Ft/Pt:,Less Than Half Time,6,0.0%,9,28.6%,11,-21.4%,,,26,-3.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","16
42","-33.3%
-10.6%",15,15.4%,8,-20.0%,,,"39
42","-17.0%
-10.6%",
,Full-Time,"1,856",1.7%,47,6.8%,59,11.3%,504,2.2%,"2,466",2.1%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
