Fall 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"6,524",-1.3%,368,0.5%,369,2.5%,,,"7,261",-1.0%,
Gender,Female,"3,840",-4.6%,188,0.5%,161,11.8%,,,"4,189",-3.9%,
,Male,"2,684",3.9%,180,0.6%,208,-3.7%,,,"3,072",3.1%,
Ethnicity,White,"5,380",-1.8%,234,4.0%,227,0.0%,,,"5,841",-1.5%,
,Black,172,12.4%,8,-11.1%,5,0.0%,,,185,10.8%,
,Hispanic,693,2.5%,31,0.0%,19,-13.6%,,,743,1.9%,
,Asian,132,-8.3%,8,-33.3%,5,-28.6%,,,145,-11.0%,
,American Indian,30,-23.1%,1,-50.0%,3,200.0%,,,34,-19.0%,
,International,39,18.2%,74,4.2%,101,12.2%,,,214,10.3%,
,Unknown/Other,78,-8.2%,12,-25.0%,9,12.5%,,,99,-9.2%,
TAMU Age,<18,10,11.1%,,,,,,,10,11.1%,
Categories,18-21,"4,311",-3.9%,5,-16.7%,,,,,"4,316",-3.9%,
,22-25,"2,027",4.4%,161,1.9%,25,0.0%,,,"2,213",4.1%,
,26-30,113,7.6%,120,4.3%,143,12.6%,,,376,8.4%,
,31-39,35,-25.5%,54,-6.9%,142,-7.2%,,,231,-10.5%,
,40+,28,21.7%,28,-3.4%,59,7.3%,,,115,7.5%,
Enrollment,1st Time in College,680,-11.8%,,,,,,,680,-11.8%,
Status,1st Time PB,1,100.0%,12,-47.8%,,,,,13,-43.5%,
,1st Time Graduate,,,132,4.8%,48,-15.8%,,,180,-1.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,350,1.7%,,,,,,,350,1.7%,
,Readmitted,97,4.3%,4,-20.0%,0,-100.0%,,,101,0.0%,
,Continuing,"5,396",-0.1%,220,3.8%,321,7.0%,,,"5,937",0.4%,
Tuition,Resident Tuition,"6,241",-1.7%,182,-2.2%,158,3.3%,,,"6,581",-1.6%,
Status,Non-Resident Tuition,162,5.2%,60,20.0%,52,-11.9%,,,274,4.2%,
,Tuition  Exemption/Waiver,121,11.0%,126,-3.1%,159,7.4%,,,406,4.9%,
Residency,Texas Resident,"6,253",-1.7%,186,-1.1%,160,4.6%,,,"6,599",-1.5%,
Status,"Non-TX, US Resident",231,6.5%,108,0.9%,107,-7.8%,,,446,1.4%,
,"Non-TX, Non-US Resident",40,25.0%,74,4.2%,102,12.1%,,,216,11.3%,
SCH,< 6 SCH,60,-9.1%,63,-11.3%,107,-12.3%,,,230,-11.2%,
Categories,6-8 SCH,196,24.1%,23,43.8%,15,-6.3%,,,234,23.2%,
,9-11 SCH,418,3.5%,246,2.5%,233,14.8%,,,897,5.9%,
,12-14 SCH,"3,759",-2.4%,35,-5.4%,13,-31.6%,,,"3,807",-2.6%,
,15-17 SCH,"1,950",-2.4%,1,-50.0%,1,100.0%,,,"1,952",-2.4%,
,>17 SCH,141,6.0%,,,,,,,141,6.0%,
Ft/Pt:,Less Than Half Time,53,-7.0%,50,-18.0%,81,-12.9%,,,184,-12.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","195
407","25.0%
3.0%",36,38.5%,35,-22.2%,,,"266
407","17.2%
3.0%",
,Full-Time,"5,869",-2.2%,282,1.1%,253,14.0%,,,"6,404",-1.5%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
