"Fall 2003
Head Count       Total
Gender               Female Male
Ethnicity            White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Student              Lower
Level                 Upper Masters PhD Professional
Tuition               Resident Tuition
Status                 Non-Resident Tuition Tuition Exemption/Waiver
Residency          Texas Resident
Status                 Non-TX, US Resident
Non-TX, Non-US Resident
SCH                   < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                  Less Than Half Time
TAMU               Half-Time
Full-Time",Undergraduate,,,,,Graduate,,,,Professional,,
,"1st Time in College
6,726
3,532
3,194
5,538
158
692
234
27
67
10
70
6,651
2
3
517
154
843
389
1,379
55
680
567
590
1,552
6,702
24
6,381
166
179
6,396
259
71
299
21
17
5,588
797
4
297
21
15
6,393","1st Time PB
16
7
9
12
1
2
1
9
3
3
1
5
1
1
6
1
1
1
16
13
3
13
3
1
1
2
10
1
1
1
1
2
12","1st Time Transfer
1,708
826
882
1,388
30
153
48
13
64
12
1,367
239
61
26
15
394
65
56
300
288
18
350
84
51
102
1,106
602
1,577
99
32
1,589
54
65
24
50
93
1,255
284
2
24
49
91
1,544","Readmitted
476
176
300
398
21
39
11
2
3
2
181
204
61
20
10
129
5
26
41
55
9
97
12
9
93
181
295
458
15
3
459
14
3
6
42
46
305
69
8
6
41
46
383","Continuing
27,140
13,168
13,972
22,380
644
2,478
833
136
386
283
7
17,231
9,140
495
174
93
4,382
1,053
3,463
2,952
5,327
331
5,396
1,289
1,269
1,651
27
7,897
19,243
25,820
767
553
25,849
892
399
537
946
1,590
15,540
8,001
526
413
738
1,503
24,486",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,
,,,,,,298,"2,227",26,"5,692",134,370,
,,,,,,146,885,15,"2,198",98,267,
,,,,,,152,"1,342",11,"3,494",36,103,
,,,,,,189,"1,169",18,"2,674",116,332,
,,,,,,12,42,1,141,1,,
,,,,,,30,112,2,283,12,22,
,,,,,,8,53,1,113,3,7,
,,,,,,1,6,,11,,2,
,,,,,,48,821,4,"2,395",,,
,,,,,,10,24,,75,2,7,
,,,,,,2,63,,13,18,6,
,,,,,,89,"1,220",1,"1,577",85,205,
,,,,,,67,566,7,"1,890",13,117,
,,,,,,62,265,10,"1,478",16,34,
,,,,,,78,113,8,734,2,8,
,,,,,,20,279,4,955,,,
,,,,,,9,169,3,324,,,
,,,,,,6,467,,394,,,
,,,,,,100,238,9,916,,,
,,,,,,23,592,5,"1,595",,,
,,,,,,41,51,,64,,,
,,,,,,8,62,,220,,,
,,,,,,12,180,4,541,,,
,,,,,,32,144,,541,,,
,,,,,,1,35,1,112,134,370,
,,,,,,46,10,,30,,,
,,,,,,298,"1,861",17,"2,838",,,
,,,,,,,366,9,"2,854",,,
,,,,,,,,,,134,370,
,,,,,,197,"1,043",18,"2,441",124,353,
,,,,,,79,335,4,805,,5,
,,,,,,22,849,4,"2,446",10,12,
,,,,,,201,"1,053",18,"2,456",124,353,
,,,,,,48,343,4,826,10,17,
,,,,,,49,831,4,"2,410",,,
,,,,,,149,87,16,"1,264",,,
,,,,,,78,109,5,388,,,
,,,,,,39,"1,325",5,"3,489",,,
,,,,,,20,423,,439,,,
,,,,,,11,199,,98,,,
,,,,,,1,84,,14,134,370,
,,,,,,139,66,16,"1,064",,,
,,,,,,88,130,5,561,,,
,,,,,,71,"2,031",5,"4,067",134,370,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
