Fall 2003,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,35,6.1%,1,100.0%,0,-100.0%,1,100.0%,1,100.0%,20,11.1%,3,50.0%,59,7.3%,
,ENGS,7,100.0%,,,3,100.0%,,,,,,,,,11,100.0%,
,ENST,22,100.0%,1,100.0%,2,100.0%,,,,,,,,,25,100.0%,
,ESCI,7,-46.2%,,,0,-100.0%,,,,,,,,,7,-53.3%,
,GEOG,145,-7.6%,3,-25.0%,15,-21.1%,1,100.0%,,,15,15.4%,2,100.0%,182,-6.2%,
,GEOL,122,-4.7%,,,4,-60.0%,1,-66.7%,0,-100.0%,28,7.7%,3,-25.0%,158,-8.1%,
,GEOP,22,-4.3%,1,100.0%,1,-50.0%,1,-50.0%,1,0.0%,15,-34.8%,1,-50.0%,42,-20.8%,
,GEOS,4,100.0%,,,,,,,,,,,,,4,100.0%,
,METR,125,-19.9%,2,-33.3%,10,0.0%,2,100.0%,0,-100.0%,2,-50.0%,,,141,-19.4%,
,OCNG,46,0.0%,,,1,-50.0%,1,0.0%,,,26,-3.7%,0,-100.0%,74,-5.1%,
,Subtotal,535,-4.1%,8,14.3%,36,-23.4%,7,0.0%,2,-33.3%,106,-4.5%,9,-18.2%,703,-5.5%,
Liberal Arts,AMST,32,77.8%,,,3,100.0%,,,,,,,,,35,94.4%,
,ANTH,184,-0.5%,2,100.0%,23,-17.9%,5,-37.5%,1,-50.0%,13,8.3%,7,40.0%,235,-2.5%,
,COML,,,,,,,,,,,3,200.0%,,,3,200.0%,
,ECON,514,-9.3%,17,142.9%,68,25.9%,27,-10.0%,1,-50.0%,95,11.8%,10,-16.7%,732,-3.3%,
,ENGL,590,3.1%,23,53.3%,50,-3.8%,10,66.7%,5,66.7%,25,0.0%,12,-7.7%,715,4.2%,
,FREN,10,66.7%,,,1,-66.7%,,,,,,,,,11,22.2%,
,GERM,8,14.3%,,,2,100.0%,1,0.0%,,,,,0,-100.0%,11,10.0%,
,HIST,598,23.0%,8,-33.3%,56,-13.8%,4,0.0%,5,-28.6%,3,200.0%,15,-11.8%,689,16.4%,
,INTS,281,18.6%,11,10.0%,66,22.2%,13,0.0%,4,300.0%,6,50.0%,8,166.7%,389,20.8%,
,JOUR,315,-42.6%,9,-43.8%,21,-48.8%,4,-42.9%,1,-50.0%,1,-66.7%,3,-40.0%,354,-43.2%,
,MODL,8,-11.1%,,,6,-14.3%,,,,,2,0.0%,,,16,-11.1%,
,MUSC,19,-13.6%,3,200.0%,2,-50.0%,1,100.0%,,,,,,,25,-7.4%,
,PHIL,112,3.7%,3,200.0%,16,77.8%,3,-50.0%,,,4,33.3%,7,-12.5%,145,7.4%,
,POLL,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,POLS,882,5.6%,28,7.7%,113,8.7%,21,0.0%,4,-20.0%,14,-12.5%,8,-20.0%,"1,070",5.2%,
,PSYC,"1,191",-3.4%,54,10.2%,160,-1.8%,42,-10.6%,5,-54.5%,15,25.0%,15,-16.7%,"1,482",-3.3%,
,RUSS,7,-30.0%,,,1,100.0%,,,,,,,,,8,-20.0%,
,SCOM,688,-6.8%,9,-10.0%,72,0.0%,5,-58.3%,7,0.0%,7,16.7%,7,-36.4%,795,-7.1%,
,SOCI,263,6.5%,14,-12.5%,38,22.6%,9,12.5%,1,0.0%,18,-14.3%,4,33.3%,347,6.1%,
,SPAN,53,39.5%,,,31,24.0%,,,,,,,1,0.0%,85,32.8%,
,STJR,12,9.1%,1,100.0%,1,0.0%,,,,,8,166.7%,,,22,46.7%,
,TCMS,12,71.4%,,,0,-100.0%,,,,,,,1,0.0%,13,8.3%,
,THAR,62,34.8%,3,0.0%,13,18.2%,,,0,-100.0%,,,1,0.0%,79,27.4%,
,Subtotal,"5,841",-1.5%,185,10.8%,743,1.9%,145,-11.0%,34,-19.0%,214,10.3%,99,-9.2%,"7,261",-1.0%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,,,,
