Fall 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,413,-8.2%,175,-2.2%,115,0.0%,,,703,-5.5%,
Gender,Female,155,-23.3%,69,0.0%,41,2.5%,,,265,-14.8%,
,Male,258,4.0%,106,-3.6%,74,-1.3%,,,438,1.2%,
Ethnicity,White,368,-7.8%,120,9.1%,47,-4.1%,,,535,-4.1%,
,Black,6,-14.3%,2,100.0%,,,,,8,14.3%,
,Hispanic,29,-14.7%,6,-40.0%,1,-66.7%,,,36,-23.4%,
,Asian,4,33.3%,2,0.0%,1,-50.0%,,,7,0.0%,
,American Indian,1,0.0%,0,-100.0%,1,100.0%,,,2,-33.3%,
,International,2,100.0%,40,-20.0%,64,6.7%,,,106,-4.5%,
,Unknown/Other,3,-40.0%,5,0.0%,1,0.0%,,,9,-18.2%,
TAMU Age,<18,1,0.0%,,,,,,,1,0.0%,
Categories,18-21,239,-10.8%,1,-50.0%,,,,,240,-11.1%,
,22-25,147,5.8%,92,17.9%,5,150.0%,,,244,11.4%,
,26-30,16,-38.5%,46,-22.0%,30,3.4%,,,92,-19.3%,
,31-39,5,-50.0%,29,-9.4%,61,-9.0%,,,95,-12.8%,
,40+,5,-16.7%,7,-12.5%,19,11.8%,,,31,0.0%,
Enrollment,1st Time in College,55,-32.9%,,,,,,,55,-32.9%,
Status,1st Time PB,0,-100.0%,8,-33.3%,,,,,8,-42.9%,
,1st Time Graduate,,,52,-1.9%,10,0.0%,,,62,-1.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,18,0.0%,,,,,,,18,0.0%,
,Readmitted,9,28.6%,0,-100.0%,0,-100.0%,,,9,0.0%,
,Continuing,331,-2.9%,115,1.8%,105,1.0%,,,551,-1.3%,
Tuition,Resident Tuition,395,-6.8%,57,9.6%,19,-9.5%,,,471,-5.2%,
Status,Non-Resident Tuition,6,-40.0%,20,-16.7%,17,-19.0%,,,43,-21.8%,
,Tuition  Exemption/Waiver,12,-25.0%,98,-4.9%,79,8.2%,,,189,-1.6%,
Residency,Texas Resident,395,-7.1%,58,13.7%,19,-13.6%,,,472,-5.2%,
Status,"Non-TX, US Resident",16,-33.3%,77,-2.5%,32,0.0%,,,125,-7.4%,
,"Non-TX, Non-US Resident",2,100.0%,40,-18.4%,64,4.9%,,,106,-4.5%,
SCH,< 6 SCH,5,-16.7%,26,-18.8%,26,-7.1%,,,57,-13.6%,
Categories,6-8 SCH,16,60.0%,4,100.0%,3,50.0%,,,23,64.3%,
,9-11 SCH,25,47.1%,136,21.4%,86,2.4%,,,247,16.0%,
,12-14 SCH,247,-17.4%,4,-84.0%,0,-100.0%,,,251,-22.8%,
,15-17 SCH,114,5.6%,5,100.0%,,,,,119,10.2%,
,>17 SCH,6,-40.0%,0,-100.0%,,,,,6,-66.7%,
Ft/Pt:,Less Than Half Time,5,0.0%,21,-27.6%,24,-4.0%,,,50,-15.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","16
22","77.8%
37.5%",9,80.0%,5,0.0%,,,"30
22","57.9%
37.5%",
,Full-Time,370,-11.9%,145,0.0%,86,1.2%,,,601,-7.5%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
