Fall 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,156,33.3%,,,,,156,33.3%,
Gender,Female,,,68,13.3%,,,,,68,13.3%,
,Male,,,88,54.4%,,,,,88,54.4%,
Ethnicity,White,,,126,38.5%,,,,,126,38.5%,
,Black,,,3,-25.0%,,,,,3,-25.0%,
,Hispanic,,,12,33.3%,,,,,12,33.3%,
,Asian,,,4,300.0%,,,,,4,300.0%,
,American Indian,,,1,0.0%,,,,,1,0.0%,
,International,,,8,14.3%,,,,,8,14.3%,
,Unknown/Other,,,2,-50.0%,,,,,2,-50.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,4,-20.0%,,,,,4,-20.0%,
,22-25,,,80,12.7%,,,,,80,12.7%,
,26-30,,,29,38.1%,,,,,29,38.1%,
,31-39,,,27,145.5%,,,,,27,145.5%,
,40+,,,16,77.8%,,,,,16,77.8%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,41,36.7%,,,,,41,36.7%,
,1st Time Graduate,,,51,-1.9%,,,,,51,-1.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,64,82.9%,,,,,64,82.9%,
Tuition,Resident Tuition,,,103,28.8%,,,,,103,28.8%,
Status,Non-Resident Tuition,,,16,166.7%,,,,,16,166.7%,
,Tuition  Exemption/Waiver,,,37,19.4%,,,,,37,19.4%,
Residency,Texas Resident,,,105,25.0%,,,,,105,25.0%,
Status,"Non-TX, US Resident",,,42,55.6%,,,,,42,55.6%,
,"Non-TX, Non-US Resident",,,9,50.0%,,,,,9,50.0%,
SCH,< 6 SCH,,,39,129.4%,,,,,39,129.4%,
Categories,6-8 SCH,,,14,0.0%,,,,,14,0.0%,
,9-11 SCH,,,11,57.1%,,,,,11,57.1%,
,12-14 SCH,,,89,23.6%,,,,,89,23.6%,
,15-17 SCH,,,3,-57.1%,,,,,3,-57.1%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,39,129.4%,,,,,39,129.4%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,14,0.0%,,,,,14,0.0%,
,Full-Time,,,103,19.8%,,,,,103,19.8%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
