Fall 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,278",-5.0%,408,14.0%,97,7.8%,,,"1,783",-0.6%,
Gender,Female,384,-14.7%,162,19.1%,28,12.0%,,,574,-6.1%,
,Male,894,-0.1%,246,10.8%,69,6.2%,,,"1,209",2.3%,
Ethnicity,White,"1,092",-4.8%,180,24.1%,27,8.0%,,,"1,299",-1.4%,
,Black,15,7.1%,4,-33.3%,1,0.0%,,,20,-4.8%,
,Hispanic,118,-1.7%,21,31.3%,2,-50.0%,,,141,0.7%,
,Asian,28,-17.6%,12,71.4%,1,0.0%,,,41,-2.4%,
,American Indian,8,14.3%,0,-100.0%,,,,,8,0.0%,
,International,8,60.0%,183,3.4%,64,10.3%,,,255,6.3%,
,Unknown/Other,9,-50.0%,8,33.3%,2,100.0%,,,19,-24.0%,
TAMU Age,<18,1,0.0%,,,,,,,1,0.0%,
Categories,18-21,792,-0.9%,3,100.0%,,,,,795,-0.5%,
,22-25,447,-10.6%,187,1.1%,,,,,634,-7.4%,
,26-30,24,-11.1%,157,27.6%,23,21.1%,,,204,20.7%,
,31-39,9,-30.8%,57,35.7%,52,2.0%,,,118,11.3%,
,40+,5,0.0%,4,-50.0%,22,10.0%,,,31,-6.1%,
Enrollment,1st Time in College,154,1.3%,,,,,,,154,1.3%,
Status,1st Time PB,1,100.0%,9,80.0%,,,,,10,100.0%,
,1st Time Graduate,,,153,7.0%,16,23.1%,,,169,8.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,65,6.6%,,,,,,,65,6.6%,
,Readmitted,5,-28.6%,3,100.0%,,,,,8,14.3%,
,Continuing,"1,053",-6.4%,243,15.7%,81,5.2%,,,"1,377",-2.5%,
Tuition,Resident Tuition,"1,228",-5.3%,183,28.9%,27,3.8%,,,"1,438",-1.8%,
Status,Non-Resident Tuition,29,-6.5%,71,14.5%,28,47.4%,,,128,14.3%,
,Tuition  Exemption/Waiver,21,23.5%,154,0.0%,42,-6.7%,,,217,0.5%,
Residency,Texas Resident,"1,229",-5.2%,183,28.0%,27,3.8%,,,"1,439",-1.8%,
Status,"Non-TX, US Resident",41,-4.7%,40,5.3%,5,25.0%,,,86,1.2%,
,"Non-TX, Non-US Resident",8,60.0%,185,4.5%,65,8.3%,,,258,6.6%,
SCH,< 6 SCH,10,150.0%,46,4.5%,28,3.7%,,,84,12.0%,
Categories,6-8 SCH,53,65.6%,14,7.7%,5,25.0%,,,72,46.9%,
,9-11 SCH,69,-2.8%,152,38.2%,64,20.8%,,,285,21.8%,
,12-14 SCH,815,-3.0%,156,3.3%,0,-100.0%,,,971,-2.4%,
,15-17 SCH,310,-16.4%,39,-2.5%,0,-100.0%,,,349,-15.5%,
,>17 SCH,21,-22.2%,1,100.0%,,,,,22,-18.5%,
Ft/Pt:,Less Than Half Time,10,233.3%,35,6.1%,23,-8.0%,,,68,11.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","51
63","64.5%
-11.3%",25,4.2%,9,50.0%,,,"85
63","39.3%
-11.3%",
,Full-Time,"1,154",-6.9%,348,15.6%,65,10.2%,,,"1,567",-2.1%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
