Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,628",-4.2%,69,16.9%,61,-3.2%,505,-0.8%,"2,263",-2.9%,
Gender,Female,"1,090",-6.0%,48,9.1%,34,0.0%,373,-0.5%,"1,545",-4.2%,
,Male,538,-0.4%,21,40.0%,27,-6.9%,132,-1.5%,718,0.0%,
Ethnicity,White,"1,160",-8.6%,46,9.5%,26,-10.3%,446,-1.3%,"1,678",-6.4%,
,Black,42,20.0%,3,200.0%,1,0.0%,2,-50.0%,48,17.1%,
,Hispanic,257,11.3%,5,-16.7%,3,50.0%,34,13.3%,299,11.2%,
,Asian,153,5.5%,3,0.0%,2,-33.3%,16,0.0%,174,4.2%,
,American Indian,11,37.5%,2,100.0%,,,1,0.0%,14,40.0%,
,International,3,-62.5%,10,66.7%,28,7.7%,,,41,2.5%,
,Unknown/Other,2,-33.3%,,,1,-50.0%,6,0.0%,9,-18.2%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,165",-2.3%,0,-100.0%,,,1,-50.0%,"1,166",-2.5%,
,22-25,455,-8.5%,32,14.3%,1,-83.3%,235,-3.7%,723,-6.7%,
,26-30,5,-28.6%,23,35.3%,24,-4.0%,212,5.0%,264,5.2%,
,31-39,2,100.0%,13,18.2%,25,13.6%,47,-9.6%,87,1.2%,
,40+,1,0.0%,1,-50.0%,11,10.0%,10,11.1%,23,4.5%,
Enrollment,1st Time in College,6,-14.3%,,,,,,,6,-14.3%,
Status,1st Time PB,,,1,100.0%,,,,,1,100.0%,
,1st Time Graduate,,,3,-62.5%,2,0.0%,,,5,-50.0%,
,1st Time Transfer,5,100.0%,,,,,,,5,100.0%,
,Readmitted,0,-100.0%,,,,,,,0,-100.0%,
,Continuing,"1,617",-4.1%,65,27.5%,59,-3.3%,505,-0.8%,"2,246",-2.7%,
Tuition,Resident Tuition,"1,556",-3.5%,47,20.5%,23,-4.2%,465,0.9%,"2,091",-2.1%,
Status,Non-Resident Tuition,24,14.3%,5,25.0%,3,-25.0%,7,75.0%,39,18.2%,
,Tuition Exemption/Waiver,48,-27.3%,17,6.3%,35,0.0%,33,-25.0%,133,-17.4%,
Residency,Texas Resident,"1,588",-3.8%,48,20.0%,25,-3.8%,469,0.0%,"2,130",-2.6%,
Status,"Non-TX, US Resident",37,-7.5%,11,-15.4%,8,-20.0%,36,-10.0%,92,-10.7%,
,"Non-TX, Non-US Resident",3,-62.5%,10,66.7%,28,3.7%,,,41,0.0%,
SCH,< 6 SCH,14,-17.6%,16,45.5%,12,0.0%,,,42,5.0%,
Categories,6-8 SCH,46,21.1%,11,22.2%,2,0.0%,,,59,20.4%,
,9-11 SCH,72,-28.7%,35,6.1%,44,-6.4%,,,151,-16.6%,
,12-14 SCH,782,-6.5%,7,16.7%,3,50.0%,,,792,-6.2%,
,15-17 SCH,678,0.7%,,,,,,,678,0.7%,
,>17 SCH,36,5.9%,,,,,505,-0.8%,541,-0.4%,
Ft/Pt:,Less Than Half Time,14,-17.6%,10,42.9%,5,-50.0%,,,29,-14.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","46
70","24.3%
-28.6%",11,-15.4%,8,100.0%,,,"65
70","20.4%
-28.6%",
,Full-Time,"1,498",-3.2%,48,23.1%,48,-2.0%,505,-0.8%,"2,099",-2.1%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
