"Spring 2007
Headcount Total
TAMU Age                   18-21
Categories                     22-25
26-30
31-39
40+
Classification                Freshman Sophomore Junior Senior
PB
Tuition Status                Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status           Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt: TAMU                Less Than Half Time
Status                             Half-Time
Three-Quarter Time Full-Time
Top 10% Texas             No
High School                  Yes
First Generation            No Unknown Yes
Dorm / Off-campus       Off-campus students                         Dorm (On-campus)",White,,,Black,,,,,Hispanic,,,,Asian,,,,America Indian,,n,International,,,Unknown/Othe,,,,r,Grand Total,,,
,F,M,Tot,F,,M,,Tot,F,,M,Tot,F,,M,Tot,F,Tot,,F,M,Tot,F,,M,Tot,,F,M,Tot,
,269,329,598,,7,,7,14,,32,47,79,,5,12,17,2,,2,14,15,29,,1,3,,4,330,413,743,
,206,201,407,,6,,2,8,,21,26,47,,4,9,13,2,,2,5,7,12,,1,2,,3,245,247,492,
,48,96,144,,,,4,4,,8,15,23,,,2,2,,,,5,5,10,,,1,,1,61,123,184,
,8,28,36,,,,,,,2,3,5,,,,,,,,3,3,6,,,,,,13,34,47,
,5,2,7,,,,1,1,,1,2,3,,1,,1,,,,1,,1,,,,,,8,5,13,
,2,2,4,,1,,,1,,,1,1,,,1,1,,,,,,,,,,,,3,4,7,
,14,22,36,,2,,,2,,2,2,4,,1,2,3,1,,1,4,4,8,,,1,,1,24,31,55,
,169,214,383,,3,,4,7,,16,27,43,,3,8,11,1,,1,4,5,9,,1,1,,2,197,259,456,
,80,86,166,,2,,3,5,,14,17,31,,1,2,3,,,,4,3,7,,,1,,1,101,112,213,
,6,7,13,,,,,,,,1,1,,,,,,,,,2,2,,,,,,6,10,16,
,,,,,,,,,,,,,,,,,,,,2,1,3,,,,,,2,1,3,
,258,319,577,,7,,6,13,,31,44,75,,4,11,15,2,,2,,1,1,,,2,,2,302,383,685,
,10,6,16,,,,1,1,,1,2,3,,1,1,2,,,,10,11,21,,1,,,1,23,21,44,
,1,4,5,,,,,,,,1,1,,,,,,,,4,3,7,,,1,,1,5,9,14,
,260,322,582,,7,,6,13,,32,47,79,,5,11,16,2,,2,,,,,1,2,,3,307,388,695,
,9,7,16,,,,1,1,,,,,,,1,1,,,,,,,,,1,,1,9,10,19,
,,,,,,,,,,,,,,,,,,,,14,15,29,,,,,,14,15,29,
,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,
,6,13,19,,,,,,,1,,1,,1,,1,,,,,1,1,,,,,,8,14,22,
,18,22,40,,1,,,1,,5,4,9,,1,,1,,,,1,2,3,,,,,,26,28,54,
,138,207,345,,3,,5,8,,20,34,54,,,11,11,,,,7,6,13,,1,1,,2,169,264,433,
,103,81,184,,3,,2,5,,6,9,15,,3,1,4,2,,2,6,6,12,,,2,,2,123,101,224,
,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,
,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,
,6,13,19,,,,,,,1,,1,,1,,1,,,,,1,1,,,,,,8,14,22,
,16,22,38,,1,,,1,,5,4,9,,1,,1,,,,1,2,3,,,,,,24,28,52,
,245,291,536,,6,,7,13,,26,43,69,,3,12,15,2,,2,13,12,25,,1,3,,4,296,368,664,
,256,318,574,,6,,7,13,,30,47,77,,4,12,16,2,,2,14,15,29,,1,3,,4,313,402,715,
,13,11,24,,1,,,1,,2,,2,,1,,1,,,,,,,,,,,,17,11,28,
,168,208,376,,2,,3,5,,15,15,30,,4,8,12,1,,1,1,,1,,1,1,,2,192,235,427,
,8,14,22,,,,2,2,,2,1,3,,,,,,,,12,14,26,,,,,,22,31,53,
,93,107,200,,5,,2,7,,15,31,46,,1,4,5,1,,1,1,1,2,,,2,,2,116,147,263,
,237,300,537,,5,,4,9,,28,34,62,,4,9,13,2,,2,9,10,19,,1,1,,2,286,358,644,
,32,29,61,,2,,3,5,,4,13,17,,1,3,4,,,,5,5,10,,,2,,2,44,55,99,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
