Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,880",2.0%,712,4.1%,69,3.0%,,,"4,661",2.3%,
Gender,Female,"2,104",2.2%,301,11.9%,26,4.0%,,,"2,431",3.3%,
,Male,"1,776",1.8%,411,-1.0%,43,2.4%,,,"2,230",1.3%,
Ethnicity,White,"3,225",-0.7%,484,0.6%,30,-6.3%,,,"3,739",-0.6%,
,Black,76,10.1%,14,-33.3%,2,100.0%,,,92,1.1%,
,Hispanic,387,28.1%,43,22.9%,2,0.0%,,,432,27.4%,
,Asian,142,8.4%,36,89.5%,2,0.0%,,,180,18.4%,
,American Indian,20,17.6%,2,100.0%,,,,,22,29.4%,
,International,22,-26.7%,127,11.4%,31,10.7%,,,180,4.7%,
,Unknown/Other,8,14.3%,6,-57.1%,2,0.0%,,,16,-30.4%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"2,448",7.1%,3,-57.1%,,,,,"2,451",6.9%,
,22-25,"1,388",-5.6%,468,9.3%,2,100.0%,,,"1,858",-2.2%,
,26-30,21,-4.5%,109,-11.4%,21,-16.0%,,,151,-11.2%,
,31-39,17,41.7%,79,6.8%,37,23.3%,,,133,14.7%,
,40+,6,-53.8%,53,1.9%,9,-18.2%,,,68,-10.5%,
Enrollment,1st Time in College,8,-50.0%,,,,,,,8,-50.0%,
Status,1st Time PB,,,1,-50.0%,,,,,1,-50.0%,
,1st Time Graduate,,,75,-14.8%,,,,,75,-14.8%,
,1st Time Transfer,0,-100.0%,,,,,,,0,-100.0%,
,Readmitted,12,-20.0%,,,,,,,12,-20.0%,
,Continuing,"3,860",2.4%,636,7.1%,69,3.0%,,,"4,565",3.0%,
Tuition,Resident Tuition,"3,753",1.9%,546,3.4%,17,6.3%,,,"4,316",2.1%,
Status,Non-Resident Tuition,48,17.1%,29,11.5%,5,0.0%,,,82,13.9%,
,Tuition Exemption/Waiver,79,0.0%,137,5.4%,47,2.2%,,,263,3.1%,
Residency,Texas Resident,"3,789",2.2%,546,3.0%,21,5.0%,,,"4,356",2.3%,
Status,"Non-TX, US Resident",68,7.9%,37,-7.5%,17,0.0%,,,122,1.7%,
,"Non-TX, Non-US Resident",23,-28.1%,129,13.2%,31,3.3%,,,183,4.0%,
SCH,< 6 SCH,27,-18.2%,10,-23.1%,6,0.0%,,,43,-17.3%,
Categories,6-8 SCH,127,24.5%,82,215.4%,0,-100.0%,,,209,62.0%,
,9-11 SCH,327,14.7%,243,60.9%,63,5.0%,,,633,27.6%,
,12-14 SCH,"2,001",-4.3%,260,-25.3%,,,,,"2,261",-7.3%,
,15-17 SCH,"1,337",7.0%,45,-31.8%,,,,,"1,382",5.1%,
,>17 SCH,61,45.2%,72,-10.0%,,,,,133,9.0%,
Ft/Pt:,Less Than Half Time,21,-16.0%,6,-50.0%,6,20.0%,,,33,-21.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","107
289","13.8%
9.5%",56,180.0%,0,-100.0%,,,"163
289","40.5%
9.5%",
,Full-Time,"3,463",1.3%,650,-0.3%,63,5.0%,,,"4,176",1.1%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
