Office of Institutional Studies and Planning,,,,,,,,
Qatar Campus,,,,,,,,
(Not included in University Total Enrollment) Spring 2007,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,
Spring 2007,,Student Level,,,,,Grand Total,
,,U0,U1,U2,U3,U4,,
Head Count,,13,45,60,52,21,191,
Gender,Female,9,19,20,18,13,79,
,Male,4,26,40,34,8,112,
SCH,< 6 SCH,5,,,,,5,
Categories,6-8 SCH,5,,,,,5,
9-11 SCH,,3,,,,,3,
,12-14 SCH,,20,25,21,5,71,
15-17 SCH,,,6,30,30,15,81,
,>17 SCH,,19,5,1,1,26,
"Prepared by OISP, 12 Apr 07",,,,,,,,
