Spring 2007,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Veterinary,BIMS,"1,161",-8.5%,42,20.0%,257,11.3%,154,6.2%,11,37.5%,5,-37.5%,2,-33.3%,"1,632",-3.9%,
Medicine,EPID,10,25.0%,,,0,-100.0%,1,0.0%,,,,,,,11,10.0%,
,LAMD,2,-33.3%,1,100.0%,,,,,1,100.0%,,,,,4,33.3%,
,STJR,2,100.0%,,,,,,,,,,,,,2,100.0%,
,TOXI,,,,,,,,,,,0,-100.0%,,,0,-100.0%,
,VMSC,14,75.0%,,,3,200.0%,,,,,1,0.0%,,,18,80.0%,
,VPAR,2,0.0%,,,,,,,,,,,,,2,0.0%,
,VPAT,4,-42.9%,,,1,0.0%,,,,,6,0.0%,,,11,-21.4%,
,VPHY,7,40.0%,1,100.0%,0,-100.0%,0,-100.0%,,,9,50.0%,,,17,30.8%,
,VTAN,9,-10.0%,,,,,2,0.0%,,,8,14.3%,,,19,0.0%,
,VTMD,446,-1.3%,2,-50.0%,34,13.3%,16,0.0%,1,0.0%,,,6,0.0%,505,-0.8%,
,VTMI,15,-40.0%,2,0.0%,4,0.0%,1,0.0%,,,12,9.1%,1,-50.0%,35,-22.2%,
,VTMS,1,0.0%,,,,,0,-100.0%,,,,,,,1,-50.0%,
,VTPH,5,150.0%,,,,,,,1,0.0%,,,,,6,100.0%,
,Subtotal,"1,678",-6.4%,48,17.1%,299,11.2%,174,4.2%,14,40.0%,41,2.5%,9,-18.2%,"2,263",-2.9%,
General,GEST,"2,101",1.9%,128,18.5%,404,-8.6%,138,22.1%,20,-4.8%,20,17.6%,4,-33.3%,"2,815",1.7%,
Studies,TEAM,285,-26.5%,13,225.0%,49,36.1%,1,-87.5%,4,33.3%,,,2,100.0%,354,-19.4%,
,Subtotal,"2,386",-2.6%,141,25.9%,453,-5.2%,139,14.9%,24,0.0%,20,17.6%,6,0.0%,"3,169",-1.2%,
Other -,AGBU,11,-42.1%,,,1,-66.7%,,,,,6,-45.5%,,,18,-45.5%,
Special,BIOT,6,-40.0%,,,1,0.0%,1,-75.0%,,,12,140.0%,,,20,0.0%,
Populations,ENSM,5,66.7%,0,-100.0%,1,0.0%,1,100.0%,,,7,600.0%,,,14,133.3%,
,FSTC,10,-9.1%,,,3,-40.0%,1,0.0%,,,21,-16.0%,,,35,-16.7%,
,GENE,32,-3.0%,1,0.0%,1,0.0%,4,0.0%,,,15,0.0%,0,-100.0%,53,-3.6%,
,MARM,1,0.0%,,,0,-100.0%,,,,,0,-100.0%,,,1,-66.7%,
,MDSC,1,-50.0%,,,,,,,,,4,-20.0%,,,5,-28.6%,
,MEPS,13,18.2%,,,2,0.0%,,,,,18,-10.0%,,,33,0.0%,
,MSEN,1,0.0%,3,100.0%,,,,,,,25,13.6%,,,29,26.1%,
,NUTR,15,-6.3%,1,0.0%,1,-50.0%,1,0.0%,,,11,22.2%,,,29,0.0%,
,PHLT,10,11.1%,1,0.0%,0,-100.0%,,,,,2,0.0%,1,0.0%,14,-12.5%,
,PPHY,,,,,,,,,,,0,-100.0%,,,0,-100.0%,
,REEP,,,,,,,,,,,57,18.8%,,,57,18.8%,
,TOXI,12,-7.7%,1,100.0%,1,0.0%,,,,,12,-20.0%,1,0.0%,27,-10.0%,
,WMHS,13,30.0%,,,1,100.0%,,,,,7,133.3%,1,100.0%,22,69.2%,
,Subtotal,130,-6.5%,7,75.0%,12,-40.0%,8,-20.0%,,,197,7.7%,3,0.0%,357,-0.6%,
Total,,"31,083",-0.2%,"1,266",7.5%,"4,640",8.8%,"1,609",12.5%,216,9.6%,"3,383",7.4%,177,-16.9%,"42,374",1.9%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,,,,,,,
