Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,50,16.3%,149,-8.6%,158,3.3%,,,357,-0.6%,
Gender,Female,22,4.8%,78,0.0%,86,16.2%,,,186,7.5%,
,Male,28,27.3%,71,-16.5%,72,-8.9%,,,171,-8.1%,
Ethnicity,White,,,79,0.0%,51,-15.0%,,,130,-6.5%,
,Black,,,3,0.0%,4,300.0%,,,7,75.0%,
,Hispanic,,,8,-50.0%,4,0.0%,,,12,-40.0%,
,Asian,,,5,-16.7%,3,-25.0%,,,8,-20.0%,
,American Indian,,,,,,,,,,,
,International,50,16.3%,53,-8.6%,94,14.6%,,,197,7.7%,
,Unknown/Other,,,1,0.0%,2,0.0%,,,3,0.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,14,7.7%,1,100.0%,,,,,15,15.4%,
,22-25,33,13.8%,67,-4.3%,9,-30.8%,,,109,-2.7%,
,26-30,3,200.0%,49,-23.4%,79,17.9%,,,131,-0.8%,
,31-39,,,28,12.0%,57,-1.7%,,,85,2.4%,
,40+,,,4,0.0%,13,-13.3%,,,17,-10.5%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,13,18.2%,,,,,13,18.2%,
,1st Time Graduate,,,9,-25.0%,4,100.0%,,,13,-7.1%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,50,16.3%,127,-9.3%,154,2.0%,,,331,-0.9%,
Tuition,Resident Tuition,,,78,0.0%,44,-12.0%,,,122,-4.7%,
Status,Non-Resident Tuition,50,16.3%,20,5.3%,11,-47.6%,,,81,-2.4%,
,Tuition Exemption/Waiver,,,51,-22.7%,103,25.6%,,,154,4.1%,
Residency,Texas Resident,,,79,0.0%,45,-11.8%,,,124,-4.6%,
Status,"Non-TX, US Resident",,,17,-32.0%,19,-5.0%,,,36,-20.0%,
,"Non-TX, Non-US Resident",50,16.3%,53,-10.2%,94,14.6%,,,197,7.1%,
SCH,< 6 SCH,,,41,0.0%,14,-26.3%,,,55,-8.3%,
Categories,6-8 SCH,,,10,-47.4%,4,100.0%,,,14,-26.3%,
,9-11 SCH,,,85,1.2%,135,3.8%,,,220,2.8%,
,12-14 SCH,26,13.0%,13,-31.6%,4,100.0%,,,43,-2.3%,
,15-17 SCH,21,23.5%,,,1,0.0%,,,22,22.2%,
,>17 SCH,3,0.0%,,,0,-100.0%,,,3,-25.0%,
Ft/Pt:,Less Than Half Time,,,26,-13.3%,11,-35.3%,,,37,-21.3%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,16,-40.7%,4,100.0%,,,20,-31.0%,
,Full-Time,50,16.3%,107,0.9%,143,6.7%,,,300,6.0%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
