Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,142",1.1%,515,0.0%,484,9.8%,,,"6,141",1.6%,
Gender,Female,"2,424",0.5%,259,7.5%,217,15.4%,,,"2,900",2.1%,
,Male,"2,718",1.5%,256,-6.6%,267,5.5%,,,"3,241",1.2%,
Ethnicity,White,"4,237",-0.3%,372,-1.3%,219,7.9%,,,"4,828",0.0%,
,Black,155,7.6%,11,-8.3%,17,88.9%,,,183,10.9%,
,Hispanic,517,9.3%,39,11.4%,26,73.3%,,,582,11.3%,
,Asian,129,17.3%,5,25.0%,6,-25.0%,,,140,14.8%,
,American Indian,39,-4.9%,4,-20.0%,2,100.0%,,,45,-4.3%,
,International,46,-2.1%,81,9.5%,206,3.0%,,,333,3.7%,
,Unknown/Other,19,-17.4%,3,-62.5%,8,60.0%,,,30,-16.7%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,"2,228",8.0%,,,,,,,"2,228",8.0%,
,22-25,"2,643",-3.0%,239,-0.4%,21,61.5%,,,"2,903",-2.6%,
,26-30,202,-11.0%,185,0.5%,176,7.3%,,,563,-2.1%,
,31-39,45,-4.3%,65,-5.8%,210,12.9%,,,320,6.0%,
,40+,24,0.0%,26,18.2%,77,-1.3%,,,127,2.4%,
Enrollment,1st Time in College,8,0.0%,,,,,,,8,0.0%,
Status,1st Time PB,5,0.0%,6,-75.0%,,,,,11,-62.1%,
,1st Time Graduate,,,52,2.0%,15,25.0%,,,67,6.3%,
,1st Time Transfer,209,-8.3%,,,,,,,209,-8.3%,
,Readmitted,61,0.0%,0,-100.0%,,,,,61,-1.6%,
,Continuing,"4,859",1.5%,457,4.1%,469,9.3%,,,"5,785",2.3%,
Tuition,Resident Tuition,"4,843",1.0%,330,-2.7%,185,25.0%,,,"5,358",1.5%,
Status,Non-Resident Tuition,103,5.1%,21,-38.2%,51,-17.7%,,,175,-9.8%,
,Tuition Exemption/Waiver,196,-0.5%,164,15.5%,248,7.4%,,,608,6.7%,
Residency,Texas Resident,"4,902",1.0%,336,-3.2%,193,22.2%,,,"5,431",1.3%,
Status,"Non-TX, US Resident",193,4.9%,98,4.3%,85,3.7%,,,376,4.4%,
,"Non-TX, Non-US Resident",47,-6.0%,81,9.5%,206,2.5%,,,334,2.8%,
SCH,< 6 SCH,120,13.2%,110,-2.7%,94,22.1%,,,324,9.5%,
Categories,6-8 SCH,235,1.3%,45,-11.8%,27,28.6%,,,307,1.0%,
,9-11 SCH,360,-3.5%,329,2.2%,352,6.0%,,,"1,041",1.4%,
,12-14 SCH,"2,369",3.3%,30,20.0%,11,10.0%,,,"2,410",3.5%,
,15-17 SCH,"1,875",-1.3%,1,-75.0%,0,-100.0%,,,"1,876",-1.5%,
,>17 SCH,183,0.0%,,,,,,,183,0.0%,
Ft/Pt:,Less Than Half Time,91,-4.2%,70,-16.7%,85,30.8%,,,246,0.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","222
351","6.2%
-5.9%",59,-16.9%,24,-22.6%,,,"305
351","-1.9%
-5.9%",
,Full-Time,"4,478",1.5%,386,7.2%,375,8.7%,,,"5,239",2.4%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
