Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,212,6.5%,,,,,212,6.5%,
Gender,Female,,,89,11.3%,,,,,89,11.3%,
,Male,,,123,3.4%,,,,,123,3.4%,
Ethnicity,White,,,166,11.4%,,,,,166,11.4%,
,Black,,,6,-25.0%,,,,,6,-25.0%,
,Hispanic,,,20,-9.1%,,,,,20,-9.1%,
,Asian,,,4,33.3%,,,,,4,33.3%,
,American Indian,,,2,100.0%,,,,,2,100.0%,
,International,,,13,-7.1%,,,,,13,-7.1%,
,Unknown/Other,,,1,-50.0%,,,,,1,-50.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,104,20.9%,,,,,104,20.9%,
,26-30,,,61,-9.0%,,,,,61,-9.0%,
,31-39,,,28,-20.0%,,,,,28,-20.0%,
,40+,,,19,72.7%,,,,,19,72.7%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,22,-21.4%,,,,,22,-21.4%,
,1st Time Graduate,,,1,100.0%,,,,,1,100.0%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,189,10.5%,,,,,189,10.5%,
Tuition,Resident Tuition,,,150,10.3%,,,,,150,10.3%,
Status,Non-Resident Tuition,,,5,-28.6%,,,,,5,-28.6%,
,Tuition Exemption/Waiver,,,57,1.8%,,,,,57,1.8%,
Residency,Texas Resident,,,157,8.3%,,,,,157,8.3%,
Status,"Non-TX, US Resident",,,42,10.5%,,,,,42,10.5%,
,"Non-TX, Non-US Resident",,,13,-18.8%,,,,,13,-18.8%,
SCH,< 6 SCH,,,46,15.0%,,,,,46,15.0%,
Categories,6-8 SCH,,,31,34.8%,,,,,31,34.8%,
,9-11 SCH,,,19,5.6%,,,,,19,5.6%,
,12-14 SCH,,,112,1.8%,,,,,112,1.8%,
,15-17 SCH,,,3,-62.5%,,,,,3,-62.5%,
,>17 SCH,,,1,100.0%,,,,,1,100.0%,
Ft/Pt:,Less Than Half Time,,,38,-5.0%,,,,,38,-5.0%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,21,-8.7%,,,,,21,-8.7%,
,Full-Time,,,153,12.5%,,,,,153,12.5%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
