Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,169",-1.2%,,,,,,,"3,169",-1.2%,
Gender,Female,"1,413",-1.7%,,,,,,,"1,413",-1.7%,
,Male,"1,756",-0.7%,,,,,,,"1,756",-0.7%,
Ethnicity,White,"2,386",-2.6%,,,,,,,"2,386",-2.6%,
,Black,141,25.9%,,,,,,,141,25.9%,
,Hispanic,453,-5.2%,,,,,,,453,-5.2%,
,Asian,139,14.9%,,,,,,,139,14.9%,
,American Indian,24,0.0%,,,,,,,24,0.0%,
,International,20,17.6%,,,,,,,20,17.6%,
,Unknown/Other,6,0.0%,,,,,,,6,0.0%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,"2,970",-2.0%,,,,,,,"2,970",-2.0%,
,22-25,191,15.1%,,,,,,,191,15.1%,
,26-30,6,-14.3%,,,,,,,6,-14.3%,
,31-39,0,-100.0%,,,,,,,0,-100.0%,
,40+,2,100.0%,,,,,,,2,100.0%,
Enrollment,1st Time in College,12,-20.0%,,,,,,,12,-20.0%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,28,-9.7%,,,,,,,28,-9.7%,
,Readmitted,40,37.9%,,,,,,,40,37.9%,
,Continuing,"3,089",-1.4%,,,,,,,"3,089",-1.4%,
Tuition,Resident Tuition,"3,008",-1.8%,,,,,,,"3,008",-1.8%,
Status,Non-Resident Tuition,78,9.9%,,,,,,,78,9.9%,
,Tuition Exemption/Waiver,83,12.2%,,,,,,,83,12.2%,
Residency,Texas Resident,"3,037",-2.0%,,,,,,,"3,037",-2.0%,
Status,"Non-TX, US Resident",110,20.9%,,,,,,,110,20.9%,
,"Non-TX, Non-US Resident",22,22.2%,,,,,,,22,22.2%,
SCH,< 6 SCH,354,-19.7%,,,,,,,354,-19.7%,
Categories,6-8 SCH,55,-15.4%,,,,,,,55,-15.4%,
,9-11 SCH,53,-26.4%,,,,,,,53,-26.4%,
,12-14 SCH,"1,655",3.1%,,,,,,,"1,655",3.1%,
,15-17 SCH,"1,027",3.1%,,,,,,,"1,027",3.1%,
,>17 SCH,25,-10.7%,,,,,,,25,-10.7%,
Ft/Pt:,Less Than Half Time,352,-19.8%,,,,,,,352,-19.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","55
52","-15.4%
-24.6%",,,,,,,"55
52","-15.4%
-24.6%",
,Full-Time,"2,710",2.9%,,,,,,,"2,710",2.9%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
