Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"6,591",7.2%,"1,168",13.1%,926,3.6%,,,"8,685",7.6%,
Gender,Female,"1,201",7.7%,234,24.5%,140,4.5%,,,"1,575",9.6%,
,Male,"5,390",7.1%,934,10.5%,786,3.4%,,,"7,110",7.1%,
Ethnicity,White,"4,928",5.5%,381,1.1%,149,12.9%,,,"5,458",5.4%,
,Black,173,-1.1%,36,12.5%,16,-11.1%,,,225,0.0%,
,Hispanic,842,18.9%,52,8.3%,25,31.6%,,,919,18.6%,
,Asian,327,19.8%,43,2.4%,23,4.5%,,,393,16.6%,
,American Indian,27,-6.9%,1,0.0%,2,100.0%,,,30,-3.2%,
,International,271,0.4%,649,23.9%,709,1.6%,,,"1,629",9.2%,
,Unknown/Other,23,0.0%,6,-33.3%,2,-50.0%,,,31,-13.9%,
TAMU Age,<18,3,200.0%,,,,,,,3,200.0%,
Categories,18-21,"3,898",14.2%,2,-33.3%,,,,,"3,900",14.2%,
,22-25,"2,458",-1.2%,635,24.0%,51,13.3%,,,"3,144",3.3%,
,26-30,184,-5.2%,395,5.3%,402,-4.1%,,,981,-0.7%,
,31-39,33,-15.4%,111,-3.5%,417,13.0%,,,561,7.3%,
,40+,15,7.1%,25,-10.7%,56,-8.2%,,,96,-6.8%,
Enrollment,1st Time in College,26,23.8%,,,,,,,26,23.8%,
Status,1st Time PB,4,300.0%,17,54.5%,,,,,21,75.0%,
,1st Time Graduate,,,110,7.8%,24,-29.4%,,,134,-1.5%,
,1st Time Transfer,128,7.6%,,,,,,,128,7.6%,
,Readmitted,25,-13.8%,2,-50.0%,4,100.0%,,,31,-6.1%,
,Continuing,"6,408",7.2%,"1,039",13.4%,898,4.4%,,,"8,345",7.6%,
Tuition,Resident Tuition,"5,923",7.4%,385,1.3%,133,3.1%,,,"6,441",6.9%,
Status,Non-Resident Tuition,297,6.5%,214,22.3%,136,-8.1%,,,647,7.5%,
,Tuition Exemption/Waiver,371,5.1%,569,19.0%,657,6.5%,,,"1,597",10.3%,
Residency,Texas Resident,"6,004",7.3%,399,2.3%,139,10.3%,,,"6,542",7.1%,
Status,"Non-TX, US Resident",312,13.9%,116,0.9%,78,20.0%,,,506,11.5%,
,"Non-TX, Non-US Resident",275,-1.4%,653,23.7%,709,0.9%,,,"1,637",8.4%,
SCH,< 6 SCH,124,-14.5%,172,29.3%,121,2.5%,,,417,5.3%,
Categories,6-8 SCH,125,-26.5%,68,-16.0%,24,71.4%,,,217,-18.1%,
,9-11 SCH,266,-11.6%,854,12.8%,756,3.4%,,,"1,876",4.9%,
,12-14 SCH,"3,137",6.3%,70,16.7%,17,-37.0%,,,"3,224",6.2%,
,15-17 SCH,"2,742",14.8%,4,100.0%,7,600.0%,,,"2,753",15.1%,
,>17 SCH,197,1.5%,,,1,-66.7%,,,198,0.5%,
Ft/Pt:,Less Than Half Time,37,-28.8%,125,10.6%,99,2.1%,,,261,-0.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","122
256","-26.1%
-13.5%",85,-12.4%,27,8.0%,,,"234
256","-18.5%
-13.5%",
,Full-Time,"6,176",9.6%,958,16.4%,800,3.6%,,,"7,934",9.7%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
