Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,051",7.7%,293,-2.7%,392,1.6%,,,"2,736",5.6%,
Gender,Female,"1,156",6.3%,115,-6.5%,116,6.4%,,,"1,387",5.2%,
,Male,895,9.4%,178,0.0%,276,-0.4%,,,"1,349",6.0%,
Ethnicity,White,"1,453",4.0%,152,-0.7%,135,3.1%,,,"1,740",3.5%,
,Black,71,10.9%,10,25.0%,2,0.0%,,,83,12.2%,
,Hispanic,278,14.4%,15,-34.8%,21,-12.5%,,,314,8.3%,
,Asian,210,20.0%,14,7.7%,16,-15.8%,,,240,15.9%,
,American Indian,12,50.0%,0,-100.0%,4,100.0%,,,16,33.3%,
,International,22,69.2%,101,2.0%,210,2.4%,,,333,5.0%,
,Unknown/Other,5,0.0%,1,-66.7%,4,33.3%,,,10,-9.1%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,417",8.9%,2,100.0%,,,,,"1,419",9.0%,
,22-25,596,4.4%,127,-9.3%,49,-3.9%,,,772,1.3%,
,26-30,25,31.6%,111,9.9%,220,11.1%,,,356,11.9%,
,31-39,10,-16.7%,39,0.0%,111,-8.3%,,,160,-7.0%,
,40+,3,50.0%,14,-30.0%,12,-25.0%,,,29,-23.7%,
Enrollment,1st Time in College,6,200.0%,,,,,,,6,200.0%,
Status,1st Time PB,1,100.0%,3,-62.5%,,,,,4,-50.0%,
,1st Time Graduate,,,12,-14.3%,1,-80.0%,,,13,-31.6%,
,1st Time Transfer,25,-30.6%,,,,,,,25,-30.6%,
,Readmitted,7,600.0%,1,-50.0%,,,,,8,166.7%,
,Continuing,"2,012",7.8%,277,0.0%,391,2.6%,,,"2,680",6.2%,
Tuition,Resident Tuition,"1,920",8.0%,112,-6.7%,72,-5.3%,,,"2,104",6.6%,
Status,Non-Resident Tuition,44,33.3%,16,-5.9%,14,-70.2%,,,74,-23.7%,
,Tuition Exemption/Waiver,87,-8.4%,165,0.6%,306,16.3%,,,558,6.9%,
Residency,Texas Resident,"1,953",7.6%,116,-3.3%,78,-4.9%,,,"2,147",6.4%,
Status,"Non-TX, US Resident",75,0.0%,75,-7.4%,100,11.1%,,,250,1.6%,
,"Non-TX, Non-US Resident",23,53.3%,102,2.0%,214,0.0%,,,339,3.0%,
SCH,< 6 SCH,14,-33.3%,33,10.0%,12,-25.0%,,,59,-11.9%,
Categories,6-8 SCH,57,21.3%,12,-29.4%,1,-50.0%,,,70,6.1%,
,9-11 SCH,108,45.9%,239,-4.0%,379,3.6%,,,726,5.4%,
,12-14 SCH,"1,025",6.1%,9,80.0%,0,-100.0%,,,"1,034",6.4%,
,15-17 SCH,769,2.7%,,,0,-100.0%,,,769,2.5%,
,>17 SCH,78,62.5%,,,,,,,78,62.5%,
Ft/Pt:,Less Than Half Time,11,-45.0%,22,15.8%,11,-15.4%,,,44,-15.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","54
101","22.7%
55.4%",18,-30.8%,1,-66.7%,,,"73
101","0.0%
55.4%",
,Full-Time,"1,885",6.1%,253,-1.2%,380,2.7%,,,"2,518",4.8%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
