Country,Undergraduate,Masters,PhD,Professional,Total Students
Afghanistan,1,,,,1
Albania,,1,,,1
Angola,4,1,,,5
Antigua and Barbuda,,,1,,1
Argentina,3,4,6,,13
Armenia,1,,2,,3
Australia,4,2,,,6
Austria,2,,2,,4
Azerbaijan,,4,,,4
Bahrain,,2,,,2
Bangladesh,7,9,9,,25
Barbados,1,1,,,2
Belarus,1,,3,,4
Belgium,1,,,,1
Belize (British Honduras),2,1,,,3
Bolivia,10,2,2,,14
Botswana,,,2,,2
Brazil,5,9,16,,30
British Virgin Islands,,1,,,1
Bulgaria,,1,6,,7
Burma (Myanmar),,,1,,1
Cambodia  (Kampuchea),,1,,,1
Cameroon,5,3,1,,9
Canada,13,7,26,,46
Cayman Islands,1,,,,1
Chile,,2,8,,10
"China, People's Rep of",16,190,395,,601
Colombia,6,28,28,,62
Costa Rica,6,,,,6
Cote d'Ivoire (Ivory Coast),1,,,,1
Cyprus,1,,,,1
Czech Republic,,1,,,1
Dem Republic of Congo (Ziare),,,1,,1
Denmark,,,1,,1
Dominica,,,1,,1
Dominican Republic,2,1,2,,5
Ecuador,4,11,6,,21
Egypt (A.R.E.),2,,15,,17
El Salvador,4,2,1,,7
Equatorial Guinea,4,,,,4
Estonia,1,,2,,3
Ethiopia,2,1,1,,4
France,15,12,9,,36
"Gambia, The",,1,,,1
Georgia (C.I.S.),,1,1,,2
Germany,2,7,8,,17
