Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,914",-1.0%,534,-1.3%,693,-1.0%,,,"5,141",-1.0%,
Gender,Female,"2,931",-3.3%,392,-3.4%,469,-1.9%,,,"3,792",-3.2%,
,Male,983,6.7%,142,5.2%,224,0.9%,,,"1,349",5.6%,
Ethnicity,White,"3,308",-1.8%,395,-4.4%,386,-1.0%,,,"4,089",-2.0%,
,Black,113,1.8%,29,-14.7%,88,-3.3%,,,230,-2.5%,
,Hispanic,401,5.5%,57,14.0%,110,-5.2%,,,568,4.0%,
,Asian,59,-4.8%,7,133.3%,15,25.0%,,,81,5.2%,
,American Indian,12,-14.3%,1,0.0%,4,33.3%,,,17,-5.6%,
,International,10,0.0%,44,37.5%,81,2.5%,,,135,11.6%,
,Unknown/Other,11,37.5%,1,-87.5%,9,0.0%,,,21,-16.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,768",1.1%,3,100.0%,,,,,"1,771",1.3%,
,22-25,"1,988",-2.5%,251,2.9%,17,13.3%,,,"2,256",-1.9%,
,26-30,93,-7.0%,128,-3.8%,119,7.2%,,,340,-1.2%,
,31-39,35,-12.5%,84,-7.7%,251,-6.0%,,,370,-7.0%,
,40+,30,25.0%,68,-6.8%,306,-0.3%,,,404,0.0%,
Enrollment,1st Time in College,4,-20.0%,,,,,,,4,-20.0%,
Status,1st Time PB,1,100.0%,21,-22.2%,,,,,22,-18.5%,
,1st Time Graduate,,,62,-8.8%,19,-29.6%,,,81,-14.7%,
,1st Time Transfer,123,-16.9%,,,,,,,123,-16.9%,
,Readmitted,25,13.6%,3,200.0%,5,66.7%,,,33,26.9%,
,Continuing,"3,761",-0.4%,448,0.7%,669,-0.1%,,,"4,878",-0.3%,
Tuition,Resident Tuition,"3,809",-0.7%,442,-4.7%,544,-1.4%,,,"4,795",-1.2%,
Status,Non-Resident Tuition,39,-25.0%,26,13.0%,35,-18.6%,,,100,-15.3%,
,Tuition Exemption/Waiver,66,1.5%,66,22.2%,114,8.6%,,,246,9.8%,
Residency,Texas Resident,"3,840",-0.6%,449,-5.3%,563,-1.6%,,,"4,852",-1.2%,
Status,"Non-TX, US Resident",64,-17.9%,41,13.9%,49,2.1%,,,154,-4.9%,
,"Non-TX, Non-US Resident",10,0.0%,44,41.9%,81,1.3%,,,135,11.6%,
SCH,< 6 SCH,41,13.9%,121,-18.8%,333,-1.5%,,,495,-5.4%,
Categories,6-8 SCH,376,-5.5%,146,-7.6%,95,-18.8%,,,617,-8.3%,
,9-11 SCH,254,-9.6%,197,23.1%,229,5.0%,,,680,3.2%,
,12-14 SCH,"1,579",-2.5%,59,-6.3%,32,39.1%,,,"1,670",-2.1%,
,15-17 SCH,"1,491",0.3%,11,10.0%,4,0.0%,,,"1,506",0.4%,
,>17 SCH,173,31.1%,0,-100.0%,,,,,173,30.1%,
Ft/Pt:,Less Than Half Time,39,11.4%,83,-31.4%,255,-5.2%,,,377,-11.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","107
210","-15.1%
-6.7%",131,-28.8%,149,-19.9%,,,"387
210","-22.0%
-6.7%",
,Full-Time,"3,558",-0.3%,320,35.6%,289,18.0%,,,"4,167",2.9%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
