Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,760",-2.8%,280,-0.7%,468,7.6%,,,"6,508",-2.0%,
Gender,Female,"3,489",-2.4%,155,13.1%,233,16.5%,,,"3,877",-0.9%,
,Male,"2,271",-3.4%,125,-13.8%,235,0.0%,,,"2,631",-3.6%,
Ethnicity,White,"4,627",-4.0%,163,-2.4%,249,-1.6%,,,"5,039",-3.8%,
,Black,183,7.6%,11,0.0%,21,90.9%,,,215,12.0%,
,Hispanic,730,2.2%,35,-7.9%,47,42.4%,,,812,3.4%,
,Asian,147,1.4%,19,11.8%,9,12.5%,,,175,2.9%,
,American Indian,29,20.8%,,,3,0.0%,,,32,18.5%,
,International,25,-21.9%,48,11.6%,128,13.3%,,,201,6.9%,
,Unknown/Other,19,-9.5%,4,-33.3%,11,-21.4%,,,34,-17.1%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,"3,027",3.9%,1,0.0%,0,-100.0%,,,"3,028",3.9%,
,22-25,"2,562",-8.9%,115,0.9%,25,-7.4%,,,"2,702",-8.5%,
,26-30,109,-12.1%,86,-10.4%,188,18.2%,,,383,1.1%,
,31-39,39,-18.8%,51,10.9%,178,-1.1%,,,268,-2.2%,
,40+,22,-15.4%,27,8.0%,77,13.2%,,,126,5.9%,
Enrollment,1st Time in College,14,-17.6%,,,,,,,14,-17.6%,
Status,1st Time PB,,,5,25.0%,,,,,5,25.0%,
,1st Time Graduate,,,8,166.7%,2,-50.0%,,,10,42.9%,
,1st Time Transfer,179,8.5%,,,,,,,179,8.5%,
,Readmitted,28,-42.9%,1,0.0%,1,100.0%,,,30,-40.0%,
,Continuing,"5,539",-2.7%,266,-2.9%,465,7.9%,,,"6,270",-2.0%,
Tuition,Resident Tuition,"5,427",-2.5%,130,0.8%,190,9.8%,,,"5,747",-2.1%,
Status,Non-Resident Tuition,132,-2.2%,40,-11.1%,47,-24.2%,,,219,-9.5%,
,Tuition Exemption/Waiver,201,-9.5%,110,1.9%,231,15.5%,,,542,2.3%,
Residency,Texas Resident,"5,501",-2.5%,139,2.2%,195,8.9%,,,"5,835",-2.1%,
Status,"Non-TX, US Resident",231,-4.9%,93,-9.7%,145,3.6%,,,469,-3.5%,
,"Non-TX, Non-US Resident",28,-24.3%,48,11.6%,128,10.3%,,,204,4.1%,
SCH,< 6 SCH,95,5.6%,41,-16.3%,93,-19.8%,,,229,-10.2%,
Categories,6-8 SCH,161,-30.6%,23,21.1%,14,-6.7%,,,198,-25.6%,
,9-11 SCH,360,-10.7%,206,-1.4%,354,19.2%,,,920,1.2%,
,12-14 SCH,"2,277",-2.4%,9,125.0%,7,75.0%,,,"2,293",-2.1%,
,15-17 SCH,"2,578",0.0%,1,0.0%,0,-100.0%,,,"2,579",0.0%,
,>17 SCH,289,0.3%,,,0,-100.0%,,,289,-0.3%,
Ft/Pt:,Less Than Half Time,79,-1.3%,30,-25.0%,75,-19.4%,,,184,-13.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","156
347","-31.0%
-10.6%",26,-3.7%,28,-24.3%,,,"210
347","-27.6%
-10.6%",
,Full-Time,"5,178",-1.0%,224,4.2%,365,19.7%,,,"5,767",0.3%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
