"Fall 2009
Agriculture         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Architecture        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Business              Texas Resident
Admin                 Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Education            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Engineering        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
G. Bush               Texas Resident
School of            Non-TX, US Resident
Subtotal Geosciences        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Liberal Arts         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Science                Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Veterinary           Texas Resident
Medicine             Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
General               Texas Resident
Studies                Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Other -                 Texas Resident
Special                Non-TX, US Resident
Subtotal
Total                    Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Grand Total",Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,
,"5,481",-4.4%,10,11.1%,79,23.4%,"5,570",-4.1%,
,,,119,5.3%,315,-0.9%,434,0.7%,
,6,-14.3%,110,17.0%,350,-0.6%,466,2.9%,
,"5,487",-4.4%,239,10.6%,744,1.4%,"6,470",-3.3%,
,"1,548",-3.3%,,,21,-16.0%,"1,569",-3.5%,
,,,29,7.4%,48,-15.8%,77,-8.3%,
,4,33.3%,92,-25.8%,178,15.6%,274,-2.5%,
,"1,552",-3.2%,121,-19.9%,247,4.7%,"1,920",-3.6%,
,"4,767",-0.3%,5,66.7%,57,35.7%,"4,829",0.1%,
,,,45,25.0%,101,1.0%,146,7.4%,
,12,9.1%,61,22.0%,151,-8.5%,224,-0.9%,
,"4,779",-0.3%,111,24.7%,309,0.7%,"5,199",0.2%,
,"5,006",-0.8%,4,100.0%,54,-3.6%,"5,064",-0.7%,
,,,68,1.5%,103,-3.7%,171,-1.7%,
,5,25.0%,68,3.0%,88,7.3%,161,5.9%,
,"5,011",-0.7%,140,3.7%,245,0.0%,"5,396",-0.6%,
,"7,706",3.6%,20,11.1%,149,2.8%,"7,875",3.6%,
,,,156,18.2%,445,5.0%,601,8.1%,
,48,50.0%,761,-4.4%,"1,450",9.9%,"2,259",5.2%,
,"7,754",3.8%,937,-1.0%,"2,044",8.3%,"10,735",4.2%,
,200,10.5%,7,600.0%,11,-21.4%,218,11.2%,
,,,3,-70.0%,62,1.6%,65,-8.5%,
,,,1,100.0%,18,-18.2%,19,-13.6%,
,200,10.5%,11,0.0%,91,-6.2%,302,4.5%,
,688,17.4%,3,-25.0%,15,87.5%,706,18.1%,
,,,20,5.3%,98,25.6%,118,21.6%,
,2,100.0%,45,12.5%,109,7.9%,156,9.9%,
,690,17.5%,68,7.9%,222,18.7%,980,17.1%,
,"6,132",1.2%,11,10.0%,76,18.8%,"6,219",1.4%,
,,,145,6.6%,347,5.2%,492,5.6%,
,2,100.0%,99,-4.8%,126,12.5%,227,5.1%,
,"6,134",1.3%,255,2.0%,549,8.5%,"6,938",1.8%,
,"2,430",3.2%,5,150.0%,60,20.0%,"2,495",3.7%,
,,,33,-19.5%,224,6.7%,257,2.4%,
,7,40.0%,39,11.4%,388,10.9%,434,11.3%,
,"2,437",3.3%,77,-1.3%,672,10.2%,"3,186",4.5%,
,"2,213",-2.3%,1,-50.0%,35,16.7%,"2,249",-2.1%,
,,,27,-18.2%,73,4.3%,100,-2.9%,
,1,0.0%,8,0.0%,50,25.0%,59,20.4%,
,"2,214",-2.3%,36,-16.3%,158,12.9%,"2,408",-1.7%,
,"4,830",3.4%,4,-42.9%,35,16.7%,"4,869",3.4%,
,,,85,-9.6%,65,30.0%,150,4.2%,
,9,-10.0%,41,2.5%,12,71.4%,62,8.8%,
,"4,839",3.4%,130,-7.8%,112,28.7%,"5,081",3.5%,
,13,-13.3%,0,-100.0%,,,13,-23.5%,
,,,0,-100.0%,3,-40.0%,3,-50.0%,
,,,67,1.5%,4,0.0%,71,1.4%,
,13,-13.3%,67,-2.9%,7,-22.2%,87,-6.5%,
,"41,014",0.7%,70,16.7%,592,12.1%,"41,676",0.9%,
,,,730,3.0%,"1,884",4.1%,"2,614",3.8%,
,96,29.7%,"1,392",-2.2%,"2,924",8.0%,"4,412",4.9%,
,"41,110",0.8%,"2,192",0.0%,"5,400",7.0%,"48,702",1.4%,
"Prepared by OISP, 14 Dec 09",,,,,,,,,
