"Fall 2009
Headcount Total
TAMU Age                    <18
Categories                       18-21
22-25
26-30
Classification                  Freshman Sophomore Junior Senior
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,,M,,Tot,,
,,35,,48,83,,2,,3,5,,5,,7,12,,1,,3,4,,1,1,,3,3,,,,,43,,65,,108,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,34,,48,82,,2,,3,5,,5,,7,12,,1,,3,4,,1,1,,3,3,,,,,42,,65,,107,
,,31,,47,78,,1,,3,4,,5,,7,12,,1,,3,4,,1,1,,2,2,,,,,38,,63,,101,
,,3,,1,4,,1,,,1,,,,,,,,,,,,,,,1,1,,,,,4,,2,,6,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,33,,43,76,,2,,1,3,,5,,7,12,,1,,3,4,,,,,,,,,,,41,,54,,95,
,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,3,,3,
,,2,,5,7,,,,2,2,,,,,,,,,,,,1,1,,,,,,,,2,,8,,10,
,,34,,45,79,,2,,2,4,,5,,7,12,,1,,3,4,,1,1,,,,,,,,42,,58,,100,
,,1,,3,4,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,4,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,3,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,
,,11,,22,33,,,,2,2,,2,,3,5,,,,1,1,,1,1,,1,1,,,,,13,,30,,43,
,,24,,26,50,,2,,1,3,,3,,4,7,,1,,2,3,,,,,1,1,,,,,30,,34,,64,
,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,
,,35,,48,83,,2,,3,5,,5,,7,12,,1,,3,4,,1,1,,2,2,,,,,43,,64,,107,
,,14,,25,39,,1,,1,2,,1,,4,5,,1,,1,2,,,,,3,3,,,,,17,,34,,51,
,,21,,23,44,,1,,2,3,,4,,3,7,,,,2,2,,1,1,,,,,,,,26,,31,,57,
,,26,,41,67,,2,,2,4,,2,,3,5,,1,,3,4,,,,,,,,,,,31,,49,,80,
,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,3,,3,
,,9,,7,16,,,,1,1,,3,,4,7,,,,,,,1,1,,,,,,,,12,,13,,25,
,,11,,11,22,,1,,1,2,,2,,,2,,,,,,,,,,1,1,,,,,14,,13,,27,
,,24,,37,61,,1,,2,3,,3,,7,10,,1,,3,4,,1,1,,2,2,,,,,29,,52,,81,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
