"Fall 2009
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
31-39
40+
Classification                 Freshman Sophomore Junior Senior
PB
Tuition Status                Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status           Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt: TAMU                Less Than Half Time
Status                             Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,Black,,,,Hispanic,,,,Asian,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,
,F,M,Tot,F,,M,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,,To,t,
,575,593,"1,168",,11,18,29,,70,96,166,30,29,59,2,3,5,25,66,91,8,7,15,721,,812,,"1,533",
,2,,2,,,,,,,,,,,,,,,,,,,,,2,,,,2,
,488,440,928,,7,12,19,,53,74,127,24,24,48,2,3,5,17,36,53,7,3,10,598,,592,,"1,190",
,61,106,167,,2,5,7,,14,17,31,5,5,10,,,,4,23,27,1,1,2,87,,157,,244,
,13,31,44,,2,,2,,2,3,5,,,,,,,1,6,7,,2,2,18,,42,,60,
,7,14,21,,,1,1,,1,1,2,1,,1,,,,3,,3,,,,12,,16,,28,
,4,2,6,,,,,,,1,1,,,,,,,,1,1,,1,1,4,,5,,9,
,37,61,98,,3,2,5,,4,5,9,2,1,3,1,1,2,3,4,7,,,,50,,74,,124,
,326,332,658,,5,11,16,,37,51,88,16,21,37,1,1,2,9,29,38,2,4,6,396,,449,,845,
,189,177,366,,3,4,7,,23,34,57,11,6,17,,1,1,10,25,35,5,3,8,241,,250,,491,
,20,20,40,,,1,1,,6,5,11,1,,1,,,,3,8,11,1,,1,31,,34,,65,
,3,3,6,,,,,,,1,1,,1,1,,,,,,,,,,3,,5,,8,
,555,567,"1,122",,10,12,22,,69,91,160,30,29,59,2,3,5,3,6,9,8,7,15,677,,715,,"1,392",
,11,10,21,,1,3,4,,,3,3,,,,,,,16,43,59,,,,28,,59,,87,
,9,16,25,,,3,3,,1,2,3,,,,,,,6,17,23,,,,16,,38,,54,
,561,577,"1,138",,10,14,24,,69,93,162,30,29,59,2,3,5,,,,8,7,15,680,,723,,"1,403",
,14,16,30,,1,4,5,,1,2,3,,,,,,,,,,,,,16,,22,,38,
,,,,,,,,,,1,1,,,,,,,25,66,91,,,,25,,67,,92,
,5,4,9,,,,,,2,2,4,,1,1,,,,,,,,,,7,,7,,14,
,13,13,26,,,,,,3,1,4,1,,1,,,,,1,1,,1,1,17,,16,,33,
,23,20,43,,1,3,4,,3,2,5,,,,,,,1,3,4,2,,2,30,,28,,58,
,323,348,671,,7,9,16,,46,67,113,16,16,32,2,1,3,19,44,63,2,5,7,415,,490,,905,
,207,203,410,,3,5,8,,16,24,40,13,12,25,,2,2,4,18,22,4,1,5,247,,265,,512,
,4,5,9,,,1,1,,,,,,,,,,,1,,1,,,,5,,6,,11,
,5,4,9,,,,,,2,2,4,,1,1,,,,,,,,,,7,,7,,14,
,13,13,26,,,,,,2,1,3,1,,1,,,,,,,,1,1,16,,15,,31,
,24,24,48,,1,3,4,,4,2,6,,,,,,,1,2,3,2,,2,32,,31,,63,
,533,552,"1,085",,10,15,25,,62,91,153,29,28,57,2,3,5,24,64,88,6,6,12,666,,759,,"1,425",
,488,549,"1,037",,11,18,29,,61,84,145,26,26,52,2,2,4,25,65,90,7,7,14,620,,751,,"1,371",
,87,44,131,,,,,,9,12,21,4,3,7,,1,1,,1,1,1,,1,101,,61,,162,
,391,403,794,,4,8,12,,26,40,66,18,20,38,2,3,5,3,5,8,3,4,7,447,,483,,930,
,8,14,22,,,2,2,,4,4,8,,3,3,,,,20,60,80,,,,32,,83,,115,
,176,176,352,,7,8,15,,40,52,92,12,6,18,,,,2,1,3,5,3,8,242,,246,,488,
,569,576,"1,145",,10,18,28,,69,91,160,28,28,56,2,3,5,23,60,83,8,7,15,709,,783,,"1,492",
,6,17,23,,1,,1,,1,5,6,2,1,3,,,,2,6,8,,,,12,,29,,41,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
