"Fall 2009
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
31-39
40+
Classification                 Freshman Sophomore Junior Senior
PB
Tuition Status                Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status           Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt: TAMU                Less Than Half Time
Status                             Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,,
,F,,M,,Tot,F,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,,M,,Tot,,
,,35,,25,60,,,1,1,,8,,4,12,,2,,2,4,,,,,4,4,,,,,45,,36,,81,
,,31,,19,50,,,1,1,,7,,4,11,,1,,1,2,,,,,4,4,,,,,39,,29,,68,
,,1,,4,5,,,,,,1,,,1,,1,,1,2,,,,,,,,,,,3,,5,,8,
,,3,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,4,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,
,,17,,10,27,,,,,,5,,3,8,,1,,1,2,,,,,3,3,,,,,23,,17,,40,
,,16,,11,27,,,1,1,,1,,,1,,1,,1,2,,,,,,,,,,,18,,13,,31,
,,1,,2,3,,,,,,2,,1,3,,,,,,,,,,1,1,,,,,3,,4,,7,
,,34,,25,59,,,1,1,,8,,4,12,,2,,2,4,,,,,,,,,,,44,,32,,76,
,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,2,,2,
,,1,,,1,,,,,,,,,,,,,,,,,,,2,2,,,,,1,,2,,3,
,,34,,25,59,,,1,1,,8,,4,12,,2,,2,4,,,,,,,,,,,44,,32,,76,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,4,,4,
,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,1,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,2,,,,2,
,,1,,2,3,,,,,,1,,,1,,,,,,,,,,,,,,,,2,,2,,4,
,,25,,16,41,,,1,1,,6,,3,9,,2,,1,3,,,,,3,3,,,,,33,,24,,57,
,,8,,5,13,,,,,,,,1,1,,,,1,1,,,,,1,1,,,,,8,,8,,16,
,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,1,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,2,,,,2,
,,1,,2,3,,,,,,1,,,1,,,,,,,,,,,,,,,,2,,2,,4,
,,33,,21,54,,,1,1,,6,,4,10,,2,,2,4,,,,,4,4,,,,,41,,32,,73,
,,24,,21,45,,,1,1,,5,,2,7,,2,,1,3,,,,,4,4,,,,,31,,29,,60,
,,11,,4,15,,,,,,3,,2,5,,,,1,1,,,,,,,,,,,14,,7,,21,
,,22,,18,40,,,,,,3,,1,4,,1,,1,2,,,,,,,,,,,26,,20,,46,
,,,,1,1,,,1,1,,3,,,3,,,,,,,,,,4,4,,,,,3,,6,,9,
,,13,,6,19,,,,,,2,,3,5,,1,,1,2,,,,,,,,,,,16,,10,,26,
,,35,,24,59,,,1,1,,7,,3,10,,2,,2,4,,,,,4,4,,,,,44,,34,,78,
,,,,1,1,,,,,,1,,1,2,,,,,,,,,,,,,,,,1,,2,,3,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
