Texas A&M University Summary,,,,,,,,,,,,,,,,
"Student Head Count, Change by Level Fall 2009",,,,,,,,,,,,,,,,
"Fall 2009
University Total
College                       Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Gender                        Female Male
Ethnicity                     White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age                <18
Categories                  18-21
22-25
26-30
31-39
40+
Enrollment                  1st Time in College
Status                          1st Time PB
1st Time Graduate 1st Time Professional 1st Time Transfer Readmitted Continuing
Tuition Status             Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident SCH Categories         < 6 SCH
6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU             Less Than Half Time Status                          Half-Time
Three-Quarter Time Full-Time",Undergraduate,,,Masters,,,PhD,,,Professional,,,Grand Total,,,
,#,chg,% chg,#,chg,% chg,#,chg,% chg,#,chg,% chg,#,chg,% chg,
,"38,809",379,1.0%,"5,919",121,2.1%,"3,464",156,4.7%,510,7,1.4%,"48,702",663,1.4%,
,"5,159",-252,-4.7%,794,2,0.3%,517,29,5.9%,,,,"6,470",-221,-3.3%,
,"1,416",-58,-3.9%,409,-21,-4.9%,95,8,9.2%,,,,"1,920",-71,-3.6%,
,"4,333",29,0.7%,802,-19,-2.3%,64,2,3.2%,,,,"5,199",12,0.2%,
,"4,065",-5,-0.1%,597,-72,-10.8%,734,45,6.5%,,,,"5,396",-32,-0.6%,
,"7,882",239,3.1%,"1,831",100,5.8%,"1,022",94,10.1%,,,,"10,735",433,4.2%,
,,,,302,13,4.5%,,,,,,,302,13,4.5%,
,637,112,21.3%,205,28,15.8%,138,3,2.2%,,,,980,143,17.1%,
,"6,120",129,2.2%,378,22,6.2%,440,-27,-5.8%,,,,"6,938",124,1.8%,
,"2,335",77,3.4%,466,61,15.1%,385,,0.0%,,,,"3,186",138,4.5%,
,"1,739",-55,-3.1%,90,5,5.9%,69,2,3.0%,510,7,1.4%,"2,408",-41,-1.7%,
,"5,081",171,3.5%,,,,,,,,,,"5,081",171,3.5%,
,42,-8,-16.0%,45,2,4.7%,,,,,,,87,-6,-6.5%,
,"18,644",267,1.5%,"2,375",43,1.8%,"1,430",42,3.0%,385,8,2.1%,"22,834",360,1.6%,
,"20,165",112,0.6%,"3,544",78,2.3%,"2,034",114,5.9%,125,-1,-0.8%,"25,868",303,1.2%,
