"Fall 2009
College Total
Ethnicity              White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age         <18
Categories           18-21
22-25
26-30
31-39
40+
Enrollment          1st Time in College Status                   1st Time PB
1st Time Graduate 1st Time Professional 1st Time Transfer Readmitted Continuing
Tuition Status      Resident Tuition
Non-Resident  Tuition Tuition  Exemption/Waiver
Residency            Texas Resident
Status                  Non-TX, US Resident
Non-TX, Non-US Resident
SCH                     < 6 SCH
Categories           6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt: TAMU      Less Than Half Time Status                   Half-Time
Three-Quarter Time Full-Time",Undergraduate,,,Masters,,,,PhD,,,,Professional,,,Grand Total,,,
,#,chg,% chg,#,,chg,% chg,#,,chg,% chg,#,chg,% chg,#,chg,% chg,
,"1,739",-55,-3.1%,,90,5,5.9%,,69,2,3.0%,510,7,1.4%,"2,408",-41,-1.7%,
,"1,180",-96,-7.5%,,53,-4,-7.0%,,31,,0.0%,434,-3,-0.7%,"1,698",-103,-5.7%,
,49,3,6.5%,,1,,0.0%,,4,1,33.3%,3,2,200.0%,57,6,11.8%,
,337,31,10.1%,,5,3,150.0%,,3,-1,-25.0%,51,13,34.2%,396,46,13.1%,
,158,2,1.3%,,0,-2,-100.0%,,3,,0.0%,14,-4,-22.2%,175,-4,-2.2%,
,8,2,33.3%,,,,,,0,-1,-100.0%,2,,0.0%,10,1,11.1%,
,4,1,33.3%,,28,6,27.3%,,27,4,17.4%,,,,59,11,22.9%,
,3,2,200.0%,,3,2,200.0%,,1,-1,-50.0%,6,-1,-14.3%,13,2,18.2%,
,9,4,80.0%,,,,,,,,,,,,9,4,80.0%,
,"1,582",-32,-2.0%,,,,,,,,,26,1,4.0%,"1,608",-31,-1.9%,
,146,-26,-15.1%,,44,2,4.8%,,9,6,200.0%,314,-5,-1.6%,513,-23,-4.3%,
,,,,,34,,0.0%,,31,,0.0%,140,8,6.1%,205,8,4.1%,
,1,,0.0%,,12,5,71.4%,,25,-1,-3.8%,25,3,13.6%,63,7,12.5%,
,1,-1,-50.0%,,0,-2,-100.0%,,4,-3,-42.9%,5,,0.0%,10,-6,-37.5%,
,674,9,1.4%,,,,,,,,,,,,674,9,1.4%,
,,,,,0,-3,-100.0%,,,,,,,,0,-3,-100.0%,
,,,,,40,11,37.9%,,2,-3,-60.0%,,,,42,8,23.5%,
,,,,,,,,,,,,133,,0.0%,133,,0.0%,
,5,1,25.0%,,,,,,,,,,,,5,1,25.0%,
,9,6,200.0%,,,,,,,,,1,1,100.0%,10,7,233.3%,
,"1,051",-71,-6.3%,,50,-3,-5.7%,,67,5,8.1%,376,6,1.6%,"1,544",-63,-3.9%,
,"1,658",-62,-3.6%,,52,2,4.0%,,31,1,3.3%,473,7,1.5%,"2,214",-52,-2.3%,
,22,-5,-18.5%,,5,1,25.0%,,0,-4,-100.0%,9,1,12.5%,36,-7,-16.3%,
,59,12,25.5%,,33,2,6.5%,,38,5,15.2%,28,-1,-3.4%,158,18,12.9%,
,"1,688",-56,-3.2%,,53,2,3.9%,,30,-3,-9.1%,478,9,1.9%,"2,249",-48,-2.1%,
,47,1,2.2%,,9,-3,-25.0%,,12,1,9.1%,32,-2,-5.9%,100,-3,-2.9%,
,4,,0.0%,,28,6,27.3%,,27,4,17.4%,,,,59,10,20.4%,
,6,1,20.0%,,19,2,11.8%,,10,-9,-47.4%,,,,35,-6,-14.6%,
,11,-6,-35.3%,,4,-2,-33.3%,,1,-1,-50.0%,1,1,100.0%,17,-8,-32.0%,
,23,-12,-34.3%,,49,,0.0%,,57,12,26.7%,,,,129,,0.0%,
,834,27,3.3%,,18,6,50.0%,,0,-1,-100.0%,,,,852,32,3.9%,
,846,-60,-6.6%,,0,-1,-100.0%,,1,1,100.0%,,,,847,-60,-6.6%,
,19,-5,-20.8%,,,,,,,,,509,6,1.2%,528,1,0.2%,
,6,2,50.0%,,11,,0.0%,,5,-9,-64.3%,,,,22,-7,-24.1%,
,11,-6,-35.3%,,11,-1,-8.3%,,6,-1,-14.3%,1,1,100.0%,29,-7,-19.4%,
,24,-11,-31.4%,,,,,,,,,,,,24,-11,-31.4%,
,"1,698",-40,-2.3%,,68,6,9.7%,,58,12,26.1%,509,6,1.2%,"2,333",-16,-0.7%,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,
