"Fall 2009
G. Bush School       BUSH of Govt                   Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts            ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies      GEST
Subtotal Other - Special        CLMD Populations             MARS
SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,234,5.4%,15,50.0%,28,12.0%,5,0.0%,,,,19,-13.6%,,1,-80.0%,302,4.5%,
,234,5.4%,15,50.0%,28,12.0%,5,0.0%,,,,19,-13.6%,,1,-80.0%,302,4.5%,
,140,5.3%,5,400.0%,23,-8.0%,,,,2,100.0%,27,3.8%,,3,0.0%,200,5.8%,
,80,73.9%,,,17,112.5%,4,33.3%,,1,100.0%,2,100.0%,,0,-100.0%,104,76.3%,
,191,19.4%,5,0.0%,24,50.0%,8,14.3%,,1,-50.0%,31,0.0%,,3,200.0%,263,18.5%,
,227,11.8%,5,25.0%,25,56.3%,11,120.0%,,1,-50.0%,68,21.4%,,0,-100.0%,337,17.0%,
,43,-10.4%,,,2,-33.3%,3,200.0%,,,,28,3.7%,,,,76,-3.8%,
,681,15.4%,15,50.0%,91,33.8%,26,62.5%,,5,0.0%,156,10.6%,,6,-14.3%,980,17.1%,
,208,11.2%,1,-80.0%,20,-28.6%,8,-11.1%,,0,-100.0%,11,-21.4%,,2,-33.3%,250,0.8%,
,440,14.6%,18,50.0%,121,12.0%,22,15.8%,,5,0.0%,7,40.0%,,4,100.0%,617,15.3%,
,818,-7.0%,42,50.0%,111,7.8%,20,25.0%,,7,-12.5%,14,-6.7%,,4,0.0%,"1,016",-3.6%,
,338,3.7%,6,0.0%,40,-13.0%,36,-7.7%,,1,-50.0%,114,4.6%,,2,0.0%,537,1.3%,
,559,-2.6%,21,-27.6%,96,15.7%,22,-4.3%,,6,0.0%,31,6.9%,,,,735,-1.2%,
,31,14.8%,0,-100.0%,6,20.0%,1,-50.0%,,1,0.0%,1,0.0%,,1,-50.0%,41,5.1%,
,73,0.0%,1,-50.0%,55,-6.8%,0,-100.0%,,,,6,0.0%,,,,135,-4.3%,
,635,1.3%,16,33.3%,90,1.1%,9,12.5%,,3,-25.0%,3,0.0%,,3,0.0%,759,1.7%,
,84,-16.8%,2,-33.3%,13,0.0%,3,200.0%,,1,0.0%,1,100.0%,,4,0.0%,108,-12.2%,
,662,-0.3%,51,8.5%,120,-11.8%,37,19.4%,,9,80.0%,12,9.1%,,4,-20.0%,895,-0.4%,
,59,7.3%,5,25.0%,25,8.7%,3,200.0%,,,,1,100.0%,,,,93,12.0%,
,919,3.4%,60,9.1%,224,5.7%,65,18.2%,,9,0.0%,12,71.4%,,6,-33.3%,"1,295",4.8%,
,259,-4.1%,59,31.1%,94,5.6%,24,84.6%,,5,150.0%,12,0.0%,,4,-20.0%,457,4.8%,
,"5,085",0.6%,282,13.3%,"1,015",2.1%,250,14.7%,,47,4.4%,225,6.1%,,34,-12.8%,"6,938",1.8%,
,"1,019",-2.6%,57,0.0%,338,19.4%,253,13.5%,,6,-40.0%,50,-2.0%,,6,100.0%,"1,729",3.3%,
,281,-6.3%,19,26.7%,55,-1.8%,37,5.7%,,4,-20.0%,144,23.1%,,2,-33.3%,542,2.1%,
,12,1100.0%,2,100.0%,1,100.0%,,,,,,,,,,,15,1400.0%,
,284,2.9%,12,100.0%,51,2.0%,22,37.5%,,1,-50.0%,78,6.8%,,2,100.0%,450,6.4%,
,137,-7.4%,5,0.0%,29,3.6%,20,11.1%,,4,33.3%,84,3.7%,,1,0.0%,280,-1.4%,
,73,15.9%,3,0.0%,6,20.0%,9,125.0%,,,,76,26.7%,,3,200.0%,170,25.0%,
,"1,806",-1.5%,98,14.0%,480,13.7%,341,15.2%,,15,-25.0%,432,13.1%,,14,75.0%,"3,186",4.5%,
,"1,634",-5.1%,53,12.8%,392,13.6%,172,-1.7%,,10,25.0%,9,0.0%,,9,12.5%,"2,279",-1.5%,
,18,-35.7%,1,0.0%,,,1,0.0%,,,,20,11.1%,,2,100.0%,42,-14.3%,
,4,-33.3%,,,,,,,,,,,,,,,4,-33.3%,
,1,0.0%,,,1,0.0%,,,,,,6,-14.3%,,,,8,-11.1%,
,26,-7.1%,2,0.0%,3,-25.0%,1,-50.0%,,0,-100.0%,13,62.5%,,1,0.0%,46,0.0%,
,15,-6.3%,1,0.0%,,,1,0.0%,,,,11,83.3%,,1,0.0%,29,16.0%,
,"1,698",-5.7%,57,11.8%,396,13.1%,175,-2.2%,,10,11.1%,59,22.9%,,13,18.2%,"2,408",-1.7%,
,"3,625",-0.2%,244,7.0%,835,18.3%,270,12.5%,,41,7.9%,57,0.0%,,9,12.5%,"5,081",3.5%,
,"3,625",-0.2%,244,7.0%,835,18.3%,270,12.5%,,41,7.9%,57,0.0%,,9,12.5%,"5,081",3.5%,
,5,0.0%,,,0,-100.0%,2,100.0%,,,,5,25.0%,,0,-100.0%,12,0.0%,
,0,-100.0%,,,,,,,,,,,,,,,0,-100.0%,
,0,-100.0%,,,,,,,,,,63,3.3%,,0,-100.0%,63,-1.6%,
,6,-25.0%,0,-100.0%,2,0.0%,,,,,,3,0.0%,,1,0.0%,12,-25.0%,
,11,-26.7%,0,-100.0%,2,-33.3%,2,100.0%,,,,71,4.4%,,1,-80.0%,87,-6.5%,
,"33,566",-1.2%,"1,624",4.1%,"6,342",8.1%,"2,238",10.4%,,271,5.9%,"4,384",5.2%,,277,37.8%,"48,702",1.4%,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,,
