Fall 2009,,Undergraduate,,,,,Masters,,,,PhD,,,Professional,,,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Readmitted,Contin uing,,
Business,ACCT,788,1,18,2,642,1,73,1,44,3,5,12,,,,795,
Admin,AGBU,,,,,6,,,,,,,,,,,6,
,BHNR,,,,,82,,,,,,,,,,,82,
,BUAD,,,33,6,919,,68,,82,,,,,,,"1,896",
,BUAG,6,,,,3,,,,,,,,,,,9,
,EMBA,,,,,,,43,1,45,,,,,,,89,
,FINC,,,1,3,632,,58,,61,2,,14,,,,771,
,INFO,,,1,,262,,,,,3,,3,,,,269,
,MGMT,,,3,4,313,,30,,41,5,,11,,,,407,
,MISY,,,,,,,69,,66,,,,,,,135,
,MKTG,,,7,2,464,,26,1,30,3,,8,,,,541,
,MLER,,,,,,,26,,37,,,,,,,63,
,USBU,,,,2,134,,,,,,,,,,,136,
,Subtotal,794,,63,19,"3,457",,393,3,406,16,,48,,,,"5,199",
Education,BIED,,,,,,,8,,,,,,,,,9,
,CPSY,,,,,,,,,1,1,,32,,,,34,
,EDAD,,,,,,5,30,3,42,16,,169,,,,270,
,EDCI,,,,,,20,65,2,115,24,1,188,,,,415,
,EDHL,63,,14,2,407,,,,,,,,,,,486,
,EDIS,214,,118,12,470,,,,,,,,,,,814,
,EDKI,140,,28,6,464,,,,,,,,,,,638,
,EDSM,46,,18,4,165,,,,,,,,,,,234,
,EDTC,,,,,,,10,,16,,,,,,,26,
,EHRD,,,,,,6,18,1,64,10,4,82,,,,185,
,EPSY,,,,,,2,37,,50,10,1,79,,,,179,
,HEED,,,,,,,11,,7,2,,15,,,,35,
,HLTH,1,,1,,244,,,,,,,,,,,246,
,HRDL,9,,11,6,136,,,,,,,,,,,162,
,HRDV,,,,,95,,,,,,,,,,,95,
,INST,9,3,4,3,805,,,,,,,,,,,824,
,ISNC,,,,,11,,,,,,,,,,,11,
,KINE,2,1,1,1,231,2,19,,39,6,1,39,,,,342,
,NUTR,,,,,,,,,2,,,1,,,,3,
,PHED,,,,,,,,,2,,,,,,,2,
,SPED,,,,,,1,7,,,,,,,,,8,
,SPMT,,,,1,220,,11,,,,,,,,,232,
,SPSY,,,,,,,,,,1,,47,,,,48,
,TCMG,,,,,23,,,,,,,,,,,23,
,TCML,1,,7,3,36,,,,,,,,,,,47,
,TECR,,,,,25,,,,,,,,,,,25,
,USEH,,,,,3,,,,,,,,,,,3,
,Subtotal,485,5,202,38,"3,335",37,216,6,338,70,12,652,,,,"5,396",
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,
