"Fall 2009
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
31-39
40+
Classification                 Freshman Sophomore Junior Senior
PB
Tuition Status                Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status           Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt: TAMU                Less Than Half Time
Status                             Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,Black,,,,,Hispanic,,,,Asian,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,
,F,M,Tot,F,,M,,Tot,F,,M,Tot,F,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,M,,Tot,,
,160,119,279,,8,,5,13,,23,14,37,11,,6,17,,,,4,7,11,1,1,,2,207,,152,,359,
,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,143,97,240,,5,,3,8,,20,10,30,10,,5,15,,,,4,5,9,1,1,,2,183,,121,,304,
,11,12,23,,2,,1,3,,3,3,6,,,1,1,,,,,2,2,,,,,16,,19,,35,
,1,8,9,,1,,,1,,,1,1,,,,,,,,,,,,,,,2,,9,,11,
,2,1,3,,,,1,1,,,,,1,,,1,,,,,,,,,,,3,,2,,5,
,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,
,19,17,36,,3,,1,4,,2,1,3,1,,,1,,,,1,1,2,,,,,26,,20,,46,
,106,81,187,,3,,4,7,,17,10,27,8,,5,13,,,,1,2,3,,1,,1,135,,103,,238,
,31,20,51,,2,,,2,,4,3,7,2,,1,3,,,,2,2,4,,,,,41,,26,,67,
,4,1,5,,,,,,,,,,,,,,,,,,2,2,1,,,1,5,,3,,8,
,153,115,268,,8,,4,12,,23,14,37,11,,6,17,,,,,1,1,1,1,,2,196,,141,,337,
,6,1,7,,,,,,,,,,,,,,,,,3,5,8,,,,,9,,6,,15,
,1,3,4,,,,1,1,,,,,,,,,,,,1,1,2,,,,,2,,5,,7,
,156,117,273,,8,,4,12,,23,14,37,11,,6,17,,,,,,,1,1,,2,199,,142,,341,
,4,2,6,,,,1,1,,,,,,,,,,,,,,,,,,,4,,3,,7,
,,,,,,,,,,,,,,,,,,,,4,7,11,,,,,4,,7,,11,
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,1,
,4,1,5,,,,,,,1,,1,,,,,,,,,,,,,,,5,,1,,6,
,12,2,14,,1,,,1,,2,,2,,,,,,,,,,,,,,,15,,2,,17,
,82,61,143,,6,,1,7,,14,9,23,4,,2,6,,,,3,6,9,,1,,1,109,,80,,189,
,61,52,113,,1,,3,4,,5,5,10,7,,4,11,,,,1,1,2,1,,,1,76,,65,,141,
,1,3,4,,,,1,1,,,,,,,,,,,,,,,,,,,1,,4,,5,
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,1,
,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,5,
,13,3,16,,1,,,1,,3,,3,,,,,,,,,,,,,,,17,,3,,20,
,143,115,258,,7,,5,12,,19,14,33,11,,6,17,,,,4,7,11,1,1,,2,185,,148,,333,
,136,115,251,,8,,5,13,,21,13,34,10,,6,16,,,,4,7,11,1,1,,2,180,,147,,327,
,24,4,28,,,,,,,2,1,3,1,,,1,,,,,,,,,,,27,,5,,32,
,106,83,189,,4,,3,7,,11,6,17,8,,4,12,,,,1,,1,1,1,,2,131,,97,,228,
,4,1,5,,,,,,,,,,,,1,1,,,,3,6,9,,,,,7,,8,,15,
,50,35,85,,4,,2,6,,12,8,20,3,,1,4,,,,,1,1,,,,,69,,47,,116,
,157,114,271,,8,,5,13,,23,14,37,9,,6,15,,,,4,7,11,1,1,,2,202,,147,,349,
,3,5,8,,,,,,,,,,2,,,2,,,,,,,,,,,5,,5,,10,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
