"Fall 2009
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
31-39
40+
Classification                 Freshman Sophomore Junior Senior
PB
Tuition Status                Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status           Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt: TAMU                Less Than Half Time
Status                             Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,,,Black,,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,15,,44,59,,1,,1,2,,3,,7,10,,1,,1,2,,,,,,,,1,,1,,20,,54,,74,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,13,,40,53,,,,1,1,,3,,5,8,,1,,1,2,,,,,,,,,,,,17,,47,,64,
,,1,,3,4,,,,,,,,,2,2,,,,,,,,,,,,,1,,1,,1,,6,,7,
,,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,1,,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,,8,
,,7,,27,34,,,,1,1,,2,,7,9,,,,,,,,,,,,,,,,,9,,35,,44,
,,7,,10,17,,1,,,1,,1,,,1,,1,,1,2,,,,,,,,1,,1,,10,,12,,22,
,,14,,43,57,,1,,1,2,,3,,6,9,,1,,1,2,,,,,,,,1,,1,,19,,52,,71,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,1,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,1,,2,
,,15,,43,58,,1,,1,2,,3,,7,10,,1,,1,2,,,,,,,,1,,1,,20,,53,,73,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,1,,5,6,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,6,,7,
,,12,,29,41,,1,,,1,,3,,6,9,,1,,1,2,,,,,,,,1,,1,,17,,37,,54,
,,2,,8,10,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,9,,11,
,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,1,,6,7,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,7,,8,
,,14,,36,50,,1,,1,2,,3,,6,9,,1,,1,2,,,,,,,,1,,1,,19,,45,,64,
,,13,,40,53,,1,,1,2,,2,,6,8,,,,1,1,,,,,,,,1,,1,,16,,49,,65,
,,2,,4,6,,,,,,,1,,1,2,,1,,,1,,,,,,,,,,,,4,,5,,9,
,,11,,28,39,,,,1,1,,2,,2,4,,1,,1,2,,,,,,,,,,,,14,,32,,46,
,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,2,
,,4,,15,19,,1,,,1,,1,,4,5,,,,,,,,,,,,,1,,1,,6,,20,,26,
,,14,,44,58,,1,,1,2,,3,,7,10,,1,,1,2,,,,,,,,1,,1,,19,,54,,73,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
