"Fall 2009
College Total
Ethnicity              White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age         <18
Categories           18-21
22-25
26-30
31-39
40+
Enrollment          1st Time in College Status                   1st Time PB
1st Time Graduate 1st Time Professional 1st Time Transfer Readmitted Continuing
Tuition Status      Resident Tuition
Non-Resident  Tuition Tuition  Exemption/Waiver
Residency            Texas Resident
Status                  Non-TX, US Resident
Non-TX, Non-US Resident
SCH                     < 6 SCH
Categories           6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt: TAMU      Less Than Half Time Status                   Half-Time
Three-Quarter Time Full-Time",Undergraduate,,,Masters,,,,,PhD,,,,Professional,,,Grand Total,,,
,#,chg,% chg,#,,chg,,% chg,#,,chg,% chg,#,chg,% chg,#,chg,% chg,
,546,-28,-4.9%,,38,,-1,-2.6%,,26,11,73.3%,125,-1,-0.8%,735,-19,-2.5%,
,358,-42,-10.5%,,20,,-2,-9.1%,,7,3,75.0%,106,-6,-5.4%,491,-47,-8.7%,
,13,-1,-7.1%,,1,,,0.0%,,2,1,100.0%,0,-1,-100.0%,16,-1,-5.9%,
,102,6,6.3%,,2,,,0.0%,,3,1,50.0%,17,7,70.0%,124,14,12.7%,
,68,8,13.3%,,0,,-2,-100.0%,,1,1,100.0%,1,-1,-50.0%,70,6,9.4%,
,4,1,33.3%,,,,,,,,,,,,,4,1,33.3%,
,0,-1,-100.0%,,14,,3,27.3%,,13,5,62.5%,,,,27,7,35.0%,
,1,1,100.0%,,1,,,0.0%,,,,,1,,0.0%,3,1,50.0%,
,475,-26,-5.2%,,,,,,,,,,4,-2,-33.3%,479,-28,-5.5%,
,71,-2,-2.7%,,19,,1,5.6%,,4,4,100.0%,65,-16,-19.8%,159,-13,-7.6%,
,,,,,11,,-7,-38.9%,,12,4,50.0%,53,18,51.4%,76,15,24.6%,
,,,,,8,,5,166.7%,,10,3,42.9%,3,,0.0%,21,8,61.5%,
,,,,,,,,,,,,,0,-1,-100.0%,0,-1,-100.0%,
,176,-13,-6.9%,,,,,,,,,,,,,176,-13,-6.9%,
,,,,,0,,-2,-100.0%,,,,,,,,0,-2,-100.0%,
,,,,,16,,2,14.3%,,1,,0.0%,,,,17,2,13.3%,
,,,,,,,,,,,,,29,-9,-23.7%,29,-9,-23.7%,
,1,1,100.0%,,,,,,,,,,,,,1,1,100.0%,
,4,4,100.0%,,,,,,,,,,1,1,100.0%,5,5,100.0%,
,365,-20,-5.2%,,22,,-1,-4.3%,,25,11,78.6%,95,7,8.0%,507,-3,-0.6%,
,526,-30,-5.4%,,22,,-2,-8.3%,,11,6,120.0%,115,-3,-2.5%,674,-29,-4.1%,
,7,-1,-12.5%,,5,,4,400.0%,,0,-1,-100.0%,,,,12,2,20.0%,
,13,3,30.0%,,11,,-3,-21.4%,,15,6,66.7%,10,2,25.0%,49,8,19.5%,
,532,-29,-5.2%,,22,,-1,-4.3%,,10,5,100.0%,119,-2,-1.7%,683,-27,-3.8%,
,14,3,27.3%,,2,,-3,-60.0%,,3,1,50.0%,6,1,20.0%,25,2,8.7%,
,0,-2,-100.0%,,14,,3,27.3%,,13,5,62.5%,,,,27,6,28.6%,
,2,,0.0%,,6,,-1,-14.3%,,2,-1,-33.3%,,,,10,-2,-16.7%,
,6,-1,-14.3%,,2,,2,100.0%,,0,-1,-100.0%,,,,8,,0.0%,
,9,-2,-18.2%,,21,,-4,-16.0%,,23,13,130.0%,,,,53,7,15.2%,
,280,33,13.4%,,9,,3,50.0%,,0,-1,-100.0%,,,,289,35,13.8%,
,241,-57,-19.1%,,0,,-1,-100.0%,,1,1,100.0%,,,,242,-57,-19.1%,
,8,-1,-11.1%,,,,,,,,,,125,-1,-0.8%,133,-2,-1.5%,
,2,1,100.0%,,2,,-3,-60.0%,,1,,0.0%,,,,5,-2,-28.6%,
,6,-1,-14.3%,,5,,3,150.0%,,1,-2,-66.7%,,,,12,,0.0%,
,9,-2,-18.2%,,,,,,,,,,,,,9,-2,-18.2%,
,529,-26,-4.7%,,31,,-1,-3.1%,,24,13,118.2%,125,-1,-0.8%,709,-15,-2.1%,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,,
