"Fall 2009
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
31-39
40+
Classification                 Freshman Sophomore Junior Senior
PB
Tuition Status                Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status           Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt: TAMU                Less Than Half Time
Status                             Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,,Asian,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,M,,Tot,F,,M,,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,16,,20,36,,,1,1,,4,,5,9,,2,,2,,,,7,7,14,1,,,1,,30,,33,,63,
,,10,,14,24,,,1,1,,4,,2,6,,2,,2,,,,1,5,6,1,,,1,,18,,22,,40,
,,2,,3,5,,,,,,,,3,3,,,,,,,,3,2,5,,,,,,5,,8,,13,
,,2,,2,4,,,,,,,,,,,,,,,,,1,,1,,,,,,3,,2,,5,
,,1,,1,2,,,,,,,,,,,,,,,,,2,,2,,,,,,3,,1,,4,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,1,
,,4,,6,10,,,,,,1,,2,3,,,,,,,,1,6,7,,,,,,6,,14,,20,
,,12,,13,25,,,1,1,,3,,2,5,,2,,2,,,,3,1,4,1,,,1,,21,,17,,38,
,,,,1,1,,,,,,,,1,1,,,,,,,,2,,2,,,,,,2,,2,,4,
,,15,,18,33,,,,,,4,,5,9,,2,,2,,,,1,1,2,1,,,1,,23,,24,,47,
,,,,1,1,,,,,,,,,,,,,,,,,3,5,8,,,,,,3,,6,,9,
,,1,,1,2,,,1,1,,,,,,,,,,,,,3,1,4,,,,,,4,,3,,7,
,,16,,19,35,,,1,1,,4,,4,8,,2,,2,,,,,,,1,,,1,,23,,24,,47,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,1,1,,,,,,,,7,7,14,,,,,,7,,8,,15,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,14,,14,28,,,1,1,,3,,5,8,,2,,2,,,,7,5,12,1,,,1,,27,,25,,52,
,,1,,5,6,,,,,,1,,,1,,,,,,,,,2,2,,,,,,2,,7,,9,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,15,,19,34,,,1,1,,4,,5,9,,2,,2,,,,7,7,14,1,,,1,,29,,32,,61,
,,12,,19,31,,,1,1,,3,,5,8,,2,,2,,,,7,7,14,1,,,1,,25,,32,,57,
,,4,,1,5,,,,,,1,,,1,,,,,,,,,,,,,,,,5,,1,,6,
,,10,,15,25,,,,,,,,2,2,,1,,1,,,,1,,1,,,,,,12,,17,,29,
,,,,,,,,,,,,,1,1,,,,,,,,5,7,12,,,,,,5,,8,,13,
,,6,,5,11,,,1,1,,4,,2,6,,1,,1,,,,1,,1,1,,,1,,13,,8,,21,
,,16,,20,36,,,1,1,,4,,5,9,,2,,2,,,,7,7,14,1,,,1,,30,,33,,63,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
