"Fall 2009
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
31-39
40+
Classification                 Freshman Sophomore Junior Senior
PB
Tuition Status                Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status           Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt: TAMU                Less Than Half Time
Status                             Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,Black,,,,,Hispanic,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,
,F,M,Tot,F,,M,,Tot,F,,M,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,M,,Tot,,
,142,187,329,,2,,7,9,,12,23,35,,8,,1,9,1,2,3,1,5,6,,2,,2,166,,227,,393,
,109,119,228,,2,,5,7,,6,16,22,,5,,,5,1,2,3,1,3,4,,1,,1,124,,146,,270,
,30,52,82,,,,2,2,,4,5,9,,3,,1,4,,,,,1,1,,,,,37,,61,,98,
,2,11,13,,,,,,,1,1,2,,,,,,,,,,1,1,,,,,3,,13,,16,
,1,5,6,,,,,,,1,1,2,,,,,,,,,,,,,,,,2,,6,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,1,
,3,13,16,,,,1,1,,,2,2,,,,,,,1,1,,1,1,,,,,3,,18,,21,
,80,96,176,,2,,4,6,,5,8,13,,3,,,3,1,,1,1,2,3,,1,,1,92,,111,,203,
,50,69,119,,,,2,2,,5,13,18,,4,,1,5,,1,1,,1,1,,1,,1,59,,88,,147,
,8,9,17,,,,,,,2,,2,,1,,,1,,,,,1,1,,,,,11,,10,,21,
,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,136,179,315,,1,,3,4,,11,21,32,,8,,1,9,1,2,3,,,,,2,,2,157,,208,,365,
,2,1,3,,1,,3,4,,,2,2,,,,,,,,,1,5,6,,,,,4,,11,,15,
,4,7,11,,,,1,1,,1,,1,,,,,,,,,,,,,,,,5,,8,,13,
,136,183,319,,1,,4,5,,11,21,32,,8,,1,9,1,2,3,,,,,2,,2,157,,213,,370,
,6,4,10,,1,,3,4,,1,2,3,,,,,,,,,,,,,,,,8,,9,,17,
,,,,,,,,,,,,,,,,,,,,,1,5,6,,,,,1,,5,,6,
,2,,2,,,,,,,1,1,2,,,,,,,,,,,,,,,,3,,1,,4,
,2,6,8,,,,,,,,,,,1,,,1,,,,,,,,1,,1,3,,7,,10,
,2,7,9,,,,1,1,,,1,1,,,,,,,,,,1,1,,,,,2,,10,,12,
,91,106,197,,,,5,5,,7,14,21,,4,,1,5,1,1,2,1,3,4,,1,,1,104,,131,,235,
,44,67,111,,2,,1,3,,4,7,11,,3,,,3,,1,1,,1,1,,,,,53,,77,,130,
,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,2,,2,,,,,,,1,1,2,,,,,,,,,,,,,,,,3,,1,,4,
,2,6,8,,,,,,,,,,,1,,,1,,,,,,,,1,,1,3,,7,,10,
,2,7,9,,,,1,1,,,1,1,,,,,,,,,,1,1,,,,,2,,10,,12,
,136,174,310,,2,,6,8,,11,21,32,,7,,1,8,1,2,3,1,4,5,,1,,1,158,,209,,367,
,130,179,309,,2,,7,9,,12,22,34,,7,,1,8,1,1,2,1,5,6,,2,,2,153,,217,,370,
,12,8,20,,,,,,,,1,1,,1,,,1,,1,1,,,,,,,,13,,10,,23,
,94,113,207,,,,3,3,,1,7,8,,6,,1,7,1,2,3,,,,,2,,2,102,,128,,230,
,2,4,6,,,,1,1,,1,1,2,,,,,,,,,1,5,6,,,,,4,,11,,15,
,46,70,116,,2,,3,5,,10,15,25,,2,,,2,,,,,,,,,,,60,,88,,148,
,141,182,323,,1,,7,8,,12,21,33,,8,,1,9,1,2,3,1,5,6,,2,,2,164,,220,,384,
,1,5,6,,1,,,1,,,2,2,,,,,,,,,,,,,,,,2,,7,,9,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
