College Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,305,95,400,21,4,25,90,37,127,30,26,56,,,,3,1,4,2,,2,9,6,15,,1,1,460,170,630,
"TAMU Age
Categories",<18,3,1,4,1,,1,3,,3,1,1,2,,,,,,,,,,,,,,,,8,2,10,
,18-21,302,94,396,20,4,24,87,37,124,29,25,54,,,,3,1,4,2,,2,9,6,15,,1,1,452,168,620,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,286,88,374,20,4,24,82,34,116,30,24,54,,,,3,1,4,2,,2,9,6,15,,1,1,432,158,590,
,Sophomore,18,7,25,,,,8,3,11,,2,2,,,,,,,,,,,,,,,,26,12,38,
,Junior,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,2,,2,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,277,88,365,17,4,21,84,36,120,30,24,54,,,,3,,3,1,,1,9,5,14,,1,1,421,158,579,
,Non-Resident Tuition,4,,4,,,,,,,,,,,,,,,,1,,1,,,,,,,5,,5,
,Tuition Exemption/Waiver,24,7,31,4,,4,6,1,7,,2,2,,,,,1,1,,,,,1,1,,,,34,12,46,
Residency Status,Texas Resident,298,94,392,21,4,25,88,37,125,30,25,55,,,,3,,3,1,,1,9,5,14,,1,1,450,166,616,
,"Non-TX, US Resident",7,1,8,,,,2,,2,,1,1,,,,,1,1,,,,,1,1,,,,9,4,13,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,115,40,155,5,4,9,21,17,38,12,14,26,,,,2,1,3,2,,2,3,4,7,,1,1,160,81,241,
,15-17 SCH,190,53,243,16,,16,69,20,89,18,12,30,,,,1,,1,,,,6,2,8,,,,300,87,387,
,>17 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Full-Time,305,94,399,21,4,25,90,37,127,30,26,56,,,,3,1,4,2,,2,9,6,15,,1,1,460,169,629,
Top 10% Texas High School,No,95,48,143,7,2,9,12,9,21,14,15,29,,,,1,1,2,1,,1,4,5,9,,1,1,134,81,215,
,Yes,210,47,257,14,2,16,78,28,106,16,11,27,,,,2,,2,1,,1,5,1,6,,,,326,89,415,
First Generation,No,230,78,308,11,,11,44,19,63,24,16,40,,,,1,1,2,1,,1,8,6,14,,1,1,319,121,440,
,Unknown,1,1,2,1,,1,3,1,4,2,2,4,,,,,,,1,,1,,,,,,,8,4,12,
,Yes,74,16,90,9,4,13,43,17,60,4,8,12,,,,2,,2,,,,1,,1,,,,133,45,178,
Dorm / Off-campus students,Off-campus,116,32,148,7,1,8,20,11,31,6,9,15,,,,,1,1,1,,1,2,1,3,,1,1,152,56,208,
,Dorm (On-campus),189,63,252,14,3,17,70,26,96,24,17,41,,,,3,,3,1,,1,7,5,12,,,,308,114,422,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
