Demographic Summary by Classification Professional Students,,,,,,,
Fall 2010,,,,,,,
Fall 2010,,V1: 1st Year Veterinary,V2: 2nd Year Veterinary,V3: 3rd Year Veterinary,V4: 4th Year Veterinary,Grand Total,
Head Count,Total,133,128,132,123,516,
Gender,Female,98,100,94,93,385,
,Male,35,28,38,30,131,
Ethnicity,White Only (NEW),118,103,116,103,440,
,Black Only + 2 or more/1 Black (NEW),,3,1,,4,
,Hispanic or Latino of any Race (NEW),8,18,10,13,49,
,Asian Only (NEW),2,2,5,5,14,
,American Indian Only (NEW),,,,1,1,
,2 or More/Excluding Black (NEW),,1,,,1,
,Unknown or Not Reported,5,1,,1,7,
TAMU Age Categories,18-21,12,,,,12,
,22-25,96,104,86,55,341,
,26-30,18,19,38,63,138,
,31-39,5,5,5,5,20,
,40+,2,,3,,5,
College,Veterinary Medicine,133,128,132,123,516,
Enrollment Status,1st Time Professional,133,,,,133,
,Readmitted,,1,,,1,
,Continuing,,127,132,123,382,
Tuition Status,Resident Tuition,123,117,123,116,479,
,Non-Resident Tuition,,2,1,,3,
,Tuition Exemption/Waiver,10,9,8,7,34,
Residency Status,Texas Resident,126,119,123,118,486,
,"Non-TX, US Resident",7,9,9,5,30,
SCH Categories,12-14 SCH,,,1,,1,
,>17 SCH,133,128,131,123,515,
Ft/Pt:  TAMU Status,Full-Time,133,128,132,123,516,
"Prepared by OISP, 23 Nov 10",,,,,,,
