College General Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,55,59,114,1,1,2,6,10,16,,5,5,,,1,1,,,,1,1,2,,1,1,64,77,141,
TAMU Age Categories,18-21,54,58,112,1,1,2,6,8,14,,5,5,,,1,1,,,,1,1,2,,,,63,73,136,
,22-25,1,1,2,,,,,1,1,,,,,,,,,,,,,,,,,1,2,3,
,26-30,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,
,31-39,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,4,11,15,1,,1,2,3,5,,1,1,,,1,1,,,,,,,,,,8,15,23,
,Sophomore,47,48,95,,1,1,4,6,10,,4,4,,,,,,,,1,1,2,,,,52,60,112,
,Junior,4,,4,,,,,1,1,,,,,,,,,,,,,,,1,1,4,2,6,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,55,58,113,1,1,2,5,9,14,,5,5,,,1,1,,,,1,1,2,,1,1,63,75,138,
,Non-Resident Tuition,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Tuition Exemption/Waiver,,,,,,,1,1,2,,,,,,,,,,,,,,,,,1,1,2,
Residency Status,Texas Resident,55,59,114,1,1,2,6,10,16,,5,5,,,1,1,,,,1,1,2,,1,1,64,77,141,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories,< 6 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,6-8 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,9-11 SCH,2,1,3,,,,,,,,,,,,,,,,,,,,,,,2,1,3,
,12-14 SCH,36,38,74,,,,4,8,12,,3,3,,,,,,,,1,1,2,,1,1,41,51,92,
,15-17 SCH,16,19,35,1,1,2,2,2,4,,2,2,,,1,1,,,,,,,,,,20,24,44,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Half-Time,3,1,4,,,,,,,,,,,,,,,,,,,,,,,3,1,4,
,Full-Time,52,57,109,1,1,2,6,10,16,,5,5,,,1,1,,,,1,1,2,,1,1,61,75,136,
Top 10% Texas High School,No,51,56,107,1,1,2,6,9,15,,5,5,,,1,1,,,,1,1,2,,1,1,60,73,133,
,Yes,4,3,7,,,,,1,1,,,,,,,,,,,,,,,,,4,4,8,
First Generation,No,37,47,84,,,,5,3,8,,3,3,,,1,1,,,,1,1,2,,1,1,44,55,99,
,Unknown,2,1,3,,,,1,1,2,,,,,,,,,,,,,,,,,3,2,5,
,Yes,16,11,27,1,1,2,,6,6,,2,2,,,,,,,,,,,,,,17,20,37,
Dorm / Off-campus students,Off-campus,54,57,111,1,,1,6,9,15,,5,5,,,1,1,,,,1,1,2,,1,1,63,73,136,
,Dorm (On-campus),1,2,3,,1,1,,1,1,,,,,,,,,,,,,,,,,1,4,5,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
