College Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,251,251,502,7,8,15,58,55,113,16,17,33,,2,2,,,,1,,1,7,7,14,1,,1,341,340,681,
"TAMU Age
Categories",<18,2,,2,,,,1,,1,,,,,,,,,,,,,1,,1,,,,4,,4,
,18-21,249,250,499,7,8,15,57,55,112,16,17,33,,2,2,,,,1,,1,6,7,13,1,,1,337,339,676,
,22-25,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Classification,Freshman,234,233,467,7,8,15,54,53,107,16,15,31,,2,2,,,,1,,1,7,7,14,1,,1,320,318,638,
,Sophomore,17,17,34,,,,4,2,6,,2,2,,,,,,,,,,,,,,,,21,21,42,
,Junior,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,235,240,475,6,6,12,56,54,110,16,16,32,,2,2,,,,,,,6,6,12,1,,1,320,324,644,
,Non-Resident Tuition,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Tuition Exemption/Waiver,15,11,26,1,2,3,2,1,3,,1,1,,,,,,,1,,1,1,1,2,,,,20,16,36,
Residency Status,Texas Resident,250,249,499,7,8,15,58,55,113,16,16,32,,2,2,,,,,,,6,7,13,1,,1,338,337,675,
,"Non-TX, US Resident",1,2,3,,,,,,,,1,1,,,,,,,,,,1,,1,,,,2,3,5,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,9-11 SCH,2,1,3,,,,,,,,,,,,,,,,1,,1,,,,,,,3,1,4,
,12-14 SCH,199,183,382,7,6,13,46,40,86,14,12,26,,,,,,,,,,6,5,11,1,,1,273,246,519,
,15-17 SCH,49,67,116,,2,2,12,15,27,2,5,7,,2,2,,,,,,,1,2,3,,,,64,93,157,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,2,1,3,,,,,,,,,,,,,,,,1,,1,,,,,,,3,1,4,
,Full-Time,249,250,499,7,8,15,58,55,113,16,17,33,,2,2,,,,,,,7,7,14,1,,1,338,339,677,
Top 10% Texas High School,No,49,99,148,,3,3,7,11,18,11,11,22,,,,,,,1,,1,3,5,8,,,,71,129,200,
,Yes,202,152,354,7,5,12,51,44,95,5,6,11,,2,2,,,,,,,4,2,6,1,,1,270,211,481,
First Generation,No,214,220,434,2,4,6,19,23,42,14,14,28,,,,,,,,,,6,6,12,1,,1,256,267,523,
,Unknown,2,1,3,1,,1,3,,3,,,,,1,1,,,,1,,1,,,,,,,7,2,9,
,Yes,35,30,65,4,4,8,36,32,68,2,3,5,,1,1,,,,,,,1,1,2,,,,78,71,149,
Dorm / Off-campus students,Off-campus,89,92,181,2,1,3,18,13,31,5,7,12,,,,,,,,,,2,,2,,,,116,113,229,
,Dorm (On-campus),162,159,321,5,7,12,40,42,82,11,10,21,,2,2,,,,1,,1,5,7,12,1,,1,225,227,452,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
