Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,1,3,2,5,,11,,1,1,,,,,12,
,ALEC,,,5,2,,7,,1,1,,,,,8,
,ANSC,2,2,3,,,7,,,,,,,,7,
,BAEN,1,1,2,3,,7,,1,1,,,,,8,
,BCBP,2,3,3,1,,9,,,,,,,,9,
,CLAG,,,,,,,,,,,,,,,
,ENTO,3,1,3,,,7,,,,,,,,7,
,ESSM,,1,3,,,4,,,,,,,,4,
,HRSC,,,1,,,1,,,,,,,,1,
,NFSC,1,1,4,4,,10,,,,,,,,10,
,PLPM,,1,1,2,,4,,1,1,,,,,5,
,POSC,,1,,,,1,,2,2,,,,,3,
,RPTS,,,,2,,2,,,,,,,,2,
,SCSC,,1,,1,,2,,,,,,,,2,
,WFSC,,1,1,3,,5,,,,,,,,5,
,Subtotal,10,16,28,23,,77,,6,6,,,,,83,
Architecture,ARCH,4,1,3,2,,10,,,,,,,,10,
,CLAR,,,,1,,1,,,,,,,,1,
,COSC,,2,3,2,,7,,1,1,,,,,8,
,LAUP,,2,1,1,,4,,1,1,,,,,5,
,VIZA,3,,,,,3,,1,1,,,,,4,
,Subtotal,7,5,7,6,,25,,3,3,,,,,28,
Business Admin,ACCT,,,3,1,,4,,2,2,,,,,6,
,CLBA,15,10,4,3,,32,,2,2,,,,,34,
,FINC,,,3,3,,6,,,,,,,,6,
,INFO,,,3,,,3,,2,2,,,,,5,
,MGMT,,,2,4,,6,,2,2,,,,,8,
,MKTG,,,3,1,,4,,1,1,,,,,5,
,Subtotal,15,10,18,12,,55,,9,9,,,,,64,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,1,,,2,,3,,1,1,1,1,,,5,
,EPSY,1,,2,1,,4,,2,2,3,3,,,9,
,HLKN,8,1,7,5,,21,,1,1,,,,,22,
,TLAC,2,2,4,5,,13,,1,1,6,6,,,20,
,Subtotal,12,3,13,13,,41,,5,5,10,10,,,56,
Engineering,AERO,11,2,1,8,,22,,1,1,,,,,23,
,BMEN,7,1,4,2,,14,,1,1,,,,,15,
,CHEN,4,2,3,5,1,15,,2,2,,,,,17,
,CLEN,,,,,,,,,,,,,,,
,CSCE,3,2,1,4,,10,,1,1,1,1,,,12,
,CVEN,6,5,2,3,,16,,,,1,1,,,17,
,ECEN,8,5,2,3,,18,,3,3,1,1,,,22,
,ETID,1,,4,7,,12,,,,,,,,12,
,ISEN,2,4,,4,,10,,,,,,,,10,
,MEEN,6,2,3,2,,13,,2,2,,,,,15,
,NUEN,,4,,1,,5,,2,2,,,,,7,
,PETE,6,1,2,2,,11,,,,,,,,11,
,Subtotal,54,28,22,41,1,146,,12,12,3,3,,,161,
G. Bush School of Govt,BUSH,,,,,,,3,6,9,,,,,9,
,Subtotal,,,,,,,3,6,9,,,,,9,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
