Ethnicity Native Hawaii Only (New),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,,,,,,
,APMS,,,,,,,,,,,,,,,
,BIOL,1,,,1,,2,,,,,,,,2,
,BMCB,,,,,,,,,,,,,,,
,BOTN,,,,,,,,,,,,,,,
,CHEM,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,MATH,,,,,,,,,,,,,,,
,MBIO,,,,,,,,,,,,,,,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,,,,,,,,,,1,1,,,1,
,STAT,,,,,,,,,,,,,,,
,USSC,,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,,,,,,
,Subtotal,1,,,1,,2,,,,1,1,,,3,
Veterinary Medicine,BIMS,1,2,,,,3,,,,,,,,3,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VMSC,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,,,,
,VTMI,,,,,,,,,,,,,,,
,VTMS,,,,,,,,,,,,,,,
,Subtotal,1,2,,,,3,,,,,,,,3,
General Studies,GEST,4,3,,,,7,,,,,,,,7,
,TEAM,1,,,,,1,,,,,,,,1,
,Subtotal,5,3,,,,8,,,,,,,,8,
Other - Special Populations,MARB,,,,,,,,,,,,,,,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,PHLT,,,,,,,,,,,,,,,
,REEP,,,,,,,,,,,,,,,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
