Ethnicity Native Hawaii Only (New),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,,,,,,,,,,,,,,,
,ALEC,,,,,,,,,,,,,,,
,ANSC,,,,,,,,,,1,1,,,1,
,BAEN,,,,,,,,,,,,,,,
,BCBP,,,,,,,,,,,,,,,
,CLAG,,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,,,,,,
,ESSM,,,,,,,,,,,,,,,
,HRSC,,,,,,,,,,,,,,,
,NFSC,,1,,,,1,,,,,,,,1,
,PLPM,,,,1,,1,,,,,,,,1,
,POSC,,,,,,,,,,,,,,,
,RPTS,,,,,,,,,,,,,,,
,SCSC,,,,,,,,,,,,,,,
,WFSC,,,,,,,,,,,,,,,
,Subtotal,,1,,1,,2,,,,1,1,,,3,
Architecture,ARCH,,,,,,,,,,,,,,,
,CLAR,,,,,,,,,,,,,,,
,COSC,,,,,,,,,,,,,,,
,LAUP,,,,,,,,,,,,,,,
,VIZA,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
Business Admin,ACCT,,,,,,,,1,1,,,,,1,
,CLBA,3,1,1,,,5,,,,,,,,5,
,FINC,,,,1,,1,,,,,,,,1,
,INFO,,,1,,,1,,,,,,,,1,
,MGMT,,,,1,,1,,,,,,,,1,
,MKTG,,,,,,,,,,,,,,,
,Subtotal,3,1,2,2,,8,,1,1,,,,,9,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,,,,,,,,,,,,,,
,EPSY,,,,,,,,,,,,,,,
,HLKN,,,,,,,,,,,,,,,
,TLAC,,,,1,,1,,,,,,,,1,
,Subtotal,,,,1,,1,,,,,,,,1,
Engineering,AERO,,1,,,,1,,,,,,,,1,
,BMEN,,1,,,,1,,,,,,,,1,
,CHEN,1,1,,,,2,,,,,,,,2,
,CLEN,,,,,,,,,,,,,,,
,CSCE,,,,,,,,1,1,,,,,1,
,CVEN,,1,1,,,2,,,,,,,,2,
,ECEN,1,,2,1,,4,,,,,,,,4,
,ETID,,,,1,,1,,,,,,,,1,
,ISEN,,1,,,,1,,,,,,,,1,
,MEEN,,,,2,,2,,,,,,,,2,
,NUEN,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,Subtotal,2,5,3,4,,14,,1,1,,,,,15,
G. Bush School of Govt,BUSH,,,,,,,1,,1,,,,,1,
,Subtotal,,,,,,,1,,1,,,,,1,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
