Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,1,1,,,1,
,APMS,1,,,,,1,,,,,,,,1,
,BIOL,2,,2,2,,6,,,,,,,,6,
,BMCB,,,,,,,,,,,,,,,
,BOTN,,,,,,,,,,,,,,,
,CHEM,1,,,,,1,,,,1,1,,,2,
,GENE,,,,,,,,,,,,,,,
,MATH,,,1,,,1,,,,,,,,1,
,MBIO,1,,,,,1,,,,,,,,1,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,,,,,,,,,,,,,,,
,STAT,,,,,,,,,,,,,,,
,USSC,,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,,,,,,
,Subtotal,5,,3,2,,10,,,,2,2,,,12,
Veterinary Medicine,BIMS,4,2,2,1,,9,,,,,,,,9,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VMSC,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,1,1,1,
,VTMI,,,,,,,,,,,,,,,
,VTMS,,,,,,,,,,,,,,,
,Subtotal,4,2,2,1,,9,,,,,,1,1,10,
General Studies,GEST,6,5,,,,11,,,,,,,,11,
,TEAM,1,,,,,1,,,,,,,,1,
,Subtotal,7,5,,,,12,,,,,,,,12,
Other - Special Populations,MARB,,,,,,,,,,,,,,,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,PHLT,,,,,,,,,,,,,,,
,REEP,,,,,,,,,,,,,,,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
