College Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,250,175,425,20,9,29,101,82,183,37,42,79,1,,1,1,2,3,3,4,7,6,11,17,,1,1,419,326,745,
"TAMU Age
Categories",<18,3,1,4,1,,1,,1,1,1,1,2,,,,,,,,,,,1,1,,,,5,4,9,
,18-21,247,174,421,19,9,28,101,81,182,36,41,77,1,,1,1,2,3,3,4,7,6,10,16,,1,1,414,322,736,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,241,167,408,19,9,28,91,71,162,35,36,71,1,,1,1,2,3,3,4,7,6,10,16,,1,1,397,300,697,
,Sophomore,7,7,14,1,,1,7,10,17,1,5,6,,,,,,,,,,,1,1,,,,16,23,39,
,Junior,2,1,3,,,,3,1,4,1,1,2,,,,,,,,,,,,,,,,6,3,9,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,221,159,380,19,7,26,94,76,170,35,42,77,1,,1,1,2,3,,,,6,10,16,,1,1,377,297,674,
,Non-Resident Tuition,6,,6,,,,1,,1,,,,,,,,,,3,2,5,,1,1,,,,10,3,13,
,Tuition Exemption/Waiver,23,16,39,1,2,3,6,6,12,2,,2,,,,,,,,2,2,,,,,,,32,26,58,
Residency Status,Texas Resident,240,168,408,20,9,29,99,82,181,36,42,78,1,,1,1,2,3,,,,6,10,16,,1,1,403,314,717,
,"Non-TX, US Resident",10,7,17,,,,2,,2,1,,1,,,,,,,,,,,1,1,,,,13,8,21,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,3,4,7,,,,,,,3,4,7,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,9-11 SCH,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,
,12-14 SCH,109,71,180,11,4,15,53,38,91,12,13,25,1,,1,1,1,2,1,1,2,2,5,7,,,,190,133,323,
,15-17 SCH,140,104,244,9,5,14,48,44,92,25,28,53,,,,,1,1,2,3,5,4,6,10,,1,1,228,192,420,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,2,
,Full-Time,249,175,424,20,9,29,101,82,183,37,41,78,1,,1,1,2,3,3,4,7,6,11,17,,1,1,418,325,743,
Top 10% Texas High School,No,100,99,199,7,2,9,22,26,48,20,33,53,1,,1,1,1,2,3,4,7,3,7,10,,1,1,157,173,330,
,Yes,150,76,226,13,7,20,79,56,135,17,9,26,,,,,1,1,,,,3,4,7,,,,262,153,415,
First Generation,No,194,142,336,7,6,13,44,28,72,26,26,52,1,,1,1,2,3,,,,3,9,12,,,,276,213,489,
,Unknown,,5,5,,,,2,4,6,,3,3,,,,,,,3,4,7,,,,,1,1,5,17,22,
,Yes,56,28,84,13,3,16,55,50,105,11,13,24,,,,,,,,,,3,2,5,,,,138,96,234,
Dorm / Off-campus students,Off-campus,78,56,134,5,2,7,26,18,44,6,17,23,1,,1,1,1,2,,2,2,1,2,3,,,,118,98,216,
,Dorm (On-campus),172,119,291,15,7,22,75,64,139,31,25,56,,,,,1,1,3,2,5,5,9,14,,1,1,301,228,529,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
