Headcount by Major by Ethnic Origin by Gender Fall 2010,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,Native Hawaii Only (New),,American Indian Only (NEW),,International,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Liberal Arts,AMST,6,5,1,,2,1,,,,,,,,,,,,,9,6,15,
,ANTH,133,83,7,3,33,6,1,3,,,,,6,10,5,,1,2,186,107,293,
,CLSS,7,4,,,1,2,,,,,,,,,,,,,8,6,14,
,COMM,517,136,23,13,80,23,8,3,1,,5,,7,6,13,2,1,,655,183,838,
,ECON,65,280,2,8,11,51,12,21,2,1,1,1,39,67,,8,,2,132,439,571,
,ENGL,427,121,16,3,87,31,14,4,,1,2,3,14,11,8,6,1,1,569,181,750,
,FREN,11,,1,,1,,2,1,,,,,,,,,,,15,1,16,
,GERM,1,2,,,,,,,,,,,,1,,,,,1,3,4,
,HISP,6,3,,,10,7,,,,,,,,8,,,,,16,18,34,
,HIST,205,433,2,22,35,69,3,6,,,1,1,4,1,8,6,,2,258,540,798,
,INTS,267,167,9,6,99,47,10,6,1,1,,1,5,3,7,4,,,398,235,633,
,MODL,4,1,,,3,1,,,,,,,,,,,,,7,2,9,
,MUSC,9,10,1,2,4,6,2,,,,,,,,,,,1,16,19,35,
,NRSC,,1,,,,1,,1,,,,,,1,,,,,,4,4,
,NUTR,1,,,,,,,,,,,,,,,,,,1,,1,
,PERF,4,1,,,,,,,,,,,1,,,,,,5,1,6,
,PHIL,24,50,2,2,4,11,2,1,,1,,1,,2,,1,,2,32,71,103,
,POLS,190,387,26,17,46,77,13,15,,,1,1,9,3,3,7,1,4,289,511,800,
,PSYC,670,223,56,14,200,71,46,23,,,1,3,7,5,19,2,3,1,"1,002",342,"1,344",
,RUSS,6,5,,,1,,,,,,,,,,,,,,7,5,12,
,SOCI,184,86,42,17,76,46,10,2,1,,3,1,8,3,6,3,1,1,331,159,490,
,SPAN,42,7,1,,23,13,,1,,,,,,,1,,,,67,21,88,
,TCMS,59,46,5,3,8,7,4,5,,1,,,,1,,2,,,76,65,141,
,THAR,23,8,1,,8,7,2,,,,,,,,1,,,,35,15,50,
,USLA,6,2,,,1,,,,,,,,,,,,,,7,2,9,
,WGST,4,,,1,9,,,,,,,,,,,,,,13,1,14,
,Subtotal,"2,871","2,061",195,111,742,477,129,92,5,5,14,12,100,122,71,41,8,16,"4,135","2,937","7,072",
Science,APHY,1,4,,,1,1,,,,,1,,,1,1,,,,4,6,10,
,APMS,34,41,,4,3,11,4,6,,,1,,1,6,2,,,,45,68,113,
,BIOL,449,321,36,16,186,112,98,92,2,,4,2,26,13,21,12,,,822,568,"1,390",
,BMCB,33,33,2,1,12,16,9,9,,,,,1,2,,3,,,57,64,121,
,BOTN,1,1,,,,1,,,,,,,,,,,,,1,2,3,
,CHEM,118,146,10,11,34,31,12,22,,,,2,51,94,5,3,,2,230,311,541,
,GENE,,2,,,,,,,,,,,,1,,,,,,3,3,
,MATH,115,103,4,4,18,30,8,8,,,,1,23,49,2,5,1,1,171,201,372,
,MBIO,37,21,1,2,7,5,3,7,,,,1,8,2,2,,,,58,38,96,
,MEPS,,,,,,,,,,,,,2,,,,,,2,,2,
,MSEN,,,,,,,,,,,,,,1,,,,,,1,1,
,PHYS,28,132,1,5,5,32,1,10,,1,,,9,85,1,4,,1,45,270,315,
,STAT,26,51,,4,2,3,10,9,,,,,31,31,,,2,1,71,99,170,
,USSC,5,10,,2,1,2,,,,,,,,,,,,,6,14,20,
,ZOOL,68,34,2,,11,3,1,,,,,,1,,2,1,,,85,38,123,
,Subtotal,915,899,56,49,280,247,146,163,2,1,6,6,153,285,36,28,3,5,"1,597","1,683","3,280",
Veterinary Medicine,BIMS,834,324,44,12,212,102,79,78,3,,4,5,16,16,19,12,,1,"1,211",550,"1,761",
,GENE,4,2,,,,,,,,,,,,,,,,,4,2,6,
,LAMD,2,,,,1,,1,,,,,,,,,,,,4,,4,
,STJR,5,2,,,,,,,,,,,5,2,,,,,10,4,14,
,TOXI,6,3,1,,,,,,,,,,6,3,,,,,13,6,19,
,USVM,,,,,,,,1,,,,,,,,,,,,1,1,
,VMSC,1,,,,,,,,,,,,1,1,,,,,2,1,3,
,VPAT,8,2,,,,1,,,,,,,1,2,,,,,9,5,14,
,VPHY,1,,,,,,,,,,,,,,,,,,1,,1,
,VTMD,332,108,3,1,29,20,13,1,,,1,,,,1,,6,1,385,131,516,
,VTMI,5,1,1,,,,1,,,,,,2,2,,,,,9,3,12,
,VTMS,1,,,,,,,,,,,,,,,,,,1,,1,
,Subtotal,"1,199",442,49,13,242,123,94,80,3,,5,5,31,26,20,12,6,2,"1,649",703,"2,352",
General Studies,GEST,"1,248","1,542",102,111,357,435,59,134,3,4,3,8,11,38,33,39,3,7,"1,819","2,318","4,137",
,TEAM,417,415,8,8,70,70,11,20,,1,,1,2,1,11,10,2,1,521,527,"1,048",
,Subtotal,"1,665","1,957",110,119,427,505,70,154,3,5,3,9,13,39,44,49,5,8,"2,340","2,845","5,185",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,
