Demographic Summary by Housing Fall 2010,,,,,,,,,,,
Fall 2010,,Undergraduate,,Masters,,PhD,,Professional,Grand Total,,
,,Off-campus,Dorm (On-campus),Off-campus,Dorm (On-campus),Off-campus,Dorm (On-campus),Off-campus,Off-campus,Dorm (On-campus),
Head Count,Total,"29,840","9,308","5,819",15,"3,630",1,516,"39,805","9,324",
Gender,Female,"14,660","3,935","2,355",2,"1,454",,385,"18,854","3,937",
,Male,"15,180","5,373","3,464",13,"2,176",1,131,"20,951","5,387",
Ethnicity,White Only (NEW),"22,414","5,932","2,865",6,"1,296",1,440,"27,015","5,939",
,Black Only + 2 or more/1 Black (NEW),918,384,189,1,218,,4,"1,329",385,
,Hispanic or Latino of any Race (NEW),"4,181","2,038",473,,279,,49,"4,982","2,038",
,Asian Only (NEW),"1,196",572,200,2,108,,14,"1,518",574,
,Native Hawaii Only (New),36,15,4,,2,,,42,15,
,American Indian Only (NEW),117,31,12,,10,,1,140,31,
,International,510,109,"1,985",6,"1,674",,,"4,169",115,
,2 or More/Excluding Black (NEW),431,206,55,,20,,1,507,206,
,Unknown or Not Reported,37,21,36,,23,,7,103,21,
TAMU Age Categories,<18,23,51,,,1,,,24,51,
,18-21,"21,023","8,825",103,2,,,12,"21,138","8,827",
,22-25,"7,989",417,"3,296",12,346,1,341,"11,972",430,
,26-30,530,11,"1,507",1,"1,571",,138,"3,746",12,
,31-39,200,3,638,,"1,225",,20,"2,083",3,
,40+,75,1,275,,487,,5,842,1,
College,Agriculture,"4,590",783,849,1,552,,,"5,991",784,
,Architecture,"1,083",301,383,,100,,,"1,566",301,
,Business Admin,"3,441",714,744,4,65,,,"4,250",718,
,Education,"3,259",533,636,,687,,,"4,582",533,
,Engineering,"5,709","2,449","1,775",4,"1,121",1,,"8,605","2,454",
,G. Bush School of Govt,,,307,1,,,,307,1,
,Geosciences,528,165,204,,150,,,882,165,
,Liberal Arts,"4,955","1,310",351,,456,,,"5,762","1,310",
,Science,"1,542",854,450,,434,,,"2,426",854,
,Veterinary Medicine,"1,081",602,88,,65,,516,"1,750",602,
,General Studies,"3,617","1,568",,,,,,"3,617","1,568",
,Other - Special Populations,35,29,32,5,,,,67,34,
Enrollment Status,1st Time in College,"2,918","5,258",,,,,,"2,918","5,258",
,1st Time PB,,,178,1,,,,178,1,
,1st Time Graduate,,,"2,154",5,583,1,,"2,737",6,
,1st Time Professional,,,,,,,133,133,,
,1st Time Transfer,"1,529",106,,,,,,"1,529",106,
,Readmitted,466,11,16,,8,,1,491,11,
,Continuing,"24,927","3,933","3,471",9,"3,039",,382,"31,819","3,942",
Tuition Status,Resident Tuition,"28,110","8,369","2,893",6,"1,309",1,479,"32,791","8,376",
,Non-Resident Tuition,719,159,"1,027",6,387,,3,"2,136",165,
,Tuition  Exemption/Waiver,"1,011",780,"1,899",3,"1,934",,34,"4,878",783,
Residency Status,Texas Resident,"28,617","8,725","3,028",6,"1,382",1,486,"33,513","8,732",
,"Non-TX, US Resident",721,474,808,3,567,,30,"2,126",477,
,"Non-TX, Non-US Resident",502,109,"1,983",6,"1,681",,,"4,166",115,
SCH Categories,< 6 SCH,"1,242",78,763,,699,,,"2,704",78,
,6-8 SCH,887,49,491,1,181,,,"1,559",50,
,9-11 SCH,"1,236",66,"3,463",5,"2,676",1,,"7,375",72,
,12-14 SCH,"15,782","5,252",807,5,61,,1,"16,651","5,257",
,15-17 SCH,"10,053","3,710",224,4,11,,,"10,288","3,714",
,>17 SCH,640,153,71,,2,,515,"1,228",153,
Ft/Pt: TAMU Status,Less Than Half Time,"1,159",78,527,,530,,,"2,216",78,
,Half-Time,"1,905",114,544,1,303,,,"2,752",115,
,Three-Quarter Time,1,,,,,,,1,,
,Full-Time,"26,775","9,116","4,748",14,"2,797",1,516,"34,836","9,131",
First Generation,No,"21,222","6,429","3,305",4,"1,816",1,133,"26,476","6,434",
,Unknown,"1,050",272,"1,076",9,702,,347,"3,175",281,
,Yes,"7,568","2,607","1,438",2,"1,112",,36,"10,154","2,609",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,
