Headcount by Major by Level by Entry Status Fall 2010,,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,Masters,,,,PhD,,,Professional,,,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Readmitted,Continuing,,
Education,BIED,,,,,,1,,10,,,,,,,11,
,CPSY,,,,,,5,,3,5,,30,,,,43,
,EDAD,,,,,5,26,1,42,17,3,153,,,,247,
,EDCI,,,,,37,78,2,100,16,,191,,,,424,
,EDHL,66,11,2,344,,,,,,,,,,,423,
,EDIS,238,92,7,407,,,,,,,,,,,744,
,EDKI,156,24,2,398,,,,,,,,,,,580,
,EDSM,37,16,1,128,,,,,,,,,,,182,
,EDTC,,,,,,8,,27,,,,,,,35,
,EHRD,,,,,3,22,,59,6,3,75,,,,168,
,EPSY,,,,,3,17,1,44,10,,73,,,,148,
,HEED,,,,,,11,,14,8,,14,,,,47,
,HLTH,,,1,256,,,,,,,,,,,257,
,HRDL,10,12,7,113,,,,,,,,,,,142,
,HRDV,,,1,106,,,,,,,,,,,107,
,INST,1,3,4,830,,,,,,,,,,,838,
,ISNC,,,,2,,,,,,,,,,,2,
,KINE,,,1,227,1,21,1,30,6,,36,,,,323,
,NUTR,,,,,,,,1,,,,,,,1,
,PHED,,,,,,1,,,,,,,,,1,
,SPED,,,,,,19,,3,,,,,,,22,
,SPMT,,,2,196,,15,,18,,,,,,,231,
,SPSY,,,,,,7,,,4,,37,,,,48,
,TCMG,,,1,36,,,,,,,,,,,37,
,TCML,6,6,8,32,,,,,,,,,,,52,
,USEH,,,,2,,,,,,,,,,,2,
,Subtotal,514,164,37,"3,077",49,231,5,351,72,6,609,,,,"5,115",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,
