College Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,303,189,492,32,5,37,102,44,146,17,11,28,1,,1,3,,3,3,1,4,1E1,4,17,5,2,7,479,256,735,
"TAMU Age
Categories",<18,2,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,,4,2,6,
,18-21,301,187,488,30,5,35,102,44,146,17,11,28,1,,1,3,,3,3,1,4,1E1,4,17,5,2,7,475,254,729,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,281,177,458,32,5,37,94,37,131,15,11,26,1,,1,3,,3,2,1,3,1E1,4,17,3,2,5,444,237,681,
,Sophomore,20,10,30,,,,7,6,13,1,,1,,,,,,,1,,1,,,,2,,2,31,16,47,
,Junior,2,2,4,,,,1,1,2,1,,1,,,,,,,,,,,,,,,,4,3,7,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,281,163,444,32,5,37,96,40,136,17,9,26,1,,1,3,,3,,,,1E1,3,14,5,2,7,446,222,668,
,Non-Resident Tuition,5,3,8,,,,,,,,1,1,,,,,,,2,,2,,,,,,,7,4,11,
,Tuition Exemption/Waiver,17,23,40,,,,6,4,10,,1,1,,,,,,,1,1,2,2,1,3,,,,26,30,56,
Residency Status,Texas Resident,295,171,466,32,5,37,101,42,143,17,9,26,1,,1,3,,3,,,,1E1,4,17,5,2,7,467,233,700,
,"Non-TX, US Resident",8,18,26,,,,1,2,3,,1,1,,,,,,,,,,,,,,,,9,21,30,
,"Non-TX, Non-US Resident",,,,,,,,,,,1,1,,,,,,,3,1,4,,,,,,,3,2,5,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,2,,2,1,,1,1,1,2,,,,,,,,,,,,,,,,,,,4,1,5,
,12-14 SCH,189,133,322,26,3,29,72,31,103,11,7,18,1,,1,3,,3,2,,2,7,4,11,2,2,4,313,180,493,
,15-17 SCH,112,56,168,5,2,7,29,12,41,6,4,10,,,,,,,1,1,2,6,,6,3,,3,162,75,237,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,1,,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,2,1,3,
,Full-Time,302,189,491,31,5,36,102,43,145,17,11,28,1,,1,3,,3,3,1,4,1E1,4,17,5,2,7,477,255,732,
Top 10% Texas High School,No,147,141,288,14,2,16,33,20,53,12,10,22,,,,3,,3,3,1,4,6,3,9,2,2,4,220,179,399,
,Yes,156,48,204,18,3,21,69,24,93,5,1,6,1,,1,,,,,,,7,1,8,3,,3,259,77,336,
First Generation,No,238,153,391,12,4,16,46,25,71,12,5,17,1,,1,2,,2,,,,9,4,13,4,1,5,324,192,516,
,Unknown,5,5,10,1,,1,1,1,2,,1,1,,,,,,,3,1,4,,,,,,,10,8,18,
,Yes,60,31,91,19,1,20,55,18,73,5,5,10,,,,1,,1,,,,4,,4,1,1,2,145,56,201,
Dorm / Off-campus students,Off-campus,93,49,142,11,,11,16,14,30,2,,2,,,,,,,2,1,3,2,3,5,1,,1,127,67,194,
,Dorm (On-campus),210,140,350,21,5,26,86,30,116,15,11,26,1,,1,3,,3,1,,1,1E1,1,12,4,2,6,352,189,541,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
