College Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,101,36,137,1,1,2,12,4,16,4,,4,,,1,1,,,,2,1,3,1,,1,122,42,164,
TAMU Age Categories,18-21,95,21,116,1,1,2,11,4,15,3,,3,,,1,1,,,,2,1,3,1,,1,114,27,141,
,22-25,4,11,15,,,,1,,1,1,,1,,,,,,,,,,,,,,6,11,17,
,26-30,2,3,5,,,,,,,,,,,,,,,,,,,,,,,2,3,5,
,31-39,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,4,2,6,,,,,,,1,,1,,,,,,,,,,,,,,5,2,7,
,Sophomore,49,15,64,1,1,2,7,3,10,1,,1,,,,,,,,,1,1,,,,58,20,78,
,Junior,43,18,61,,,,4,1,5,2,,2,,,1,1,,,,2,,2,1,,1,53,19,72,
,Senior,5,1,6,,,,1,,1,,,,,,,,,,,,,,,,,6,1,7,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,100,33,133,1,1,2,12,4,16,4,,4,,,1,1,,,,2,1,3,1,,1,121,39,160,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition Exemption/Waiver,1,3,4,,,,,,,,,,,,,,,,,,,,,,,1,3,4,
Residency Status,Texas Resident,101,35,136,1,1,2,12,4,16,4,,4,,,1,1,,,,2,1,3,1,,1,122,41,163,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories,< 6 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,3,2,5,,,,,,,,,,,,,,,,,,,,,,,3,2,5,
,12-14 SCH,28,19,47,1,1,2,4,3,7,2,,2,,,,,,,,2,,2,,,,37,23,60,
,15-17 SCH,69,14,83,,,,8,1,9,2,,2,,,1,1,,,,,1,1,1,,1,81,16,97,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Less Than Half Time,1,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,Half-Time,3,2,5,,,,,,,,,,,,,,,,,,,,,,,3,2,5,
,Full-Time,97,33,130,1,1,2,12,4,16,4,,4,,,1,1,,,,2,1,3,1,,1,118,39,157,
Top 10% Texas High School,No,93,33,126,1,1,2,11,4,15,4,,4,,,1,1,,,,2,1,3,1,,1,113,39,152,
,Yes,8,3,11,,,,1,,1,,,,,,,,,,,,,,,,,9,3,12,
First Generation,No,66,24,90,1,,1,5,2,7,2,,2,,,1,1,,,,1,,1,1,,1,77,26,103,
,Unknown,2,,2,,,,,,,,,,,,,,,,,,1,1,,,,2,1,3,
,Yes,33,12,45,,1,1,7,2,9,2,,2,,,,,,,,1,,1,,,,43,15,58,
Dorm / Off-campus students,Off-campus,100,34,134,1,1,2,12,4,16,4,,4,,,1,1,,,,2,1,3,1,,1,121,40,161,
,Dorm (On-campus),1,2,3,,,,,,,,,,,,,,,,,,,,,,,1,2,3,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
