University Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,561,666,"1,227",15,19,34,109,1E2,216,19,22,41,2,2,8,9,16,52,68,17,12,29,5,4,9,750,885,"1,635",
TAMU Age Categories,18-21,501,499,"1,000",9,16,25,92,80,172,13,19,32,2,2,8,9,10,23,33,13,9,22,5,2,7,651,651,"1,302",
,22-25,47,113,160,5,2,7,9,17,26,2,3,5,,,,,5,26,31,2,3,5,,1,1,70,165,235,
,26-30,7,30,37,,,,4,9,13,2,,2,,,,,1,3,4,1,,1,,,,15,42,57,
,31-39,4,20,24,,1,1,3,1,4,1,,1,,,,,,,,1,,1,,1,1,9,23,32,
,40+,2,4,6,1,,1,1,,1,1,,1,,,,,,,,,,,,,,5,4,9,
Classification,Freshman,26,46,72,3,1,4,5,5,10,3,3,6,,,1,1,,2,2,,,,,,,38,57,95,
,Sophomore,326,357,683,8,12,20,51,57,108,7,11,18,1,1,4,4,8,22,30,7,9,16,2,,2,413,469,882,
,Junior,194,226,420,2,5,7,48,36,84,8,7,15,1,1,3,4,8,23,31,8,3,11,3,4,7,274,306,580,
,Senior,15,33,48,2,1,3,5,8,13,1,1,2,,,,,,5,5,1,,1,,,,24,48,72,
,PB,,4,4,,,,,1,1,,,,,,,,,,,1,,1,,,,1,5,6,
Tuition Status,Resident Tuition,537,617,"1,154",15,18,33,105,97,202,18,21,39,2,2,8,9,,2,2,17,11,28,4,4,8,704,773,"1,477",
,Non-Resident Tuition,13,7,20,,1,1,2,3,5,1,,1,,,,,8,32,40,,,,,,,24,43,67,
,Tuition Exemption/Waiver,11,42,53,,,,2,7,9,,1,1,,,,,8,18,26,,1,1,1,,1,22,69,91,
Residency Status,Texas Resident,541,645,"1,186",15,18,33,108,1E2,213,19,22,41,2,2,8,9,,2,2,17,11,28,4,4,8,712,810,"1,522",
,"Non-TX, US Resident",20,21,41,,1,1,1,2,3,,,,,,,,,,,,1,1,1,,1,22,25,47,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,16,50,66,,,,,,,16,50,66,
SCH Categories,< 6 SCH,3,4,7,1,,1,,,,1,,1,,,,,,,,,,,,,,5,4,9,
,6-8 SCH,7,5,12,1,,1,2,3,5,1,,1,,,,,,,,1,,1,,,,12,8,20,
,9-11 SCH,18,25,43,,,,2,2,4,,,,,,,,,,,,,,,,,20,27,47,
,12-14 SCH,280,420,700,9,11,20,64,73,137,9,16,25,1,1,3,3,7,36,43,11,6,17,2,3,5,385,566,951,
,15-17 SCH,249,208,457,4,8,12,41,29,70,8,6,14,1,1,5,6,9,16,25,5,6,11,3,1,4,324,276,600,
,>17 SCH,4,4,8,,,,,,,,,,,,,,,,,,,,,,,4,4,8,
Ft/Pt: TAMU Status,Less Than Half Time,3,5,8,1,,1,,,,1,,1,,,,,,,,,,,,,,5,5,10,
,Half-Time,25,29,54,1,,1,4,6,10,1,,1,,,,,,,,1,,1,,,,32,35,67,
,Full-Time,533,632,"1,165",13,19,32,105,1E2,206,17,22,39,2,2,8,9,16,52,68,16,12,28,5,4,9,713,845,"1,558",
Top 10% Texas High School,No,490,594,"1,084",12,19,31,96,98,194,17,20,37,2,2,7,7,16,52,68,15,12,27,4,4,8,657,801,"1,458",
,Yes,71,72,143,3,,3,13,9,22,2,2,4,,,1,2,,,,2,,2,1,,1,93,84,177,
First Generation,No,367,425,792,6,8,14,55,49,104,9,13,22,1,1,6,7,,1,1,13,8,21,2,3,5,458,509,967,
,Unknown,15,16,31,1,1,2,3,7,10,,,,,,,,16,51,67,,1,1,,,,35,76,111,
,Yes,179,225,404,8,10,18,51,51,102,10,9,19,1,1,2,2,,,,4,3,7,3,1,4,257,300,557,
Dorm / Off-campus students,Off-campus,547,615,"1,162",13,18,31,102,94,196,19,19,38,2,2,7,8,14,47,61,15,9,24,4,3,7,721,808,"1,529",
,Dorm (On-campus),14,51,65,2,1,3,7,13,20,,3,3,,,1,1,2,5,7,2,3,5,1,1,2,29,77,106,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
