College Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,4,1,5,,,,,,,,,,,,,,,,,,,,,,,4,1,5,
TAMU Age Categories,18-21,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,22-25,2,1,3,,,,,,,,,,,,,,,,,,,,,,,2,1,3,
,26-30,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Junior,2,1,3,,,,,,,,,,,,,,,,,,,,,,,2,1,3,
,Senior,2,,2,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,4,1,5,,,,,,,,,,,,,,,,,,,,,,,4,1,5,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,4,1,5,,,,,,,,,,,,,,,,,,,,,,,4,1,5,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,4,1,5,,,,,,,,,,,,,,,,,,,,,,,4,1,5,
,15-17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,4,1,5,,,,,,,,,,,,,,,,,,,,,,,4,1,5,
Top 10% Texas High School,No,4,1,5,,,,,,,,,,,,,,,,,,,,,,,4,1,5,
,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Generation,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,4,1,5,,,,,,,,,,,,,,,,,,,,,,,4,1,5,
Dorm / Off-campus students,Off-campus,2,1,3,,,,,,,,,,,,,,,,,,,,,,,2,1,3,
,Dorm (On-campus),2,,2,,,,,,,,,,,,,,,,,,,,,,,2,,2,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
