College Geosciences,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,
Fall 2010,,SLevel2,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,693,100.0%,204,100.0%,150,100.0%,,,"1,047",100.0%,
,Female,258,37.2%,86,42.2%,63,42.0%,,,407,38.9%,
,Male,435,62.8%,118,57.8%,87,58.0%,,,640,61.1%,
Ethnicity,Asian Only (NEW),13,1.9%,7,3.4%,3,2.0%,,,23,2.2%,
,Black Only + 2 or more/1 Black (NEW),21,3.0%,2,1.0%,1,.7%,,,24,2.3%,
,Hispanic or Latino of any Race (NEW),102,14.7%,12,5.9%,2,1.3%,,,116,11.1%,
,International,23,3.3%,47,23.0%,80,53.3%,,,150,14.3%,
,American Indian Only (NEW),3,.4%,,,,,,,3,.3%,
,2 or More/Excluding Black (NEW),8,1.2%,1,.5%,1,.7%,,,10,1.0%,
,Native Hawaiian Only (NEW),3,.4%,1,.5%,,,,,4,.4%,
,Unknown or Not Reported,,,2,1.0%,2,1.3%,,,4,.4%,
,White Only (NEW),520,75.0%,132,64.7%,61,40.7%,,,713,68.1%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,450,64.9%,2,1.0%,,,,,452,43.2%,
,22-25,197,28.4%,108,52.9%,15,10.0%,,,320,30.6%,
,26-30,37,5.3%,69,33.8%,61,40.7%,,,167,16.0%,
,31-39,6,.9%,22,10.8%,55,36.7%,,,83,7.9%,
,40+,3,.4%,3,1.5%,19,12.7%,,,25,2.4%,
Enrollment Status,1st Time in College,123,17.7%,,,,,,,123,11.7%,
,1st Time PB,,,3,1.5%,,,,,3,.3%,
,1st Time Graduate,,,58,28.4%,31,20.7%,,,89,8.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,34,4.9%,,,,,,,34,3.2%,
,Readmitted,11,1.6%,1,.5%,,,,,12,1.1%,
,Continuing,525,75.8%,142,69.6%,119,79.3%,,,786,75.1%,
Tuition Status,Resident Tuition,621,89.6%,90,44.1%,38,25.3%,,,749,71.5%,
,Non-Resident Tuition,31,4.5%,31,15.2%,20,13.3%,,,82,7.8%,
,Tuition Exemption/Waiver,41,5.9%,83,40.7%,92,61.3%,,,216,20.6%,
Residency Status,Texas Resident,642,92.6%,94,46.1%,42,28.0%,,,778,74.3%,
,"Non-TX, US Resident",28,4.0%,63,30.9%,28,18.7%,,,119,11.4%,
,"Non-TX, Non-US Resident",23,3.3%,47,23.0%,80,53.3%,,,150,14.3%,
SCH Categories,< 6 SCH,12,1.7%,22,10.8%,24,16.0%,,,58,5.5%,
,6-8 SCH,17,2.5%,5,2.5%,1,.7%,,,23,2.2%,
,9-11 SCH,34,4.9%,170,83.3%,123,82.0%,,,327,31.2%,
,12-14 SCH,315,45.5%,4,2.0%,1,.7%,,,320,30.6%,
,15-17 SCH,302,43.6%,3,1.5%,1,.7%,,,306,29.2%,
,>17 SCH,13,1.9%,,,,,,,13,1.2%,
Ft/Pt:  TAMU Status,Less Than Half Time,11,1.6%,19,9.3%,20,13.3%,,,50,4.8%,
,Half-Time,48,6.9%,6,2.9%,3,2.0%,,,57,5.4%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,634,91.5%,179,87.7%,127,84.7%,,,940,89.8%,
Top 10% Texas High School,No,461,66.5%,195,95.6%,143,95.3%,,,799,76.3%,
,Yes,232,33.5%,9,4.4%,7,4.7%,,,248,23.7%,
First Generation,No,462,66.7%,128,62.7%,61,40.7%,,,651,62.2%,
,Unknown,40,5.8%,12,5.9%,31,20.7%,,,83,7.9%,
,Yes,191,27.6%,64,31.4%,58,38.7%,,,313,29.9%,
