College Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,16,23,39,2,,2,12,8,20,4,3,7,,,,,2,4,6,2,1,3,1,1,2,39,40,79,
TAMU Age Categories,18-21,13,18,31,1,,1,11,6,17,3,3,6,,,,,2,,2,,1,1,1,1,2,31,29,60,
,22-25,2,4,6,1,,1,1,1,2,,,,,,,,,4,4,,,,,,,4,9,13,
,26-30,1,1,2,,,,,1,1,1,,1,,,,,,,,1,,1,,,,3,2,5,
,31-39,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,1,2,3,,,,,1,1,,,,,,,,,,,,,,,,,1,3,4,
,Sophomore,5,13,18,2,,2,4,3,7,,1,1,,,,,,1,1,,1,1,1,,1,12,19,31,
,Junior,9,7,16,,,,6,3,9,4,2,6,,,,,2,3,5,1,,1,,1,1,22,16,38,
,Senior,1,,1,,,,2,1,3,,,,,,,,,,,,,,,,,3,1,4,
,PB,,1,1,,,,,,,,,,,,,,,,,1,,1,,,,1,1,2,
Tuition Status,Resident Tuition,15,20,35,2,,2,12,8,20,4,3,7,,,,,,,,2,1,3,1,1,2,36,33,69,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,2,1,3,,,,,,,2,1,3,
,Tuition Exemption/Waiver,1,3,4,,,,,,,,,,,,,,,3,3,,,,,,,1,6,7,
Residency Status,Texas Resident,16,21,37,2,,2,12,8,20,4,3,7,,,,,,,,2,1,3,1,1,2,37,34,71,
,"Non-TX, US Resident",,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,2,4,6,,,,,,,2,4,6,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,
,9-11 SCH,,1,1,,,,1,,1,,,,,,,,,,,,,,,,,1,1,2,
,12-14 SCH,6,12,18,2,,2,6,4,10,,2,2,,,,,2,3,5,1,1,2,1,1,2,18,23,41,
,15-17 SCH,10,10,20,,,,5,4,9,4,1,5,,,,,,1,1,,,,,,,19,16,35,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,1,1,,,,1,,1,,,,,,,,,,,1,,1,,,,2,1,3,
,Full-Time,16,22,38,2,,2,11,8,19,4,3,7,,,,,2,4,6,1,1,2,1,1,2,37,39,76,
Top 10% Texas High School,No,9,18,27,2,,2,7,6,13,2,2,4,,,,,2,4,6,1,1,2,1,1,2,24,32,56,
,Yes,7,5,12,,,,5,2,7,2,1,3,,,,,,,,1,,1,,,,15,8,23,
First Generation,No,8,13,21,1,,1,7,3,10,1,2,3,,,,,,,,1,,1,,,,18,18,36,
,Unknown,,1,1,1,,1,,1,1,,,,,,,,2,4,6,,,,,,,3,6,9,
,Yes,8,9,17,,,,5,4,9,3,1,4,,,,,,,,1,1,2,1,1,2,18,16,34,
Dorm / Off-campus students,Off-campus,15,18,33,2,,2,9,8,17,4,2,6,,,,,1,4,5,2,,2,1,,1,34,32,66,
,Dorm (On-campus),1,5,6,,,,3,,3,,1,1,,,,,1,,1,,1,1,,1,1,5,8,13,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
