Demographic Summary by Classification First-Time In College Students,,,,,,,
Top 10% Texas High School Students Fall 2010,,,,,,,
Fall 2010,,Freshman,Sophomore,Junior,Senior,Grand Total,
Headcount Total,,"3,652",315,26,2,"3,995",
Gender,Female,"1,997",158,13,1,"2,169",
,Male,"1,655",157,13,1,"1,826",
Ethnicity,White Only (NEW),"2,410",223,9,2,"2,644",
,Black Only + 2 or more/1 Black (NEW),136,2,3,,141,
,Hispanic or Latino of any Race (NEW),878,72,12,,962,
,Asian Only (NEW),130,14,2,,146,
,Native Hawaii Only (New),4,,,,4,
,American Indian Only (NEW),6,,,,6,
,International,2,,,,2,
,2 or More/Excluding Black (NEW),77,3,,,80,
,Unknown or Not Reported,9,1,,,10,
TAMU Age Categories,<18,39,5,,,44,
,18-21,"3,613",309,26,2,"3,950",
,22-25,,1,,,1,
College,Agriculture,301,36,5,,342,
,Architecture,118,13,,,131,
,Business Admin,446,35,,,481,
,Education,272,22,,,294,
,Engineering,992,96,7,2,"1,097",
,Geosciences,53,2,,,55,
,Liberal Arts,302,30,4,,336,
,Science,382,26,7,,415,
,Veterinary Medicine,381,33,1,,415,
,General Studies,405,22,2,,429,
Enrollment Status,1st Time in College,"3,652",315,26,2,"3,995",
Tuition Status,Resident Tuition,"3,392",274,19,,"3,685",
,Non-Resident Tuition,1,,,,1,
,Tuition  Exemption/Waiver,259,41,7,2,309,
Residency Status,Texas Resident,"3,651",315,26,2,"3,994",
,"Non-TX, US Resident",1,,,,1,
SCH Categories,< 6 SCH,2,1,,,3,
,6-8 SCH,9,2,,,11,
,9-11 SCH,30,,,,30,
,12-14 SCH,"2,338",187,21,1,"2,547",
,15-17 SCH,"1,271",125,5,1,"1,402",
,>17 SCH,2,,,,2,
Ft/Pt: TAMU Status,Less Than Half Time,2,1,,,3,
,Half-Time,38,2,,,40,
,Full-Time,"3,612",312,26,2,"3,952",
First Generation,No,"2,326",218,15,2,"2,561",
,Unknown,75,7,,,82,
,Yes,"1,251",90,11,,"1,352",
"Prepared by OISP, 23 Nov 10",,,,,,,
