College Geosciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,27,58,85,2,2,4,12,9,21,4,2,6,,,,,1,1,1,4,5,,1,1,,,,46,77,123,
"TAMU Age
Categories",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,27,58,85,2,2,4,12,9,21,4,2,6,,,,,1,1,1,4,5,,1,1,,,,46,77,123,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,27,55,82,2,2,4,11,9,20,4,2,6,,,,,1,1,1,4,5,,1,1,,,,45,74,119,
,Sophomore,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,
,Junior,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,1,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,22,48,70,1,2,3,10,8,18,3,2,5,,,,,,,,,,,1,1,,,,36,61,97,
,Non-Resident Tuition,,2,2,1,,1,,,,,,,,,,,,,1,4,5,,,,,,,2,6,8,
,Tuition Exemption/Waiver,5,8,13,,,,2,1,3,1,,1,,,,,1,1,,,,,,,,,,8,10,18,
Residency Status,Texas Resident,24,54,78,1,2,3,10,8,18,3,2,5,,,,,1,1,,,,,1,1,,,,38,68,106,
,"Non-TX, US Resident",3,4,7,1,,1,2,1,3,1,,1,,,,,,,,,,,,,,,,7,5,12,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,1,4,5,,,,,,,1,4,5,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,
,12-14 SCH,11,15,26,1,,1,1,2,3,,,,,,,,1,1,,2,2,,,,,,,13,20,33,
,15-17 SCH,16,43,59,1,2,3,11,7,18,4,2,6,,,,,,,,1,1,,1,1,,,,32,56,88,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,1,1,2,
,Full-Time,27,58,85,2,2,4,12,9,21,4,2,6,,,,,1,1,,3,3,,1,1,,,,45,76,121,
Top 10% Texas High School,No,14,33,47,1,1,2,5,2,7,3,2,5,,,,,1,1,1,4,5,,1,1,,,,24,44,68,
,Yes,13,25,38,1,1,2,7,7,14,1,,1,,,,,,,,,,,,,,,,22,33,55,
First Generation,No,17,44,61,2,1,3,4,3,7,2,2,4,,,,,1,1,,,,,1,1,,,,25,52,77,
,Unknown,1,1,2,,,,,,,,,,,,,,,,1,4,5,,,,,,,2,5,7,
,Yes,9,13,22,,1,1,8,6,14,2,,2,,,,,,,,,,,,,,,,19,20,39,
Dorm / Off-campus students,Off-campus,6,16,22,1,,1,2,,2,,1,1,,,,,,,1,3,4,,1,1,,,,10,21,31,
,Dorm (On-campus),21,42,63,1,2,3,10,9,19,4,1,5,,,,,1,1,,1,1,,,,,,,36,56,92,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
