Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,PSSC,,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,,
,RLEM,,,,,,,,,,1,1,,,1,
,RPTS,,3,2,2,,7,,1,1,4,4,,,12,
,RRDV,,,,,,,1,,1,,,,,1,
,SOSC,,,,,,,,,,1,1,,,1,
,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,3,6,1,10,,,,,,,,10,
,WFSC,1,,2,2,,5,,1,1,2,2,,,8,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,1,1,,,,,1,
,Subtotal,19,28,52,64,1,164,3,16,19,25,25,,,208,
Architecture,ARCH,,,,,,,,4,4,,,,,4,
,COMG,,,,,,,,,,,,,,,
,COSC,,,,2,,2,,,,,,,,2,
,COSL,1,3,1,1,,6,,,,,,,,6,
,ENDL,,1,,,,1,,,,,,,,1,
,ENDS,,,,3,,3,,,,,,,,3,
,LAND,,,,1,,1,,,,,,,,1,
,LANL,2,,,,,2,,,,,,,,2,
,LDEV,,,,,,,,1,1,,,,,1,
,URPL,,,,,,,,1,1,,,,,1,
,URSC,,2,,4,,6,,,,3,3,,,9,
,USAR,,,,,,,,,,,,,,,
,VISL,2,,2,,,4,,,,,,,,4,
,VIST,,,,2,,2,,,,,,,,2,
,Subtotal,5,6,3,13,,27,,6,6,3,3,,,36,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
