College Veterinary Medicine,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,
Fall 2010,,SLevel2,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"1,683",100.0%,88,100.0%,65,100.0%,516,100.0%,"2,352",100.0%,
,Female,"1,169",69.5%,58,65.9%,37,56.9%,385,74.6%,"1,649",70.1%,
,Male,514,30.5%,30,34.1%,28,43.1%,131,25.4%,703,29.9%,
Ethnicity,Asian Only (NEW),151,9.0%,5,5.7%,4,6.2%,14,2.7%,174,7.4%,
,Black Only + 2 or more/1 Black (NEW),55,3.3%,2,2.3%,1,1.5%,4,.8%,62,2.6%,
,Hispanic or Latino of any Race (NEW),311,18.5%,3,3.4%,2,3.1%,49,9.5%,365,15.5%,
,International,4,.2%,25,28.4%,28,43.1%,,,57,2.4%,
,American Indian Only (NEW),9,.5%,,,,,1,.2%,10,.4%,
,2 or More/Excluding Black (NEW),30,1.8%,1,1.1%,,,1,.2%,32,1.4%,
,Native Hawaiian Only (NEW),3,.2%,,,,,,,3,.1%,
,Unknown or Not Reported,1,.1%,,,,,7,1.4%,8,.3%,
,White Only (NEW),"1,119",66.5%,52,59.1%,30,46.2%,440,85.3%,"1,641",69.8%,
TAMU Age Categories,<18,10,.6%,,,,,,,10,.4%,
,18-21,"1,527",90.7%,,,,,12,2.3%,"1,539",65.4%,
,22-25,142,8.4%,36,40.9%,5,7.7%,341,66.1%,524,22.3%,
,26-30,2,.1%,34,38.6%,27,41.5%,138,26.7%,201,8.5%,
,31-39,1,.1%,16,18.2%,28,43.1%,20,3.9%,65,2.8%,
,40+,1,.1%,2,2.3%,5,7.7%,5,1.0%,13,.6%,
Enrollment Status,1st Time in College,630,37.4%,,,,,,,630,26.8%,
,1st Time PB,,,1,1.1%,,,,,1,.0%,
,1st Time Graduate,,,29,33.0%,8,12.3%,,,37,1.6%,
,1st Time Professional,,,,,,,133,25.8%,133,5.7%,
,1st Time Transfer,5,.3%,,,,,,,5,.2%,
,Readmitted,3,.2%,,,,,1,.2%,4,.2%,
,Continuing,"1,045",62.1%,58,65.9%,57,87.7%,382,74.0%,"1,542",65.6%,
Tuition Status,Resident Tuition,"1,597",94.9%,50,56.8%,27,41.5%,479,92.8%,"2,153",91.5%,
,Non-Resident Tuition,14,.8%,4,4.5%,4,6.2%,3,.6%,25,1.1%,
,Tuition Exemption/Waiver,72,4.3%,34,38.6%,34,52.3%,34,6.6%,174,7.4%,
Residency Status,Texas Resident,"1,645",97.7%,53,60.2%,28,43.1%,486,94.2%,"2,212",94.0%,
,"Non-TX, US Resident",35,2.1%,10,11.4%,9,13.8%,30,5.8%,84,3.6%,
,"Non-TX, Non-US Resident",3,.2%,25,28.4%,28,43.1%,,,56,2.4%,
SCH Categories,< 6 SCH,5,.3%,18,20.5%,12,18.5%,,,35,1.5%,
,6-8 SCH,12,.7%,5,5.7%,2,3.1%,,,19,.8%,
,9-11 SCH,35,2.1%,54,61.4%,50,76.9%,,,139,5.9%,
,12-14 SCH,859,51.0%,11,12.5%,,,1,.2%,871,37.0%,
,15-17 SCH,759,45.1%,,,,,,,759,32.3%,
,>17 SCH,13,.8%,,,1,1.5%,515,99.8%,529,22.5%,
Ft/Pt:  TAMU Status,Less Than Half Time,5,.3%,11,12.5%,6,9.2%,,,22,.9%,
,Half-Time,46,2.7%,12,13.6%,8,12.3%,,,66,2.8%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,"1,632",97.0%,65,73.9%,51,78.5%,516,100.0%,"2,264",96.3%,
Top 10% Texas High School,No,608,36.1%,81,92.0%,59,90.8%,414,80.2%,"1,162",49.4%,
,Yes,"1,075",63.9%,7,8.0%,6,9.2%,102,19.8%,"1,190",50.6%,
First Generation,No,"1,226",72.8%,60,68.2%,37,56.9%,133,25.8%,"1,456",61.9%,
,Unknown,23,1.4%,11,12.5%,7,10.8%,347,67.2%,388,16.5%,
,Yes,434,25.8%,17,19.3%,21,32.3%,36,7.0%,508,21.6%,
